haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
A	22129.0	21729.8	22529.0	22.129	21.7298	22.5290	2335	rho_direct	NA	
A+16092	12793.2	11741.4	13855.0	12.7932	11.7414	13.8550	15	single_child_interpolation	NA	
A+16092+150		5870.7			5.8707	NA	3	single_child_interpolation	NA	
A1	10747.1	9124.9	12384.2	10.7471	9.1249	12.3842	20	rho_direct	NA	
A10	9245.6	6273.4	12269.5	9.2456	6.2734	12.2695	6	rho_fallback_no_desc	NA	
A10a	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
A10b	7891.7	5747.5	10063.5	7.8917	5.7475	10.0635	4	rho_fallback_no_desc	NA	
A10b1	5238.6	2873.8		5.2386	2.8737	NA	2	single_child_interpolation	NA	
A10b1a	2619.3	1436.9		2.6193	1.4369	NA	1	single_child_interpolation	NA	
A10b1a1	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
A10b3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A10b4		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A11	11515.5	10132.4	12909.2	11.5155	10.1324	12.9092	91	rho_direct	NA	
A11'48	16796.3	15401.8	18200.4	16.7963	15.4018	18.2004	95	rho_direct	NA	
A11a	9585.7	7937.1	11249.9	9.5857	7.9371	11.2499	32	rho_direct	NA	
A11a1	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
A11a2	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
A11a3	8793.1	1856.9	16021.3	8.7931	1.8569	16.0213	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
A11a3a	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
A11a3b	13370.5	0.0		13.3705	0.0000	NA	1	rho_fallback_no_desc	NA	
A11a4		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A11a8	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
A11a9		3968.6			3.9686	NA	3	single_child_interpolation	NA	
A11a9b		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A11b	7402.0	4513.1	10341.9	7.402	4.5131	10.3419	11	rho_direct	NA	
A11b1	4158.6	695.2	7701.2	4.1586	0.6952	7.7012	5	rho_fallback_no_desc	NA	
A11b2	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
A11b^	9458.8	7322.8	11625.5	9.4588	7.3228	11.6255	19	single_child_interpolation	NA	
A12	14416.2	12372.0	16482.2	14.4162	12.3720	16.4822	8	rho_fallback_no_desc	NA	
A12a	4774.8	3189.2	6376.6	4.7748	3.1892	6.3766	6	rho_fallback_no_desc	NA	
A12a1	856.7	0.0	2550.7	0.8567	0.0000	2.5507	3	rho_fallback_no_desc	NA	
A12a2		1594.6			1.5946	NA	0	single_child_interpolation	NA	
A12a2b		797.3			0.7973	NA	0	single_child_interpolation	NA	
A12a2b1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A12a2b1+16188		0.0			0.0000	NA	0	single_child_interpolation	NA	
A12a2b1_16188_16189	22129.0	21729.8	22529.0	22.129	21.7298	22.5290	0	ancestor_only	NA	
A12a2b1a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A12a2b1a1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A12a2b1a_16188	22129.0	21729.8	22529.0	22.129	21.7298	22.5290	0	ancestor_only	NA	
A12a3	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
A12b		6186.0			6.1860	NA	2	single_child_interpolation	NA	
A12b2		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A13	11797.0	10706.4	12894.1	11.797	10.7064	12.8941	88	rho_direct	NA	
A13a	8950.1	7344.5	10573.1	8.9501	7.3445	10.5731	13	single_child_interpolation	NA	
A13a1	7526.7	5663.6	9412.6	7.5267	5.6635	9.4126	9	single_child_interpolation	NA	
A13a1b	6103.3	3982.6	8252.1	6.1033	3.9826	8.2521	9	rho_fallback_no_desc	NA	
A13a1b1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A13a1b2	0.0	0.0	0.0	0.0	0.0000	0.0000	3	rho_fallback_no_desc	NA	
A13b	11544.0	10397.6	12697.6	11.544	10.3976	12.6976	50	rho_direct	NA	
A13b1	9717.9	5198.8		9.7179	5.1988	NA	20	single_child_interpolation	NA	
A13b1a	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
A13b2	7719.6	6450.5	8998.8	7.7196	6.4505	8.9987	24	single_child_interpolation	NA	
A13b2b	3895.3	2503.3	5299.9	3.8953	2.5033	5.2999	18	rho_direct	NA	
A14	13807.5	12825.7	14794.4	13.8075	12.8257	14.7944	172	rho_direct	NA	
A14n	8461.4	7710.1	9215.9	8.4614	7.7101	9.2159	147	rho_direct	NA	
A14n'o	10882.6	10157.3	11610.7	10.8826	10.1573	11.6107	161	rho_direct	NA	
A14n1	7282.4	6039.9	8535.8	7.2824	6.0399	8.5358	18	single_child_interpolation	NA	
A14n1a	6103.3	4369.6	7855.7	6.1033	4.3696	7.8557	3	rho_fallback_no_desc	NA	
A14n2	5216.4	3000.1	7464.0	5.2164	3.0001	7.4640	20	rho_direct	NA	
A14n3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A14n4	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
A14n5	10219.1	7279.8	13208.1	10.2191	7.2798	13.2081	7	rho_fallback_no_desc	low	ci_exceeds_ancestor
A14n6		3855.1			3.8551	NA	12	single_child_interpolation	NA	
A14n6a		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A14o	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
A14p		6412.9			6.4129	NA	1	single_child_interpolation	NA	
A14p1		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
A15	15205.2	14685.0	15726.8	15.2052	14.6850	15.7268	364	rho_direct	NA	
A15a	11499.4	10520.3	12484.4	11.4993	10.5203	12.4844	191	single_child_interpolation	NA	
A15a'e	13447.7	12794.5	14103.2	13.4477	12.7945	14.1032	252	rho_direct	NA	
A15a6	7314.7	4734.5	9935.6	7.3147	4.7345	9.9356	14	rho_direct	NA	
A15a6^	9407.0	7627.4	11210.0	9.407	7.6274	11.2100	49	single_child_interpolation	NA	
A15b	11001.9	6449.2	15672.5	11.0019	6.4492	15.6725	7	rho_fallback_no_desc	NA	
A15b1	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
A15b2	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
A15c	10997.9	10254.3	11744.6	10.9979	10.2543	11.7446	99	rho_direct	NA	
A15c1	1313.3	843.9	1784.3	1.3133	0.8439	1.7843	49	rho_direct	NA	
A15c1'3	6913.8	6329.2	7500.4	6.9138	6.3292	7.5004	66	rho_direct	NA	
A15c1^	4113.6	3586.5	4642.3	4.1136	3.5865	4.6423	50	single_child_interpolation	NA	
A15c1_16311	1313.3	843.9	1784.3	1.3133	0.8439	1.7843	0	ancestor_only	NA	
A15c1c	0.0	0.0	0.0	0.0	0.0000	0.0000	3	rho_fallback_no_desc	NA	
A15c2	10610.1	10610.1	10610.1	10.6101	10.6101	10.6101	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
A15c3	4627.9	2238.3	7054.5	4.6279	2.2383	7.0545	9	rho_fallback_no_desc	NA	
A15c4	4554.4	1330.5	7846.2	4.5544	1.3305	7.8462	4	rho_fallback_no_desc	NA	
A15e	14486.1	8200.1	20982.9	14.4861	8.2001	20.9829	5	rho_fallback_no_desc	low	ci_exceeds_ancestor
A16	12357.2	10864.9		12.3572	10.8649	NA	7	single_child_interpolation	NA	
A16b	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
