haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
U3c2d2	5.0	2.5854	2.5854	2.5854	low	2.5854	2.5854	2.5854	rho_fallback_no_desc	0.0	0.0
U3c2d3	0.0				no_ci		0.0		rho_fallback_no_desc		
U3c2d4	0.0				no_ci		3.9459		single_child_interpolation		
U3c2d4a	0.0				no_ci		0.0		rho_fallback_no_desc		
U3c2e	0.0				no_ci		0.0		rho_fallback_no_desc		
U3d	0.0				no_ci		0.0		rho_fallback_no_desc		
U3d'f	1.0	13.3705			no_ci	13.3705	0.0		rho_fallback_no_desc	0.0	0.0
U3d^	0.0				no_ci		0.0		single_child_interpolation		
U3d^^	0.0				no_ci		0.0		single_child_interpolation		
U3e	0.0				no_ci		0.0		rho_fallback_no_desc		
U3f	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4	334.0	21.2939	20.4413	22.1498	high	21.2939	20.4413	22.1498	rho_direct	0.0	0.0
U4'9'10	346.0	38.8937	38.0166	39.7733	high	38.8937	38.0166	39.7733	rho_direct	0.0	0.0
U4'9'10'11	346.0	41.9296	41.0386	42.8231	high	41.9296	41.0386	42.8231	rho_direct	0.0	0.0
U4^	334.0	29.9321	29.062	30.8051	high	30.0938	29.2289	30.9616	single_child_interpolation	0.16170000000000329	0.5402227040535188
U4a	156.0	14.1923	13.1505	15.2397	high	14.1923	13.1505	15.2397	rho_direct	0.0	0.0
U4a'b'c	303.0	18.6918	17.8572	19.5297	high	18.6918	17.8572	19.5297	rho_direct	0.0	0.0
U4a+146	0.0				no_ci						
U4a+150	0.0				no_ci						
U4a+16223	2.0	6.5486	-1.1229	14.598	very_low	6.5486	0.0	14.598	rho_fallback_no_desc	0.0	0.0
U4a+16311	0.0				no_ci						
U4a+195	0.0				no_ci						
U4a1	67.0	9.8756	8.839	10.9184	high	9.8756	8.839	10.9184	rho_direct	0.0	0.0
U4a1'77	71.0	12.5887	11.5923	13.5905	high	12.5887	11.5923	13.5905	rho_direct	0.0	0.0
U4a1+195	0.0				no_ci						
U4a10	0.0				no_ci		6.5752		single_child_interpolation		
U4a100	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a10a	0.0				no_ci		0.0		rho_fallback_no_desc		
