sample_id	haplogroup
111-1862-9939	M7b1a2a
111-1863-4674	G2a
111-1863-5510	F1a1c10
111-1864-2419	C7a6
111-1864-6547	D4j35'36
111-1864-9081	M3a2c
111-1864-9357	B4c1b2a4
111-1864-9883	M8a3a
111-1865-1244	B4a2
111-1865-1947	A14n
111-1865-4894	M7b1a1bao"
111-1865-6249	M13d
111-1865-8311	Z4a1a
111-1866-0369	C7a1
111-1866-2073	A17b
111-1866-3407	D5a2a
111-1866-4886	A15a
111-1866-6736	D4b2h
111-1866-7320	D5b1b5
111-1867-0337	B5b2a
111-1867-1822	D5b1b2
111-1867-2072	B5b2e
111-1867-2324	D4b2b2
111-1867-5677	F1a1a13b
111-1867-6094	C7a1
111-1867-9705	A17
111-1868-1968	N9a1
111-1868-2446	F3a1d
111-1868-3627	G1a
111-1868-3917	A14n
111-1868-4372	F2f
111-1868-7571	D4q18"
111-1869-0793	B4c1c1
111-1869-1660	B4a
111-1869-6689	B4h1a2
111-1869-9499	A5b1h'm
111-1869-9673	M74a2
111-1870-1765	D5a3
111-1870-5985	M7c1b4
111-1870-8146	A14n'o
111-1870-9372	M7c1a
111-1871-3737	D4b2b+194
111-1871-5847	G2a4
111-1872-3675	G2g
111-1872-5839	C5b1b
111-1872-6010	F1a1c10
111-1873-0819	B5b5^
111-1873-2660	B4b1a2a2
111-1873-4237	D4b2b+194
111-1873-7429	G2a4
111-1873-8501	D4b2b2a1a
111-1873-9829	M8a2d
111-1874-0535	B4a1c6
111-1874-2959	D4k1
111-1874-3536	D4
111-1874-5592	C7a
111-1874-7770	A5b1h'm
111-1875-2965	D4i7
111-1875-3986	M7c1b2b
111-1875-5447	N9a1
111-1875-6383	R11b1b
111-1876-1844	D4g1b1
111-1876-1936	M7c1b2b
111-1876-2742	M7c1f
111-1876-5897	F4a2d
111-1876-5965	A17
111-1877-0327	G1a1a'b'c'e
111-1877-6091	N9a9e
111-1877-9979	D4b1a2a3
111-1878-0920	M7c1g
111-1878-1767	A15a'e
111-1878-2948	D5b4'7
111-1878-4607	F4a1a1
111-1878-8247	F1a1f
111-1879-5627	A11
111-1879-6501	R9c1b1
111-1880-3568	R9b1a2b2b
111-1880-5135	M7c1b2b3
111-1880-6200	B5b2a1a
111-1880-8327	D4a1e
111-1880-9775	D4g2
111-1881-0870	Z3d
111-1881-4168	F2d5
111-1881-4410	D4q18"
111-1881-6612	C7a1
111-1881-6865	D4h1c
111-1881-9705	F2i
111-1882-7045	D5a2a1b111"
111-1882-9735	M8a3b4a
111-1883-0694	B4a1c1a
111-1883-0847	C7a
111-1883-4081	N9a1
111-1883-5255	D6a1a
111-1883-8621	M10a1a3
111-1884-0235	F4a2b4
111-1884-5292	D4e3
111-1885-2191	B5b2g
111-1885-2955	D4w1
111-1885-6595	M8a2b
111-1885-8087	D4g2
111-1885-9671	A21c
111-1886-2794	B4b1c1
111-1886-6549	M7b1a1h
111-1887-9471	D4b2b
111-1888-0002	M9a1a1c1a
111-1888-7230	G3a1b
111-1888-8794	B4h1a2
111-1889-4740	B5a1c1c
111-1889-6737	B5b2g
111-1889-7758	D5a2a1b11
111-1890-0991	F2a1a1
111-1890-1288	N9a1
111-1890-2582	M7b1a1b
111-1890-5125	A15c4
111-1890-6153	D4o
111-1890-8225	M7b1b
111-1891-1324	M7b1a1e
111-1891-1553	B4a
111-1891-2499	D4j3a
111-1891-2871	F2d2
111-1891-3199	D4w1
111-1891-3359	Z3c2
111-1891-3496	F2i
111-1891-3557	B4c1b3
111-1891-4073	D4a
111-1891-4721	F2a'b'g
111-1891-5209	M9a1a1c1a
111-1891-5506	C4a1a2
111-1891-5582	F2h
111-1891-5629	C7a1c2
111-1891-5797	D5a2a
111-1891-6022	M7b1a1ai^
111-1891-6060	F1a1a30
111-1891-6268	M7b1a1b
111-1891-6466	B4e'p
111-1891-6640	B4c1a1a1
111-1891-7432	D5c2b
111-1891-7746	M7b1a1q1
111-1891-8224	HV6b
111-1891-8415	N9a3
111-1891-8682	M10a1a1b
111-1891-9085	C7a
111-1891-9214	N9a3d
111-1892-0364	D5b1c1a^+16092
111-1892-0654	B4h5
111-1892-0838	M9a3
