species	state
LJM25_Y_rg.bam__	GansuQinghai
LJM2_Y_rg.bam__	GansuQinghai
GSRD008210A00_BB1_01_D1a1a1a1b	SouthWest
GSRD008210A01_BB1_01_D1a1a1a1b	SouthWest
GSRD009848A00_BB0_00_D1a1a1a1b	SouthWest
GSRD011107A00_BB0_01_D1a1a1a1b	SouthWest
GSRD009806A00_BB0_00_D1a1a1a1b	SouthWest
GSRD008120A01_BB0_01_D1a1a1a1b	SouthWest
GSRD008120A00_BB0_01_D1a1a1a1b	SouthWest
GSRD020655A00_BB1_01_D1a1a1a1b	Plateau
GSRD008063A01_BB1_01_D1a1a1a1b	SouthWest
GSRD008162A00_BB1_01_D1a1a1a1b	SouthWest
GSRD020589A00_BB1_01_D1a1a1a1b	Plateau
GSRD021043A00_BB1_01_D1a1a1a1b	Plateau
GSRD007969A01_BB1_01_D1a1a1a1b	SouthWest
GSRD007969A00_BB1_01_D1a1a1a1b	SouthWest
GSRD020949A00_BB1_01_D1a1a1a1b	Plateau
GSRD020328A00_BB1_01_D1a1a1a1b	Plateau
GSRD019919A00_BB1_01_D1a1a1a1b	Plateau
GSRD020659A00_BB1_01_D1a1a1a1b	Plateau
YSW00872A00_BB0_00_D1a1a1a1b	SouthWest
GSRD009881A00_BB0_00_D1a1a1a1b	SouthWest
GSRD009892A00_BB0_00_D1a1a1a1b	SouthWest
HGDP01185_D1a1a1a1b	SouthWest
GSRD009811A00_BB0_00_D1a1a1a1b	SouthWest
L9055.Y.trim.bam__	Plateau
L9054.Y.trim.bam__	Plateau
L8164.Y.trim.bam__	Plateau
L8106.Y.trim.bam__	Plateau
L8076.Y.trim.bam__	Plateau
L8064.Y.trim.bam__	Plateau
L8062.Y.trim.bam__	Plateau
HRR660183_Y_rg.bam__	Plateau
HRR1385347.Y.bam__	Plateau
HRR1385337.Y.bam__	Plateau
HRR1385327.Y.bam__	Plateau
HRR1385292.Y.bam__	Plateau
HRR1385291.Y.bam__	Plateau
HRR1385288.Y.bam__	Plateau
GSRD020673A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020313A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020595A00_BB1_01_D1a1a1a1b2	Plateau
GSRD019966A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020453A00_BB1_01_D1a1a1a1b2	Plateau
S41.Y.trim.Y.Dedup.bam__	Plateau
GSRD008110A00_BB0_01_D1a1a1a1b2	GansuQinghai
GSRD008110A01_BB0_01_D1a1a1a1b2	SouthWest
GSRD020601A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020653A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020644A00_BB1_01_D1a1a1a1b2	Plateau
GSRD019989A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020136A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020293A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020251A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020598A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020534A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020806A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020323A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020434A00_BB1_01_D1a1a1a1b2	Plateau
GSRD020986A00_BB1_01_D1a1a1a1b	Plateau
GSRD008072A00_BB1_01_D1a1a1a1b	SouthWest
GSRD008072A01_BB1_01_D1a1a1a1b	SouthWest
GSRD008877A00_BB0_01_D1a1a1b2	SouthWest
Y5979_D1a1a1b2	SouthWest
GSRD009669A00_BB0_01_D1a1a1b2	SouthWest
GSRD009669A01_BB0_01_D1a1a1b2	SouthWest
Y_HRR2105086.bam__	SouthWest
GSRD009801A00_BB0_00_D1a1a1b1b	SouthWest
CQ10079A00_BB0_00_D1a1a1b1a	SouthWest
Chuan10298A00_BB0_00_D1a1a1b1a2	SouthWest
