model	root_prior	n_tip	n_state	n_parameter	log_likelihood	AIC	BIC	delta_AIC	delta_BIC	selection_criterion	selection_score	rank	selected
ARD	maddfitz	207	4	12	-85.1778661251405	194.355732250281	234.348357769466	0	0	AIC	194.355732250281	1	TRUE
SYM	maddfitz	207	4	6	-105.322349774236	222.644699548472	242.641012308064	28.2889672981912	8.29265453859898	AIC	222.644699548472	2	FALSE
ER	maddfitz	207	4	1	-121.320286253164	244.640572506328	247.973291299593	50.2848402560466	13.6249335301275	AIC	244.640572506328	3	FALSE
