Category	Group	Score Component	Time Window	Window Start (Years)	Score
Northern Segment	Corridor Segment	Level Component	7500-8000 Years	7500	0.10452
Northern Segment	Corridor Segment	Level Component	8000-8500 Years	8000	-0.00256
Northern Segment	Corridor Segment	Level Component	8500-9000 Years	8500	0.28746
Northern Segment	Corridor Segment	Level Component	9000-9500 Years	9000	-0.1032
Northern Segment	Corridor Segment	Level Component	9500-10000 Years	9500	0.59234
Northern Segment	Corridor Segment	Level Component	10000-10500 Years	10000	0.28793
Northern Segment	Corridor Segment	Level Component	10500-11000 Years	10500	0.89491
Northern Segment	Corridor Segment	Level Component	11000-11500 Years	11000	0.25458
Northern Segment	Corridor Segment	Level Component	11500-12000 Years	11500	0.84344
Northern Segment	Corridor Segment	Level Component	12000-12500 Years	12000	0.95998000000000006
Northern Segment	Corridor Segment	Level Component	12500-13000 Years	12500	0.78302
Northern Segment	Corridor Segment	Level Component	13000-13500 Years	13000	0.82245
Northern Segment	Corridor Segment	Level Component	13500-14000 Years	13500	0.61042
Northern Segment	Corridor Segment	Level Component	14000-14500 Years	14000	0.81026
Northern Segment	Corridor Segment	Level Component	14500-15000 Years	14500	0.75897
Northern Segment	Corridor Segment	Level Component	15000-15500 Years	15000	0.8281
Northern Segment	Corridor Segment	Level Component	15500-16000 Years	15500	0.44752
Northern Segment	Corridor Segment	Level Component	16000-16500 Years	16000	1.17106
Northern Segment	Corridor Segment	Level Component	16500-17000 Years	16500	0.76597
Northern Segment	Corridor Segment	Level Component	17000-17500 Years	17000	1.20869
Northern Segment	Corridor Segment	Level Component	17500-18000 Years	17500	0.81977
Northern Segment	Corridor Segment	Level Component	18000-18500 Years	18000	1.38949
Northern Segment	Corridor Segment	Level Component	18500-19000 Years	18500	0.20345
Northern Segment	Corridor Segment	Level Component	19000-19500 Years	19000	0.00932
Northern Segment	Corridor Segment	Level Component	19500-20000 Years	19500	-1.19502
Panxi and Liangshan	Sichuan Region	Level Component	0-500 Years	0	-0.92143
Panxi and Liangshan	Sichuan Region	Level Component	500-1000 Years	500	-1.21195
Panxi and Liangshan	Sichuan Region	Level Component	1000-1500 Years	1000	-1.14312
Panxi and Liangshan	Sichuan Region	Level Component	1500-2000 Years	1500	-1.02692
Panxi and Liangshan	Sichuan Region	Level Component	2000-2500 Years	2000	-1.41413
Panxi and Liangshan	Sichuan Region	Level Component	2500-3000 Years	2500	-1.09109
Panxi and Liangshan	Sichuan Region	Level Component	3000-3500 Years	3000	-0.53321
Panxi and Liangshan	Sichuan Region	Level Component	3500-4000 Years	3500	-0.3752
Panxi and Liangshan	Sichuan Region	Level Component	4000-4500 Years	4000	-0.56666
Panxi and Liangshan	Sichuan Region	Level Component	4500-5000 Years	4500	-0.17903
Panxi and Liangshan	Sichuan Region	Level Component	5000-5500 Years	5000	-0.44392
Panxi and Liangshan	Sichuan Region	Level Component	5500-6000 Years	5500	-1.0993
Panxi and Liangshan	Sichuan Region	Level Component	6000-6500 Years	6000	-0.59803
Panxi and Liangshan	Sichuan Region	Level Component	6500-7000 Years	6500	-0.30471
Panxi and Liangshan	Sichuan Region	Level Component	7000-7500 Years	7000	-0.83285
Panxi and Liangshan	Sichuan Region	Level Component	7500-8000 Years	7500	-1.22107
Panxi and Liangshan	Sichuan Region	Level Component	8000-8500 Years	8000	-0.93867
Panxi and Liangshan	Sichuan Region	Level Component	8500-9000 Years	8500	-1.42115
Panxi and Liangshan	Sichuan Region	Level Component	9000-9500 Years	9000	-1.05147
Panxi and Liangshan	Sichuan Region	Level Component	9500-10000 Years	9500	-1.06414
Panxi and Liangshan	Sichuan Region	Level Component	10000-10500 Years	10000	-0.93058
Panxi and Liangshan	Sichuan Region	Level Component	10500-11000 Years	10500	-1.79036
Panxi and Liangshan	Sichuan Region	Level Component	11000-11500 Years	11000	-1.10064
Panxi and Liangshan	Sichuan Region	Level Component	11500-12000 Years	11500	-1.09232
Panxi and Liangshan	Sichuan Region	Level Component	12000-12500 Years	12000	-1.60704
Panxi and Liangshan	Sichuan Region	Level Component	12500-13000 Years	12500	-1.36036
Panxi and Liangshan	Sichuan Region	Level Component	13000-13500 Years	13000	-1.08076
Panxi and Liangshan	Sichuan Region	Level Component	13500-14000 Years	13500	-1.32611
Panxi and Liangshan	Sichuan Region	Level Component	14000-14500 Years	14000	-1.36364
Panxi and Liangshan	Sichuan Region	Level Component	14500-15000 Years	14500	-0.70533
Panxi and Liangshan	Sichuan Region	Level Component	15000-15500 Years	15000	-0.63038
Panxi and Liangshan	Sichuan Region	Level Component	15500-16000 Years	15500	-1.71778
Panxi and Liangshan	Sichuan Region	Level Component	16000-16500 Years	16000	-0.89404
Panxi and Liangshan	Sichuan Region	Level Component	16500-17000 Years	16500	-1.34549
Panxi and Liangshan	Sichuan Region	Level Component	17000-17500 Years	17000	-2.00216
Panxi and Liangshan	Sichuan Region	Level Component	17500-18000 Years	17500	-0.26039
Panxi and Liangshan	Sichuan Region	Level Component	18000-18500 Years	18000	-0.38257
Qinghai-Tibet Plateau Core	Highland	Level Component	0-500 Years	0	-0.5987
Qinghai-Tibet Plateau Core	Highland	Level Component	500-1000 Years	500	-0.75013
Qinghai-Tibet Plateau Core	Highland	Level Component	1000-1500 Years	1000	-0.8708
Qinghai-Tibet Plateau Core	Highland	Level Component	1500-2000 Years	1500	-0.38063
Qinghai-Tibet Plateau Core	Highland	Level Component	2000-2500 Years	2000	-0.33784
Qinghai-Tibet Plateau Core	Highland	Level Component	2500-3000 Years	2500	-0.89858
Qinghai-Tibet Plateau Core	Highland	Level Component	3000-3500 Years	3000	-1.03178
Qinghai-Tibet Plateau Core	Highland	Level Component	3500-4000 Years	3500	-1.10929
Qinghai-Tibet Plateau Core	Highland	Level Component	4000-4500 Years	4000	-0.97229
Qinghai-Tibet Plateau Core	Highland	Level Component	4500-5000 Years	4500	-1.09148
Qinghai-Tibet Plateau Core	Highland	Level Component	5000-5500 Years	5000	-1.04234
Qinghai-Tibet Plateau Core	Highland	Level Component	5500-6000 Years	5500	-0.98478
Qinghai-Tibet Plateau Core	Highland	Level Component	6000-6500 Years	6000	-1.01158
Qinghai-Tibet Plateau Core	Highland	Level Component	6500-7000 Years	6500	-0.71672
Qinghai-Tibet Plateau Core	Highland	Level Component	7000-7500 Years	7000	-0.68509
Qinghai-Tibet Plateau Core	Highland	Level Component	7500-8000 Years	7500	-0.57191
Qinghai-Tibet Plateau Core	Highland	Level Component	8000-8500 Years	8000	-0.66364
Qinghai-Tibet Plateau Core	Highland	Level Component	8500-9000 Years	8500	-0.61016
Qinghai-Tibet Plateau Core	Highland	Level Component	9000-9500 Years	9000	-0.55767
Qinghai-Tibet Plateau Core	Highland	Level Component	9500-10000 Years	9500	-0.34044
Qinghai-Tibet Plateau Core	Highland	Level Component	10000-10500 Years	10000	-0.32113
Qinghai-Tibet Plateau Core	Highland	Level Component	10500-11000 Years	10500	0.03788
Qinghai-Tibet Plateau Core	Highland	Level Component	11000-11500 Years	11000	-0.26047
Qinghai-Tibet Plateau Core	Highland	Level Component	11500-12000 Years	11500	0.26786
Qinghai-Tibet Plateau Core	Highland	Level Component	12000-12500 Years	12000	0.3179
Qinghai-Tibet Plateau Core	Highland	Level Component	12500-13000 Years	12500	0.36476
Qinghai-Tibet Plateau Core	Highland	Level Component	13000-13500 Years	13000	0.17437
Qinghai-Tibet Plateau Core	Highland	Level Component	13500-14000 Years	13500	0.40225
Qinghai-Tibet Plateau Core	Highland	Level Component	14000-14500 Years	14000	0.3257
Qinghai-Tibet Plateau Core	Highland	Level Component	14500-15000 Years	14500	0.0288
Qinghai-Tibet Plateau Core	Highland	Level Component	15000-15500 Years	15000	0.28569
Qinghai-Tibet Plateau Core	Highland	Level Component	15500-16000 Years	15500	0.31358
Qinghai-Tibet Plateau Core	Highland	Level Component	16000-16500 Years	16000	-0.21444
Qinghai-Tibet Plateau Core	Highland	Level Component	16500-17000 Years	16500	0.94488
Qinghai-Tibet Plateau Core	Highland	Level Component	17000-17500 Years	17000	0.04453
Qinghai-Tibet Plateau Core	Highland	Level Component	17500-18000 Years	17500	0.75826
Qinghai-Tibet Plateau Core	Highland	Level Component	18000-18500 Years	18000	0.79648
Qinghai-Tibet Plateau Core	Highland	Level Component	18500-19000 Years	18500	1.18881
Qinghai-Tibet Plateau Core	Highland	Level Component	19000-19500 Years	19000	1.39039
Qinghai-Tibet Plateau Core	Highland	Level Component	19500-20000 Years	19500	1.14633
Sichuan Basin	Sichuan Region	Level Component	0-500 Years	0	2.17761
Sichuan Basin	Sichuan Region	Level Component	500-1000 Years	500	2.0619
Sichuan Basin	Sichuan Region	Level Component	1000-1500 Years	1000	2.04278
Sichuan Basin	Sichuan Region	Level Component	1500-2000 Years	1500	2.35026
Sichuan Basin	Sichuan Region	Level Component	2000-2500 Years	2000	0.44781
Sichuan Basin	Sichuan Region	Level Component	2500-3000 Years	2500	1.43214
Sichuan Basin	Sichuan Region	Level Component	3000-3500 Years	3000	1.18683
Sichuan Basin	Sichuan Region	Level Component	3500-4000 Years	3500	1.84124
Sichuan Basin	Sichuan Region	Level Component	4000-4500 Years	4000	1.55156
Sichuan Basin	Sichuan Region	Level Component	4500-5000 Years	4500	1.93937
Sichuan Basin	Sichuan Region	Level Component	5000-5500 Years	5000	1.43804
Sichuan Basin	Sichuan Region	Level Component	5500-6000 Years	5500	1.30934
Sichuan Basin	Sichuan Region	Level Component	6000-6500 Years	6000	1.96864
Sichuan Basin	Sichuan Region	Level Component	6500-7000 Years	6500	2.11649
Sichuan Basin	Sichuan Region	Level Component	7000-7500 Years	7000	1.79021
Sichuan Basin	Sichuan Region	Level Component	7500-8000 Years	7500	0.95188
Sichuan Basin	Sichuan Region	Level Component	8000-8500 Years	8000	1.55492
Sichuan Basin	Sichuan Region	Level Component	8500-9000 Years	8500	1.14875
Sichuan Basin	Sichuan Region	Level Component	9000-9500 Years	9000	1.52172
Sichuan Basin	Sichuan Region	Level Component	9500-10000 Years	9500	1.94165
Sichuan Basin	Sichuan Region	Level Component	10000-10500 Years	10000	2.2384
Sichuan Basin	Sichuan Region	Level Component	10500-11000 Years	10500	1.23898
Sichuan Basin	Sichuan Region	Level Component	11000-11500 Years	11000	2.16027
Southern Segment	Corridor Segment	Level Component	0-500 Years	0	1.00978
Southern Segment	Corridor Segment	Level Component	500-1000 Years	500	0.73797
Southern Segment	Corridor Segment	Level Component	1000-1500 Years	1000	0.68383
Southern Segment	Corridor Segment	Level Component	1500-2000 Years	1500	0.34613
Southern Segment	Corridor Segment	Level Component	2000-2500 Years	2000	1.8434
Southern Segment	Corridor Segment	Level Component	2500-3000 Years	2500	1.16234
Southern Segment	Corridor Segment	Level Component	3000-3500 Years	3000	1.78472
Southern Segment	Corridor Segment	Level Component	3500-4000 Years	3500	0.67965
Southern Segment	Corridor Segment	Level Component	4000-4500 Years	4000	1.61775
Southern Segment	Corridor Segment	Level Component	4500-5000 Years	4500	1.05299
Southern Segment	Corridor Segment	Level Component	5000-5500 Years	5000	1.68693
Southern Segment	Corridor Segment	Level Component	5500-6000 Years	5500	1.03551
Southern Segment	Corridor Segment	Level Component	6000-6500 Years	6000	0.21936
Southern Segment	Corridor Segment	Level Component	6500-7000 Years	6500	0.35492
Southern Segment	Corridor Segment	Level Component	7000-7500 Years	7000	0.13119
Southern Segment	Corridor Segment	Level Component	7500-8000 Years	7500	1.62789
Southern Segment	Corridor Segment	Level Component	8000-8500 Years	8000	1.42622
Southern Segment	Corridor Segment	Level Component	8500-9000 Years	8500	1.19941
Southern Segment	Corridor Segment	Level Component	9000-9500 Years	9000	1.73517
Western Highland	Highland	Level Component	0-500 Years	0	-0.67929
Western Highland	Highland	Level Component	500-1000 Years	500	-0.90464
Western Highland	Highland	Level Component	1000-1500 Years	1000	-1.02268
Western Highland	Highland	Level Component	1500-2000 Years	1500	-0.53068
Western Highland	Highland	Level Component	2000-2500 Years	2000	-0.45981
Western Highland	Highland	Level Component	2500-3000 Years	2500	-0.90044
Western Highland	Highland	Level Component	3000-3500 Years	3000	-1.03701
Western Highland	Highland	Level Component	3500-4000 Years	3500	-1.37512
Western Highland	Highland	Level Component	4000-4500 Years	4000	-1.20245
Western Highland	Highland	Level Component	4500-5000 Years	4500	-1.36322
Western Highland	Highland	Level Component	5000-5500 Years	5000	-1.28014
Western Highland	Highland	Level Component	5500-6000 Years	5500	-1.28145
Western Highland	Highland	Level Component	6000-6500 Years	6000	-1.40651
Western Highland	Highland	Level Component	6500-7000 Years	6500	-1.1051
Western Highland	Highland	Level Component	7000-7500 Years	7000	-1.05045
Western Highland	Highland	Level Component	7500-8000 Years	7500	-0.81334
Western Highland	Highland	Level Component	8000-8500 Years	8000	-0.98005
Western Highland	Highland	Level Component	8500-9000 Years	8500	-0.70188
Western Highland	Highland	Level Component	9000-9500 Years	9000	-0.66272
Western Highland	Highland	Level Component	9500-10000 Years	9500	-0.65942
Western Highland	Highland	Level Component	10000-10500 Years	10000	-0.49671
Western Highland	Highland	Level Component	10500-11000 Years	10500	-0.08025
Western Highland	Highland	Level Component	11000-11500 Years	11000	-0.33568
Western Highland	Highland	Level Component	11500-12000 Years	11500	-0.01821
Western Highland	Highland	Level Component	12000-12500 Years	12000	-0.0209
Western Highland	Highland	Level Component	12500-13000 Years	12500	0.2164
Western Highland	Highland	Level Component	13000-13500 Years	13000	-0.03111
Western Highland	Highland	Level Component	13500-14000 Years	13500	0.08793
Western Highland	Highland	Level Component	14000-14500 Years	14000	-0.00856
Western Highland	Highland	Level Component	14500-15000 Years	14500	-0.12413
Western Highland	Highland	Level Component	15000-15500 Years	15000	-0.00168
Western Highland	Highland	Level Component	15500-16000 Years	15500	0.72115
Western Highland	Highland	Level Component	16000-16500 Years	16000	0.05792
Western Highland	Highland	Level Component	16500-17000 Years	16500	0.89576
Western Highland	Highland	Level Component	17000-17500 Years	17000	0.39205
Western Highland	Highland	Level Component	17500-18000 Years	17500	1.21015
Western Highland	Highland	Level Component	18000-18500 Years	18000	0.08464
Western Highland	Highland	Level Component	18500-19000 Years	18500	0.87822
Western Highland	Highland	Level Component	19000-19500 Years	19000	0.77772
Western Highland	Highland	Level Component	19500-20000 Years	19500	0.81703
