Category	Group	Score Component	Time Window	Window Start (Years)	Score
Northern Segment	Corridor Segment	Change Component	0-500 Years	0	0.18834
Northern Segment	Corridor Segment	Change Component	500-1000 Years	500	-0.47934
Northern Segment	Corridor Segment	Change Component	1000-1500 Years	1000	-1.63311
Northern Segment	Corridor Segment	Change Component	1500-2000 Years	1500	-0.2599
Northern Segment	Corridor Segment	Change Component	2000-2500 Years	2000	0.84314
Northern Segment	Corridor Segment	Change Component	2500-3000 Years	2500	0.61545
Northern Segment	Corridor Segment	Change Component	3000-3500 Years	3000	0.04187
Northern Segment	Corridor Segment	Change Component	3500-4000 Years	3500	0.35193
Northern Segment	Corridor Segment	Change Component	4000-4500 Years	4000	0.41993
Northern Segment	Corridor Segment	Change Component	4500-5000 Years	4500	-0.18105
Northern Segment	Corridor Segment	Change Component	5000-5500 Years	5000	-0.19172
Northern Segment	Corridor Segment	Change Component	5500-6000 Years	5500	0.10411
Northern Segment	Corridor Segment	Change Component	6000-6500 Years	6000	0.09639
Northern Segment	Corridor Segment	Change Component	6500-7000 Years	6500	-0.67199
Northern Segment	Corridor Segment	Change Component	7000-7500 Years	7000	-0.20383
Northern Segment	Corridor Segment	Change Component	7500-8000 Years	7500	0.5485
Northern Segment	Corridor Segment	Change Component	8000-8500 Years	8000	-0.24482
Northern Segment	Corridor Segment	Change Component	8500-9000 Years	8500	0.27796
Northern Segment	Corridor Segment	Change Component	9000-9500 Years	9000	0.30398
Northern Segment	Corridor Segment	Change Component	9500-10000 Years	9500	-1.23364
Northern Segment	Corridor Segment	Change Component	10000-10500 Years	10000	-0.82805
Northern Segment	Corridor Segment	Change Component	10500-11000 Years	10500	-0.21248
Northern Segment	Corridor Segment	Change Component	11000-11500 Years	11000	0.87947
Northern Segment	Corridor Segment	Change Component	11500-12000 Years	11500	1.54426
Northern Segment	Corridor Segment	Change Component	12000-12500 Years	12000	1.76481
Northern Segment	Corridor Segment	Change Component	12500-13000 Years	12500	1.45462
Northern Segment	Corridor Segment	Change Component	13000-13500 Years	13000	0.95936
Northern Segment	Corridor Segment	Change Component	13500-14000 Years	13500	0.59209
