Category	Group	Window Type	Time Window	Window Start (Years)	Window End (Years)	Feature	Median	Lower 95% HPD	Upper 95% HPD	Directional Posterior Probability	Probability Statement	Reliable Window Coverage	Usable	At Window Boundary
Qinghai-Tibet Plateau Core	Highland	Time Period	0-500 Years	0	500	Net Change in Log Effective Population Size	-0.18829	-0.37729	-0.03361	0.005	Net increase over the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	0-500 Years	0	500	Mean Rate of Change	-0.00047	-0.00094	-0.00008	0.005	Positive mean rate of change	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	0-500 Years	0	500	Fluctuation Amplitude	0.18829	0.03361	0.37729			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	0-500 Years	0	500	Time of Maximum Expansion	400.00000	400.00000	400.00000	0.020	An expansion occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	0-500 Years	0	500	Maximum Expansion Rate	-0.38554	-0.79998	-0.04026	0.020	An expansion occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	0-500 Years	0	500	Time of Maximum Contraction	0.00000	0.00000	0.00000	1.000	A contraction occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	0-500 Years	0	500	Maximum Contraction Rate	-0.57618	-1.06347	-0.09604	1.000	A contraction occurs within the window	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	0-500 Years	0	500	Mean Log Effective Population Size	11.59203	11.49205	11.71724			1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	0-500 Years	0	500	Net Change in Log Effective Population Size	-1.46166	-2.25145	-0.91163	0.000	Net increase over the window	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	0-500 Years	0	500	Mean Rate of Change	-0.00365	-0.00563	-0.00228	0.000	Positive mean rate of change	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	0-500 Years	0	500	Fluctuation Amplitude	1.46166	0.91163	2.25145			1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	0-500 Years	0	500	Time of Maximum Expansion	400.00000	400.00000	400.00000	0.000	An expansion occurs within the window	1.000	Yes	Yes
Sichuan Basin	Sichuan Region	Time Period	0-500 Years	0	500	Maximum Expansion Rate	-2.74486	-4.26749	-1.70733	0.000	An expansion occurs within the window	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	0-500 Years	0	500	Time of Maximum Contraction	0.00000	0.00000	0.00000	1.000	A contraction occurs within the window	1.000	Yes	Yes
Sichuan Basin	Sichuan Region	Time Period	0-500 Years	0	500	Maximum Contraction Rate	-4.51342	-6.92509	-2.82630	1.000	A contraction occurs within the window	1.000	Yes	
Southern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Mean Log Effective Population Size	10.58911	10.50035	10.66477			1.000	Yes	
Southern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Net Change in Log Effective Population Size	-0.98445	-1.37336	-0.67575	0.000	Net increase over the window	1.000	Yes	
Southern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Mean Rate of Change	-0.00246	-0.00343	-0.00169	0.000	Positive mean rate of change	1.000	Yes	
Southern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Fluctuation Amplitude	0.98445	0.67575	1.37336			1.000	Yes	
Southern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Time of Maximum Expansion	400.00000	400.00000	400.00000	0.000	An expansion occurs within the window	1.000	Yes	Yes
Southern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Maximum Expansion Rate	-1.85125	-2.53085	-1.20224	0.000	An expansion occurs within the window	1.000	Yes	
Southern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Time of Maximum Contraction	0.00000	0.00000	0.00000	1.000	A contraction occurs within the window	1.000	Yes	Yes
Southern Segment	Corridor Segment	Time Period	0-500 Years	0	500	Maximum Contraction Rate	-3.02367	-4.21132	-2.09850	1.000	A contraction occurs within the window	1.000	Yes	
Western Highland	Highland	Time Period	0-500 Years	0	500	Mean Log Effective Population Size	9.75938	9.56130	9.96011			1.000	Yes	
Western Highland	Highland	Time Period	0-500 Years	0	500	Net Change in Log Effective Population Size	-0.17009	-0.41687	0.00684	0.035	Net increase over the window	1.000	Yes	
Western Highland	Highland	Time Period	0-500 Years	0	500	Mean Rate of Change	-0.00043	-0.00104	0.00002	0.035	Positive mean rate of change	1.000	Yes	
Western Highland	Highland	Time Period	0-500 Years	0	500	Fluctuation Amplitude	0.17009	0.00592	0.38888			1.000	Yes	
Western Highland	Highland	Time Period	0-500 Years	0	500	Time of Maximum Expansion	400.00000	400.00000	400.00000	0.055	An expansion occurs within the window	1.000	Yes	Yes
Western Highland	Highland	Time Period	0-500 Years	0	500	Maximum Expansion Rate	-0.33988	-0.88881	0.05105	0.055	An expansion occurs within the window	1.000	Yes	
Western Highland	Highland	Time Period	0-500 Years	0	500	Time of Maximum Contraction	0.00000	0.00000	0.00000	0.975	A contraction occurs within the window	1.000	Yes	Yes
Western Highland	Highland	Time Period	0-500 Years	0	500	Maximum Contraction Rate	-0.52023	-1.22657	-0.00909	0.975	A contraction occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Mean Log Effective Population Size	10.25836	10.01301	10.67011			1.000	Yes	
Central Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Net Change in Log Effective Population Size	0.13688	-0.00181	0.25494	0.975	Net increase over the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	500-1000 Years	500	1000	Mean Rate of Change	0.00034	-0.00000	0.00064	0.975	Positive mean rate of change	1.000	Yes	
