Category	Group	Window Type	Time Window	Window Start (Years)	Window End (Years)	Feature	Median	Lower 95% HPD	Upper 95% HPD	Directional Posterior Probability	Probability Statement	Reliable Window Coverage	Usable	At Window Boundary
Central Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Time of Maximum Expansion	12200.00000	12000.00000	12400.00000	0.495	An expansion occurs within the window	1.000	Yes	No
Central Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Maximum Expansion Rate	-0.00287	-0.59948	0.53273	0.495	An expansion occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Time of Maximum Contraction	12200.00000	12000.00000	12400.00000	0.575	A contraction occurs within the window	1.000	Yes	No
Central Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Maximum Contraction Rate	-0.02885	-0.63216	0.50086	0.575	A contraction occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	12000-12500 Years	12000	12500	Mean Log Effective Population Size	9.86660	9.35482	10.48735			1.000	Yes	
North China	Northern Lowland	Time Period	12000-12500 Years	12000	12500	Net Change in Log Effective Population Size	-0.06509	-0.42749	0.21218	0.330	Net increase over the window	1.000	Yes	
North China	Northern Lowland	Time Period	12000-12500 Years	12000	12500	Mean Rate of Change	-0.00016	-0.00107	0.00053	0.330	Positive mean rate of change	1.000	Yes	
North China	Northern Lowland	Time Period	12000-12500 Years	12000	12500	Fluctuation Amplitude	0.10826	0.00834	0.37049			1.000	Yes	
North China	Northern Lowland	Time Period	12000-12500 Years	12000	12500	Time of Maximum Expansion	12400.00000	12000.00000	12400.00000	0.370	An expansion occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	12000-12500 Years	12000	12500	Maximum Expansion Rate	-0.08015	-0.72284	0.43305	0.370	An expansion occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	12000-12500 Years	12000	12500	Time of Maximum Contraction	12000.00000	12000.00000	12400.00000	0.870	A contraction occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	12000-12500 Years	12000	12500	Maximum Contraction Rate	-0.29817	-0.96551	0.12975	0.870	A contraction occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Mean Log Effective Population Size	9.83163	9.31433	10.27985			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Net Change in Log Effective Population Size	0.02912	-0.30289	0.26640	0.575	Net increase over the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Mean Rate of Change	0.00007	-0.00076	0.00067	0.575	Positive mean rate of change	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Fluctuation Amplitude	0.08178	0.00251	0.30289			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Time of Maximum Expansion	12000.00000	12000.00000	12400.00000	0.705	An expansion occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Maximum Expansion Rate	0.13753	-0.29966	0.63992	0.705	An expansion occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Time of Maximum Contraction	12400.00000	12000.00000	12400.00000	0.510	A contraction occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Maximum Contraction Rate	-0.00858	-0.55364	0.52828	0.510	A contraction occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Mean Log Effective Population Size	8.61426	7.74912	9.37773			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Net Change in Log Effective Population Size	-0.00709	-0.09546	0.07306	0.440	Net increase over the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Mean Rate of Change	-0.00002	-0.00024	0.00018	0.440	Positive mean rate of change	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Fluctuation Amplitude	0.03405	0.00280	0.09546			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Time of Maximum Expansion	12400.00000	12000.00000	12400.00000	0.355	An expansion occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Maximum Expansion Rate	-0.03959	-0.22176	0.27673	0.355	An expansion occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Time of Maximum Contraction	12000.00000	12000.00000	12400.00000	0.900	A contraction occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Maximum Contraction Rate	-0.14309	-0.63011	0.05876	0.900	A contraction occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12000-12500 Years	12000	12500	Mean Log Effective Population Size	9.45353	8.73060	10.05755			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12000-12500 Years	12000	12500	Net Change in Log Effective Population Size	-0.04050	-0.24001	0.23106	0.375	Net increase over the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12000-12500 Years	12000	12500	Mean Rate of Change	-0.00010	-0.00060	0.00058	0.375	Positive mean rate of change	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12000-12500 Years	12000	12500	Fluctuation Amplitude	0.08456	0.00731	0.24001			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12000-12500 Years	12000	12500	Time of Maximum Expansion	12400.00000	12000.00000	12400.00000	0.480	An expansion occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	12000-12500 Years	12000	12500	Maximum Expansion Rate	-0.00925	-0.45851	0.46669	0.480	An expansion occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12000-12500 Years	12000	12500	Time of Maximum Contraction	12000.00000	12000.00000	12400.00000	0.740	A contraction occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	12000-12500 Years	12000	12500	Maximum Contraction Rate	-0.15298	-0.61113	0.33749	0.740	A contraction occurs within the window	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Mean Log Effective Population Size	11.12098	10.22775	12.81693			0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Net Change in Log Effective Population Size	-0.18449	-0.94561	0.52191	0.235	Net increase over the window	0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Mean Rate of Change	-0.00046	-0.00236	0.00130	0.235	Positive mean rate of change	0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Fluctuation Amplitude	0.29612	0.05596	0.93421			0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Time of Maximum Expansion	12400.00000	12400.00000	12400.00000	0.525	An expansion occurs within the window	0.000	No	Yes
Sichuan Basin	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Maximum Expansion Rate	0.02334	-1.33537	1.37707	0.525	An expansion occurs within the window	0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Time of Maximum Contraction	12000.00000	12000.00000	12000.00000	0.995	A contraction occurs within the window	0.000	No	Yes
Sichuan Basin	Sichuan Region	Time Period	12000-12500 Years	12000	12500	Maximum Contraction Rate	-1.07615	-2.21619	-0.20001	0.995	A contraction occurs within the window	0.000	No	
Southern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Mean Log Effective Population Size	10.22058	9.33094	11.04505			0.000	No	
Southern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Net Change in Log Effective Population Size	-0.10650	-0.74100	0.61594	0.360	Net increase over the window	0.000	No	
Southern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Mean Rate of Change	-0.00027	-0.00185	0.00154	0.360	Positive mean rate of change	0.000	No	
Southern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Fluctuation Amplitude	0.21702	0.04585	0.74100			0.000	No	
Southern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Time of Maximum Expansion	12400.00000	12200.00000	12400.00000	0.440	An expansion occurs within the window	0.000	No	Yes
Southern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Maximum Expansion Rate	-0.09086	-1.20022	0.74885	0.440	An expansion occurs within the window	0.000	No	
Southern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Time of Maximum Contraction	12000.00000	12000.00000	12400.00000	0.965	A contraction occurs within the window	0.000	No	Yes
Southern Segment	Corridor Segment	Time Period	12000-12500 Years	12000	12500	Maximum Contraction Rate	-0.79096	-1.78849	0.03712	0.965	A contraction occurs within the window	0.000	No	
Western Highland	Highland	Time Period	12000-12500 Years	12000	12500	Mean Log Effective Population Size	9.26074	8.51394	10.29080			1.000	Yes	
Western Highland	Highland	Time Period	12000-12500 Years	12000	12500	Net Change in Log Effective Population Size	-0.04385	-0.30887	0.22583	0.320	Net increase over the window	1.000	Yes	
Western Highland	Highland	Time Period	12000-12500 Years	12000	12500	Mean Rate of Change	-0.00011	-0.00077	0.00056	0.320	Positive mean rate of change	1.000	Yes	
Western Highland	Highland	Time Period	12000-12500 Years	12000	12500	Fluctuation Amplitude	0.08469	0.00487	0.30255			1.000	Yes	
Western Highland	Highland	Time Period	12000-12500 Years	12000	12500	Time of Maximum Expansion	12400.00000	12000.00000	12400.00000	0.405	An expansion occurs within the window	1.000	Yes	Yes
Western Highland	Highland	Time Period	12000-12500 Years	12000	12500	Maximum Expansion Rate	-0.04323	-0.45569	0.48590	0.405	An expansion occurs within the window	1.000	Yes	
Western Highland	Highland	Time Period	12000-12500 Years	12000	12500	Time of Maximum Contraction	12000.00000	12000.00000	12400.00000	0.785	A contraction occurs within the window	1.000	Yes	Yes
Western Highland	Highland	Time Period	12000-12500 Years	12000	12500	Maximum Contraction Rate	-0.17304	-0.67856	0.37265	0.785	A contraction occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Mean Log Effective Population Size	8.71245	8.09012	9.42409			1.000	Yes	
Central Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Net Change in Log Effective Population Size	-0.00456	-0.17499	0.16069	0.460	Net increase over the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Mean Rate of Change	-0.00001	-0.00044	0.00040	0.460	Positive mean rate of change	1.000	Yes	
Central Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Fluctuation Amplitude	0.05119	0.00142	0.17499			1.000	Yes	
Central Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Time of Maximum Expansion	13000.00000	12600.00000	13000.00000	0.640	An expansion occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Maximum Expansion Rate	0.06317	-0.33907	0.45569	0.640	An expansion occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Time of Maximum Contraction	12600.00000	12600.00000	13000.00000	0.735	A contraction occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Maximum Contraction Rate	-0.07881	-0.47293	0.32380	0.735	A contraction occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	12500-13000 Years	12500	13000	Mean Log Effective Population Size	9.91049	9.40303	10.67999			1.000	Yes	
North China	Northern Lowland	Time Period	12500-13000 Years	12500	13000	Net Change in Log Effective Population Size	-0.03503	-0.35836	0.23764	0.395	Net increase over the window	1.000	Yes	
North China	Northern Lowland	Time Period	12500-13000 Years	12500	13000	Mean Rate of Change	-0.00009	-0.00090	0.00059	0.395	Positive mean rate of change	1.000	Yes	
North China	Northern Lowland	Time Period	12500-13000 Years	12500	13000	Fluctuation Amplitude	0.11752	0.00427	0.35155			1.000	Yes	
North China	Northern Lowland	Time Period	12500-13000 Years	12500	13000	Time of Maximum Expansion	13000.00000	12600.00000	13000.00000	0.535	An expansion occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	12500-13000 Years	12500	13000	Maximum Expansion Rate	0.03486	-0.47911	0.48319	0.535	An expansion occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	12500-13000 Years	12500	13000	Time of Maximum Contraction	12600.00000	12600.00000	13000.00000	0.715	A contraction occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	12500-13000 Years	12500	13000	Maximum Contraction Rate	-0.17372	-0.75725	0.41117	0.715	A contraction occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Mean Log Effective Population Size	9.77933	9.37062	10.35481			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Net Change in Log Effective Population Size	0.01684	-0.26467	0.25895	0.575	Net increase over the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Mean Rate of Change	0.00004	-0.00066	0.00065	0.575	Positive mean rate of change	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Fluctuation Amplitude	0.08347	0.00280	0.26467			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Time of Maximum Expansion	12800.00000	12600.00000	13000.00000	0.695	An expansion occurs within the window	1.000	Yes	No
Northern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Maximum Expansion Rate	0.11215	-0.37308	0.56213	0.695	An expansion occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Time of Maximum Contraction	12800.00000	12600.00000	13000.00000	0.535	A contraction occurs within the window	1.000	Yes	No
Northern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Maximum Contraction Rate	-0.01713	-0.49612	0.43942	0.535	A contraction occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Mean Log Effective Population Size	8.60803	7.79933	9.35618			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Net Change in Log Effective Population Size	-0.04245	-0.32320	0.13630	0.305	Net increase over the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Mean Rate of Change	-0.00011	-0.00081	0.00034	0.305	Positive mean rate of change	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Fluctuation Amplitude	0.06463	0.00209	0.27140			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Time of Maximum Expansion	12600.00000	12600.00000	13000.00000	0.275	An expansion occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Maximum Expansion Rate	-0.06617	-0.47401	0.37802	0.275	An expansion occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Time of Maximum Contraction	13000.00000	12600.00000	13000.00000	0.735	A contraction occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Maximum Contraction Rate	-0.12878	-0.83758	0.23688	0.735	A contraction occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12500-13000 Years	12500	13000	Mean Log Effective Population Size	9.45064	8.75473	10.08226			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12500-13000 Years	12500	13000	Net Change in Log Effective Population Size	0.01249	-0.33997	0.26383	0.535	Net increase over the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12500-13000 Years	12500	13000	Mean Rate of Change	0.00003	-0.00085	0.00066	0.535	Positive mean rate of change	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12500-13000 Years	12500	13000	Fluctuation Amplitude	0.09982	0.00410	0.31796			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12500-13000 Years	12500	13000	Time of Maximum Expansion	13000.00000	12600.00000	13000.00000	0.550	An expansion occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	12500-13000 Years	12500	13000	Maximum Expansion Rate	0.04103	-0.46336	0.45713	0.550	An expansion occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	12500-13000 Years	12500	13000	Time of Maximum Contraction	12600.00000	12600.00000	13000.00000	0.620	A contraction occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	12500-13000 Years	12500	13000	Maximum Contraction Rate	-0.07302	-0.59128	0.33388	0.620	A contraction occurs within the window	1.000	Yes	
Sichuan Basin	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Mean Log Effective Population Size	10.96650	9.85491	12.34605			0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Net Change in Log Effective Population Size	0.31006	-0.54798	1.22043	0.770	Net increase over the window	0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Mean Rate of Change	0.00078	-0.00137	0.00305	0.770	Positive mean rate of change	0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Fluctuation Amplitude	0.35749	0.02816	1.08189			0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Time of Maximum Expansion	13000.00000	12600.00000	13000.00000	0.935	An expansion occurs within the window	0.000	No	Yes
Sichuan Basin	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Maximum Expansion Rate	0.91423	-0.48286	2.13892	0.935	An expansion occurs within the window	0.000	No	
Sichuan Basin	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Time of Maximum Contraction	12600.00000	12600.00000	13000.00000	0.275	A contraction occurs within the window	0.000	No	Yes
Sichuan Basin	Sichuan Region	Time Period	12500-13000 Years	12500	13000	Maximum Contraction Rate	0.41794	-1.30675	1.69010	0.275	A contraction occurs within the window	0.000	No	
Southern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Mean Log Effective Population Size	10.08383	9.02618	11.09680			0.000	No	
Southern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Net Change in Log Effective Population Size	0.11652	-0.59250	0.72661	0.610	Net increase over the window	0.000	No	
Southern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Mean Rate of Change	0.00029	-0.00148	0.00182	0.610	Positive mean rate of change	0.000	No	
Southern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Fluctuation Amplitude	0.26670	0.02520	0.71451			0.000	No	
Southern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Time of Maximum Expansion	13000.00000	12600.00000	13000.00000	0.745	An expansion occurs within the window	0.000	No	Yes
Southern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Maximum Expansion Rate	0.37702	-0.57903	1.39092	0.745	An expansion occurs within the window	0.000	No	
Southern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Time of Maximum Contraction	12600.00000	12600.00000	13000.00000	0.470	A contraction occurs within the window	0.000	No	Yes
Southern Segment	Corridor Segment	Time Period	12500-13000 Years	12500	13000	Maximum Contraction Rate	0.05925	-1.06367	1.08322	0.470	A contraction occurs within the window	0.000	No	
Western Highland	Highland	Time Period	12500-13000 Years	12500	13000	Mean Log Effective Population Size	9.31812	8.55415	10.17138			1.000	Yes	
Western Highland	Highland	Time Period	12500-13000 Years	12500	13000	Net Change in Log Effective Population Size	0.00078	-0.27700	0.38596	0.500	Net increase over the window	1.000	Yes	
Western Highland	Highland	Time Period	12500-13000 Years	12500	13000	Mean Rate of Change	0.00000	-0.00069	0.00096	0.500	Positive mean rate of change	1.000	Yes	
Western Highland	Highland	Time Period	12500-13000 Years	12500	13000	Fluctuation Amplitude	0.10880	0.00185	0.36176			1.000	Yes	
Western Highland	Highland	Time Period	12500-13000 Years	12500	13000	Time of Maximum Expansion	13000.00000	12600.00000	13000.00000	0.520	An expansion occurs within the window	1.000	Yes	Yes
Western Highland	Highland	Time Period	12500-13000 Years	12500	13000	Maximum Expansion Rate	0.00693	-0.52345	0.53671	0.520	An expansion occurs within the window	1.000	Yes	
Western Highland	Highland	Time Period	12500-13000 Years	12500	13000	Time of Maximum Contraction	12600.00000	12600.00000	13000.00000	0.640	A contraction occurs within the window	1.000	Yes	Yes
Western Highland	Highland	Time Period	12500-13000 Years	12500	13000	Maximum Contraction Rate	-0.08746	-0.54387	0.41687	0.640	A contraction occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Mean Log Effective Population Size	8.72388	8.16501	9.38091			1.000	Yes	
Central Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Net Change in Log Effective Population Size	-0.00709	-0.24426	0.34586	0.475	Net increase over the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Mean Rate of Change	-0.00002	-0.00061	0.00086	0.475	Positive mean rate of change	1.000	Yes	
Central Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Fluctuation Amplitude	0.08418	0.00171	0.33239			1.000	Yes	
Central Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Time of Maximum Expansion	13300.00000	13000.00000	13400.00000	0.540	An expansion occurs within the window	1.000	Yes	No
Central Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Maximum Expansion Rate	0.02196	-0.50650	0.48778	0.540	An expansion occurs within the window	1.000	Yes	
Central Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Time of Maximum Contraction	13000.00000	13000.00000	13400.00000	0.630	A contraction occurs within the window	1.000	Yes	Yes
Central Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Maximum Contraction Rate	-0.07307	-0.55381	0.34384	0.630	A contraction occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	13000-13500 Years	13000	13500	Mean Log Effective Population Size	9.92927	9.41737	10.68040			1.000	Yes	
North China	Northern Lowland	Time Period	13000-13500 Years	13000	13500	Net Change in Log Effective Population Size	-0.00641	-0.44400	0.35056	0.470	Net increase over the window	1.000	Yes	
North China	Northern Lowland	Time Period	13000-13500 Years	13000	13500	Mean Rate of Change	-0.00002	-0.00111	0.00088	0.470	Positive mean rate of change	1.000	Yes	
North China	Northern Lowland	Time Period	13000-13500 Years	13000	13500	Fluctuation Amplitude	0.10754	0.00860	0.41281			1.000	Yes	
North China	Northern Lowland	Time Period	13000-13500 Years	13000	13500	Time of Maximum Expansion	13400.00000	13000.00000	13400.00000	0.600	An expansion occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	13000-13500 Years	13000	13500	Maximum Expansion Rate	0.06162	-0.75725	0.63979	0.600	An expansion occurs within the window	1.000	Yes	
North China	Northern Lowland	Time Period	13000-13500 Years	13000	13500	Time of Maximum Contraction	13000.00000	13000.00000	13400.00000	0.655	A contraction occurs within the window	1.000	Yes	Yes
North China	Northern Lowland	Time Period	13000-13500 Years	13000	13500	Maximum Contraction Rate	-0.10229	-0.81049	0.43244	0.655	A contraction occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Mean Log Effective Population Size	9.77428	9.24706	10.25907			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Net Change in Log Effective Population Size	0.01595	-0.25328	0.24499	0.530	Net increase over the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Mean Rate of Change	0.00004	-0.00063	0.00061	0.530	Positive mean rate of change	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Fluctuation Amplitude	0.07681	0.00092	0.25328			1.000	Yes	
Northern Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Time of Maximum Expansion	13000.00000	13000.00000	13400.00000	0.690	An expansion occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Maximum Expansion Rate	0.11087	-0.33868	0.51066	0.690	An expansion occurs within the window	1.000	Yes	
Northern Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Time of Maximum Contraction	13400.00000	13000.00000	13400.00000	0.550	A contraction occurs within the window	1.000	Yes	Yes
Northern Segment	Corridor Segment	Time Period	13000-13500 Years	13000	13500	Maximum Contraction Rate	-0.04574	-0.47894	0.44117	0.550	A contraction occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	13000-13500 Years	13000	13500	Mean Log Effective Population Size	8.66914	7.95407	9.32876			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	13000-13500 Years	13000	13500	Net Change in Log Effective Population Size	-0.08107	-0.60560	0.24318	0.275	Net increase over the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	13000-13500 Years	13000	13500	Mean Rate of Change	-0.00020	-0.00151	0.00061	0.275	Positive mean rate of change	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	13000-13500 Years	13000	13500	Fluctuation Amplitude	0.12246	0.00231	0.49243			1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	13000-13500 Years	13000	13500	Time of Maximum Expansion	13000.00000	13000.00000	13200.00000	0.275	An expansion occurs within the window	1.000	Yes	Yes
Panxi and Liangshan	Sichuan Region	Time Period	13000-13500 Years	13000	13500	Maximum Expansion Rate	-0.12878	-0.96200	0.43447	0.275	An expansion occurs within the window	1.000	Yes	
Panxi and Liangshan	Sichuan Region	Time Period	13000-13500 Years	13000	13500	Time of Maximum Contraction	13200.00000	13000.00000	13200.00000	0.725	A contraction occurs within the window	1.000	Yes	No
Panxi and Liangshan	Sichuan Region	Time Period	13000-13500 Years	13000	13500	Maximum Contraction Rate	-0.14483	-1.08195	0.38630	0.725	A contraction occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	13000-13500 Years	13000	13500	Mean Log Effective Population Size	9.45107	8.80705	10.15079			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	13000-13500 Years	13000	13500	Net Change in Log Effective Population Size	0.00822	-0.24864	0.21084	0.520	Net increase over the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	13000-13500 Years	13000	13500	Mean Rate of Change	0.00002	-0.00062	0.00053	0.520	Positive mean rate of change	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	13000-13500 Years	13000	13500	Fluctuation Amplitude	0.08173	0.00794	0.24864			1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	13000-13500 Years	13000	13500	Time of Maximum Expansion	13400.00000	13000.00000	13400.00000	0.605	An expansion occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	13000-13500 Years	13000	13500	Maximum Expansion Rate	0.06073	-0.49855	0.46255	0.605	An expansion occurs within the window	1.000	Yes	
Qinghai-Tibet Plateau Core	Highland	Time Period	13000-13500 Years	13000	13500	Time of Maximum Contraction	13000.00000	13000.00000	13400.00000	0.595	A contraction occurs within the window	1.000	Yes	Yes
Qinghai-Tibet Plateau Core	Highland	Time Period	13000-13500 Years	13000	13500	Maximum Contraction Rate	-0.06480	-0.59122	0.32860	0.595	A contraction occurs within the window	1.000	Yes	
