Category	Group	Time Window	Window Start (Years)	Feature	Median
Southern Segment	Corridor Segment	4000-4500 Years	4000	Maximum Expansion Rate	-0.24533
Southern Segment	Corridor Segment	4000-4500 Years	4000	Time of Maximum Contraction	4200
Southern Segment	Corridor Segment	4000-4500 Years	4000	Maximum Contraction Rate	-0.69349
Western Highland	Highland	4000-4500 Years	4000	Mean Log Effective Population Size	8.78324
Western Highland	Highland	4000-4500 Years	4000	Net Change in Log Effective Population Size	-0.05975
Western Highland	Highland	4000-4500 Years	4000	Mean Rate of Change	-1.5e-4
Western Highland	Highland	4000-4500 Years	4000	Fluctuation Amplitude	0.07116
Western Highland	Highland	4000-4500 Years	4000	Time of Maximum Expansion	4400
Western Highland	Highland	4000-4500 Years	4000	Maximum Expansion Rate	-0.00181
Western Highland	Highland	4000-4500 Years	4000	Time of Maximum Contraction	4000
Western Highland	Highland	4000-4500 Years	4000	Maximum Contraction Rate	-0.12377
Central Segment	Corridor Segment	4500-5000 Years	4500	Mean Log Effective Population Size	9.72181
Central Segment	Corridor Segment	4500-5000 Years	4500	Net Change in Log Effective Population Size	0.27111
Central Segment	Corridor Segment	4500-5000 Years	4500	Mean Rate of Change	6.8e-4
Central Segment	Corridor Segment	4500-5000 Years	4500	Fluctuation Amplitude	0.27111
Central Segment	Corridor Segment	4500-5000 Years	4500	Time of Maximum Expansion	5000
Central Segment	Corridor Segment	4500-5000 Years	4500	Maximum Expansion Rate	0.50295
Central Segment	Corridor Segment	4500-5000 Years	4500	Time of Maximum Contraction	4600
Central Segment	Corridor Segment	4500-5000 Years	4500	Maximum Contraction Rate	0.41464
North China	Northern Lowland	4500-5000 Years	4500	Mean Log Effective Population Size	10.0602
North China	Northern Lowland	4500-5000 Years	4500	Net Change in Log Effective Population Size	-0.17862
North China	Northern Lowland	4500-5000 Years	4500	Mean Rate of Change	-4.5e-4
North China	Northern Lowland	4500-5000 Years	4500	Fluctuation Amplitude	0.1797
North China	Northern Lowland	4500-5000 Years	4500	Time of Maximum Expansion	4600
North China	Northern Lowland	4500-5000 Years	4500	Maximum Expansion Rate	-0.03196
North China	Northern Lowland	4500-5000 Years	4500	Time of Maximum Contraction	5000
North China	Northern Lowland	4500-5000 Years	4500	Maximum Contraction Rate	-0.34831
Northern Segment	Corridor Segment	4500-5000 Years	4500	Mean Log Effective Population Size	10.19844
Northern Segment	Corridor Segment	4500-5000 Years	4500	Net Change in Log Effective Population Size	0.1404
Northern Segment	Corridor Segment	4500-5000 Years	4500	Mean Rate of Change	3.5e-4
Northern Segment	Corridor Segment	4500-5000 Years	4500	Fluctuation Amplitude	0.14965
Northern Segment	Corridor Segment	4500-5000 Years	4500	Time of Maximum Expansion	5000
Northern Segment	Corridor Segment	4500-5000 Years	4500	Maximum Expansion Rate	0.33217
Northern Segment	Corridor Segment	4500-5000 Years	4500	Time of Maximum Contraction	4600
Northern Segment	Corridor Segment	4500-5000 Years	4500	Maximum Contraction Rate	0.21447
Panxi and Liangshan	Sichuan Region	4500-5000 Years	4500	Mean Log Effective Population Size	9.52667
Panxi and Liangshan	Sichuan Region	4500-5000 Years	4500	Net Change in Log Effective Population Size	0.27698
Panxi and Liangshan	Sichuan Region	4500-5000 Years	4500	Mean Rate of Change	6.9e-4
Panxi and Liangshan	Sichuan Region	4500-5000 Years	4500	Fluctuation Amplitude	0.27698
Panxi and Liangshan	Sichuan Region	4500-5000 Years	4500	Time of Maximum Expansion	4800
Panxi and Liangshan	Sichuan Region	4500-5000 Years	4500	Maximum Expansion Rate	0.49485
Panxi and Liangshan	Sichuan Region	4500-5000 Years	4500	Time of Maximum Contraction	4600
Panxi and Liangshan	Sichuan Region	4500-5000 Years	4500	Maximum Contraction Rate	0.43999
Qinghai-Tibet Plateau Core	Highland	4500-5000 Years	4500	Mean Log Effective Population Size	9.14412
Qinghai-Tibet Plateau Core	Highland	4500-5000 Years	4500	Net Change in Log Effective Population Size	0.05328
Qinghai-Tibet Plateau Core	Highland	4500-5000 Years	4500	Mean Rate of Change	1.3e-4
Qinghai-Tibet Plateau Core	Highland	4500-5000 Years	4500	Fluctuation Amplitude	0.09994
Qinghai-Tibet Plateau Core	Highland	4500-5000 Years	4500	Time of Maximum Expansion	5000
Qinghai-Tibet Plateau Core	Highland	4500-5000 Years	4500	Maximum Expansion Rate	0.11708
Qinghai-Tibet Plateau Core	Highland	4500-5000 Years	4500	Time of Maximum Contraction	4600
Qinghai-Tibet Plateau Core	Highland	4500-5000 Years	4500	Maximum Contraction Rate	0.02121
Sichuan Basin	Sichuan Region	4500-5000 Years	4500	Mean Log Effective Population Size	11.05421
Sichuan Basin	Sichuan Region	4500-5000 Years	4500	Net Change in Log Effective Population Size	0.56014
Sichuan Basin	Sichuan Region	4500-5000 Years	4500	Mean Rate of Change	0.0014
Sichuan Basin	Sichuan Region	4500-5000 Years	4500	Fluctuation Amplitude	0.56014
Sichuan Basin	Sichuan Region	4500-5000 Years	4500	Time of Maximum Expansion	5000
Sichuan Basin	Sichuan Region	4500-5000 Years	4500	Maximum Expansion Rate	0.98883
Sichuan Basin	Sichuan Region	4500-5000 Years	4500	Time of Maximum Contraction	4600
Sichuan Basin	Sichuan Region	4500-5000 Years	4500	Maximum Contraction Rate	0.40322
Southern Segment	Corridor Segment	4500-5000 Years	4500	Mean Log Effective Population Size	10.99216
Southern Segment	Corridor Segment	4500-5000 Years	4500	Net Change in Log Effective Population Size	0.32433
Southern Segment	Corridor Segment	4500-5000 Years	4500	Mean Rate of Change	8.1e-4
Southern Segment	Corridor Segment	4500-5000 Years	4500	Fluctuation Amplitude	0.32625
Southern Segment	Corridor Segment	4500-5000 Years	4500	Time of Maximum Expansion	5000
Southern Segment	Corridor Segment	4500-5000 Years	4500	Maximum Expansion Rate	0.9189
Southern Segment	Corridor Segment	4500-5000 Years	4500	Time of Maximum Contraction	4600
Southern Segment	Corridor Segment	4500-5000 Years	4500	Maximum Contraction Rate	0.08833
Western Highland	Highland	4500-5000 Years	4500	Mean Log Effective Population Size	8.77611
Western Highland	Highland	4500-5000 Years	4500	Net Change in Log Effective Population Size	0.05926
Western Highland	Highland	4500-5000 Years	4500	Mean Rate of Change	1.5e-4
Western Highland	Highland	4500-5000 Years	4500	Fluctuation Amplitude	0.09803
Western Highland	Highland	4500-5000 Years	4500	Time of Maximum Expansion	5000
Western Highland	Highland	4500-5000 Years	4500	Maximum Expansion Rate	0.13604
Western Highland	Highland	4500-5000 Years	4500	Time of Maximum Contraction	4600
Western Highland	Highland	4500-5000 Years	4500	Maximum Contraction Rate	0.03052
Central Segment	Corridor Segment	5000-5500 Years	5000	Mean Log Effective Population Size	9.4945
Central Segment	Corridor Segment	5000-5500 Years	5000	Net Change in Log Effective Population Size	0.20957
Central Segment	Corridor Segment	5000-5500 Years	5000	Mean Rate of Change	5.2e-4
Central Segment	Corridor Segment	5000-5500 Years	5000	Fluctuation Amplitude	0.20957
Central Segment	Corridor Segment	5000-5500 Years	5000	Time of Maximum Expansion	5300
Central Segment	Corridor Segment	5000-5500 Years	5000	Maximum Expansion Rate	0.56209
Central Segment	Corridor Segment	5000-5500 Years	5000	Time of Maximum Contraction	5000
Central Segment	Corridor Segment	5000-5500 Years	5000	Maximum Contraction Rate	0.44342
North China	Northern Lowland	5000-5500 Years	5000	Mean Log Effective Population Size	10.2643
North China	Northern Lowland	5000-5500 Years	5000	Net Change in Log Effective Population Size	-0.20481
North China	Northern Lowland	5000-5500 Years	5000	Mean Rate of Change	-5.1e-4
North China	Northern Lowland	5000-5500 Years	5000	Fluctuation Amplitude	0.20481
North China	Northern Lowland	5000-5500 Years	5000	Time of Maximum Expansion	5000
North China	Northern Lowland	5000-5500 Years	5000	Maximum Expansion Rate	-0.29534
North China	Northern Lowland	5000-5500 Years	5000	Time of Maximum Contraction	5200
North China	Northern Lowland	5000-5500 Years	5000	Maximum Contraction Rate	-0.43174
Northern Segment	Corridor Segment	5000-5500 Years	5000	Mean Log Effective Population Size	10.04041
Northern Segment	Corridor Segment	5000-5500 Years	5000	Net Change in Log Effective Population Size	0.15927
Northern Segment	Corridor Segment	5000-5500 Years	5000	Mean Rate of Change	4e-4
Northern Segment	Corridor Segment	5000-5500 Years	5000	Fluctuation Amplitude	0.15927
Northern Segment	Corridor Segment	5000-5500 Years	5000	Time of Maximum Expansion	5200
Northern Segment	Corridor Segment	5000-5500 Years	5000	Maximum Expansion Rate	0.36124
Northern Segment	Corridor Segment	5000-5500 Years	5000	Time of Maximum Contraction	5400
Northern Segment	Corridor Segment	5000-5500 Years	5000	Maximum Contraction Rate	0.23942
Panxi and Liangshan	Sichuan Region	5000-5500 Years	5000	Mean Log Effective Population Size	9.23101
Panxi and Liangshan	Sichuan Region	5000-5500 Years	5000	Net Change in Log Effective Population Size	0.23259
Panxi and Liangshan	Sichuan Region	5000-5500 Years	5000	Mean Rate of Change	5.8e-4
Panxi and Liangshan	Sichuan Region	5000-5500 Years	5000	Fluctuation Amplitude	0.23259
Panxi and Liangshan	Sichuan Region	5000-5500 Years	5000	Time of Maximum Expansion	5000
Panxi and Liangshan	Sichuan Region	5000-5500 Years	5000	Maximum Expansion Rate	0.49485
Panxi and Liangshan	Sichuan Region	5000-5500 Years	5000	Time of Maximum Contraction	5400
Panxi and Liangshan	Sichuan Region	5000-5500 Years	5000	Maximum Contraction Rate	0.33687
Qinghai-Tibet Plateau Core	Highland	5000-5500 Years	5000	Mean Log Effective Population Size	9.09281
Qinghai-Tibet Plateau Core	Highland	5000-5500 Years	5000	Net Change in Log Effective Population Size	0.05599
Qinghai-Tibet Plateau Core	Highland	5000-5500 Years	5000	Mean Rate of Change	1.4e-4
Qinghai-Tibet Plateau Core	Highland	5000-5500 Years	5000	Fluctuation Amplitude	0.07754
Qinghai-Tibet Plateau Core	Highland	5000-5500 Years	5000	Time of Maximum Expansion	5200
Qinghai-Tibet Plateau Core	Highland	5000-5500 Years	5000	Maximum Expansion Rate	0.15668
Qinghai-Tibet Plateau Core	Highland	5000-5500 Years	5000	Time of Maximum Contraction	5200
Qinghai-Tibet Plateau Core	Highland	5000-5500 Years	5000	Maximum Contraction Rate	0.05688
Sichuan Basin	Sichuan Region	5000-5500 Years	5000	Mean Log Effective Population Size	10.4462
Sichuan Basin	Sichuan Region	5000-5500 Years	5000	Net Change in Log Effective Population Size	0.56409
Sichuan Basin	Sichuan Region	5000-5500 Years	5000	Mean Rate of Change	0.00141
Sichuan Basin	Sichuan Region	5000-5500 Years	5000	Fluctuation Amplitude	0.56409
Sichuan Basin	Sichuan Region	5000-5500 Years	5000	Time of Maximum Expansion	5000
Sichuan Basin	Sichuan Region	5000-5500 Years	5000	Maximum Expansion Rate	1.0036
Sichuan Basin	Sichuan Region	5000-5500 Years	5000	Time of Maximum Contraction	5400
Sichuan Basin	Sichuan Region	5000-5500 Years	5000	Maximum Contraction Rate	0.58388
Southern Segment	Corridor Segment	5000-5500 Years	5000	Mean Log Effective Population Size	10.4656
Southern Segment	Corridor Segment	5000-5500 Years	5000	Net Change in Log Effective Population Size	0.63619
Southern Segment	Corridor Segment	5000-5500 Years	5000	Mean Rate of Change	0.00159
Southern Segment	Corridor Segment	5000-5500 Years	5000	Fluctuation Amplitude	0.63619
Southern Segment	Corridor Segment	5000-5500 Years	5000	Time of Maximum Expansion	5300
Southern Segment	Corridor Segment	5000-5500 Years	5000	Maximum Expansion Rate	1.152
Southern Segment	Corridor Segment	5000-5500 Years	5000	Time of Maximum Contraction	5000
Southern Segment	Corridor Segment	5000-5500 Years	5000	Maximum Contraction Rate	0.83842
Western Highland	Highland	5000-5500 Years	5000	Mean Log Effective Population Size	8.71357
Western Highland	Highland	5000-5500 Years	5000	Net Change in Log Effective Population Size	0.06422
Western Highland	Highland	5000-5500 Years	5000	Mean Rate of Change	1.6e-4
Western Highland	Highland	5000-5500 Years	5000	Fluctuation Amplitude	0.08079
Western Highland	Highland	5000-5500 Years	5000	Time of Maximum Expansion	5400
Western Highland	Highland	5000-5500 Years	5000	Maximum Expansion Rate	0.20752
Western Highland	Highland	5000-5500 Years	5000	Time of Maximum Contraction	5000
Western Highland	Highland	5000-5500 Years	5000	Maximum Contraction Rate	0.06774
Central Segment	Corridor Segment	5500-6000 Years	5500	Mean Log Effective Population Size	9.20148
Central Segment	Corridor Segment	5500-6000 Years	5500	Net Change in Log Effective Population Size	0.16941
Central Segment	Corridor Segment	5500-6000 Years	5500	Mean Rate of Change	4.2e-4
Central Segment	Corridor Segment	5500-6000 Years	5500	Fluctuation Amplitude	0.16941
Central Segment	Corridor Segment	5500-6000 Years	5500	Time of Maximum Expansion	5600
Central Segment	Corridor Segment	5500-6000 Years	5500	Maximum Expansion Rate	0.5197
Central Segment	Corridor Segment	5500-6000 Years	5500	Time of Maximum Contraction	6000
Central Segment	Corridor Segment	5500-6000 Years	5500	Maximum Contraction Rate	0.42565
North China	Northern Lowland	5500-6000 Years	5500	Mean Log Effective Population Size	10.49278
North China	Northern Lowland	5500-6000 Years	5500	Net Change in Log Effective Population Size	-0.09919
North China	Northern Lowland	5500-6000 Years	5500	Mean Rate of Change	-2.5e-4
North China	Northern Lowland	5500-6000 Years	5500	Fluctuation Amplitude	0.13497
North China	Northern Lowland	5500-6000 Years	5500	Time of Maximum Expansion	6000
North China	Northern Lowland	5500-6000 Years	5500	Maximum Expansion Rate	-0.06644
North China	Northern Lowland	5500-6000 Years	5500	Time of Maximum Contraction	5600
North China	Northern Lowland	5500-6000 Years	5500	Maximum Contraction Rate	-0.26539
Northern Segment	Corridor Segment	5500-6000 Years	5500	Mean Log Effective Population Size	9.86759
Northern Segment	Corridor Segment	5500-6000 Years	5500	Net Change in Log Effective Population Size	0.06251
Northern Segment	Corridor Segment	5500-6000 Years	5500	Mean Rate of Change	1.6e-4
Northern Segment	Corridor Segment	5500-6000 Years	5500	Fluctuation Amplitude	0.08887
Northern Segment	Corridor Segment	5500-6000 Years	5500	Time of Maximum Expansion	5600
Northern Segment	Corridor Segment	5500-6000 Years	5500	Maximum Expansion Rate	0.26884
Northern Segment	Corridor Segment	5500-6000 Years	5500	Time of Maximum Contraction	6000
Northern Segment	Corridor Segment	5500-6000 Years	5500	Maximum Contraction Rate	0.15576
Panxi and Liangshan	Sichuan Region	5500-6000 Years	5500	Mean Log Effective Population Size	9.10018
Panxi and Liangshan	Sichuan Region	5500-6000 Years	5500	Net Change in Log Effective Population Size	-0.04866
Panxi and Liangshan	Sichuan Region	5500-6000 Years	5500	Mean Rate of Change	-1.2e-4
Panxi and Liangshan	Sichuan Region	5500-6000 Years	5500	Fluctuation Amplitude	0.04888
Panxi and Liangshan	Sichuan Region	5500-6000 Years	5500	Time of Maximum Expansion	5600
Panxi and Liangshan	Sichuan Region	5500-6000 Years	5500	Maximum Expansion Rate	0.28279
Panxi and Liangshan	Sichuan Region	5500-6000 Years	5500	Time of Maximum Contraction	5800
Panxi and Liangshan	Sichuan Region	5500-6000 Years	5500	Maximum Contraction Rate	0.13812
Qinghai-Tibet Plateau Core	Highland	5500-6000 Years	5500	Mean Log Effective Population Size	9.01661
Qinghai-Tibet Plateau Core	Highland	5500-6000 Years	5500	Net Change in Log Effective Population Size	0.02804
Qinghai-Tibet Plateau Core	Highland	5500-6000 Years	5500	Mean Rate of Change	7e-5
Qinghai-Tibet Plateau Core	Highland	5500-6000 Years	5500	Fluctuation Amplitude	0.08412
Qinghai-Tibet Plateau Core	Highland	5500-6000 Years	5500	Time of Maximum Expansion	5600
Qinghai-Tibet Plateau Core	Highland	5500-6000 Years	5500	Maximum Expansion Rate	0.13198
Qinghai-Tibet Plateau Core	Highland	5500-6000 Years	5500	Time of Maximum Contraction	6000
Qinghai-Tibet Plateau Core	Highland	5500-6000 Years	5500	Maximum Contraction Rate	0.04562
Sichuan Basin	Sichuan Region	5500-6000 Years	5500	Mean Log Effective Population Size	10.18941
Sichuan Basin	Sichuan Region	5500-6000 Years	5500	Net Change in Log Effective Population Size	-0.20841
Sichuan Basin	Sichuan Region	5500-6000 Years	5500	Mean Rate of Change	-5.2e-4
Sichuan Basin	Sichuan Region	5500-6000 Years	5500	Fluctuation Amplitude	0.22082
Sichuan Basin	Sichuan Region	5500-6000 Years	5500	Time of Maximum Expansion	5600
Sichuan Basin	Sichuan Region	5500-6000 Years	5500	Maximum Expansion Rate	0.21986
Sichuan Basin	Sichuan Region	5500-6000 Years	5500	Time of Maximum Contraction	6000
Sichuan Basin	Sichuan Region	5500-6000 Years	5500	Maximum Contraction Rate	-0.15635
Southern Segment	Corridor Segment	5500-6000 Years	5500	Mean Log Effective Population Size	9.69818
Southern Segment	Corridor Segment	5500-6000 Years	5500	Net Change in Log Effective Population Size	0.27475
Southern Segment	Corridor Segment	5500-6000 Years	5500	Mean Rate of Change	6.9e-4
Southern Segment	Corridor Segment	5500-6000 Years	5500	Fluctuation Amplitude	0.27475
Southern Segment	Corridor Segment	5500-6000 Years	5500	Time of Maximum Expansion	5600
Southern Segment	Corridor Segment	5500-6000 Years	5500	Maximum Expansion Rate	0.94616
Southern Segment	Corridor Segment	5500-6000 Years	5500	Time of Maximum Contraction	6000
Southern Segment	Corridor Segment	5500-6000 Years	5500	Maximum Contraction Rate	0.4818
Western Highland	Highland	5500-6000 Years	5500	Mean Log Effective Population Size	8.60788
Western Highland	Highland	5500-6000 Years	5500	Net Change in Log Effective Population Size	0.07592
Western Highland	Highland	5500-6000 Years	5500	Mean Rate of Change	1.9e-4
Western Highland	Highland	5500-6000 Years	5500	Fluctuation Amplitude	0.11786
Western Highland	Highland	5500-6000 Years	5500	Time of Maximum Expansion	5600
Western Highland	Highland	5500-6000 Years	5500	Maximum Expansion Rate	0.19393
Western Highland	Highland	5500-6000 Years	5500	Time of Maximum Contraction	6000
Western Highland	Highland	5500-6000 Years	5500	Maximum Contraction Rate	0.12215
Central Segment	Corridor Segment	6000-6500 Years	6000	Mean Log Effective Population Size	9.00683
Central Segment	Corridor Segment	6000-6500 Years	6000	Net Change in Log Effective Population Size	0.22286
Central Segment	Corridor Segment	6000-6500 Years	6000	Mean Rate of Change	5.6e-4
Central Segment	Corridor Segment	6000-6500 Years	6000	Fluctuation Amplitude	0.22286
Central Segment	Corridor Segment	6000-6500 Years	6000	Time of Maximum Expansion	6000
Central Segment	Corridor Segment	6000-6500 Years	6000	Maximum Expansion Rate	0.43991
Central Segment	Corridor Segment	6000-6500 Years	6000	Time of Maximum Contraction	6400
Central Segment	Corridor Segment	6000-6500 Years	6000	Maximum Contraction Rate	0.38628
North China	Northern Lowland	6000-6500 Years	6000	Mean Log Effective Population Size	10.52106
North China	Northern Lowland	6000-6500 Years	6000	Net Change in Log Effective Population Size	0.0384
North China	Northern Lowland	6000-6500 Years	6000	Mean Rate of Change	1e-4
North China	Northern Lowland	6000-6500 Years	6000	Fluctuation Amplitude	0.06899
North China	Northern Lowland	6000-6500 Years	6000	Time of Maximum Expansion	6400
North China	Northern Lowland	6000-6500 Years	6000	Maximum Expansion Rate	0.2129
North China	Northern Lowland	6000-6500 Years	6000	Time of Maximum Contraction	6000
North China	Northern Lowland	6000-6500 Years	6000	Maximum Contraction Rate	-0.0857
Northern Segment	Corridor Segment	6000-6500 Years	6000	Mean Log Effective Population Size	9.80853
Northern Segment	Corridor Segment	6000-6500 Years	6000	Net Change in Log Effective Population Size	0.06414
Northern Segment	Corridor Segment	6000-6500 Years	6000	Mean Rate of Change	1.6e-4
Northern Segment	Corridor Segment	6000-6500 Years	6000	Fluctuation Amplitude	0.0799
Northern Segment	Corridor Segment	6000-6500 Years	6000	Time of Maximum Expansion	6000
Northern Segment	Corridor Segment	6000-6500 Years	6000	Maximum Expansion Rate	0.22315
Northern Segment	Corridor Segment	6000-6500 Years	6000	Time of Maximum Contraction	6400
Northern Segment	Corridor Segment	6000-6500 Years	6000	Maximum Contraction Rate	0.09251
Panxi and Liangshan	Sichuan Region	6000-6500 Years	6000	Mean Log Effective Population Size	9.08025
Panxi and Liangshan	Sichuan Region	6000-6500 Years	6000	Net Change in Log Effective Population Size	0.11794
Panxi and Liangshan	Sichuan Region	6000-6500 Years	6000	Mean Rate of Change	2.9e-4
Panxi and Liangshan	Sichuan Region	6000-6500 Years	6000	Fluctuation Amplitude	0.11956
Panxi and Liangshan	Sichuan Region	6000-6500 Years	6000	Time of Maximum Expansion	6400
Panxi and Liangshan	Sichuan Region	6000-6500 Years	6000	Maximum Expansion Rate	0.38378
Panxi and Liangshan	Sichuan Region	6000-6500 Years	6000	Time of Maximum Contraction	6000
Panxi and Liangshan	Sichuan Region	6000-6500 Years	6000	Maximum Contraction Rate	0.19084
Qinghai-Tibet Plateau Core	Highland	6000-6500 Years	6000	Mean Log Effective Population Size	8.97376
Qinghai-Tibet Plateau Core	Highland	6000-6500 Years	6000	Net Change in Log Effective Population Size	0.03532
Qinghai-Tibet Plateau Core	Highland	6000-6500 Years	6000	Mean Rate of Change	9e-5
Qinghai-Tibet Plateau Core	Highland	6000-6500 Years	6000	Fluctuation Amplitude	0.0727
Qinghai-Tibet Plateau Core	Highland	6000-6500 Years	6000	Time of Maximum Expansion	6000
Qinghai-Tibet Plateau Core	Highland	6000-6500 Years	6000	Maximum Expansion Rate	0.17172
Qinghai-Tibet Plateau Core	Highland	6000-6500 Years	6000	Time of Maximum Contraction	6400
Qinghai-Tibet Plateau Core	Highland	6000-6500 Years	6000	Maximum Contraction Rate	0.02846
Sichuan Basin	Sichuan Region	6000-6500 Years	6000	Mean Log Effective Population Size	10.45602
Sichuan Basin	Sichuan Region	6000-6500 Years	6000	Net Change in Log Effective Population Size	-0.26306
Sichuan Basin	Sichuan Region	6000-6500 Years	6000	Mean Rate of Change	-6.6e-4
Sichuan Basin	Sichuan Region	6000-6500 Years	6000	Fluctuation Amplitude	0.26744
Sichuan Basin	Sichuan Region	6000-6500 Years	6000	Time of Maximum Expansion	6400
Sichuan Basin	Sichuan Region	6000-6500 Years	6000	Maximum Expansion Rate	0.2353
Sichuan Basin	Sichuan Region	6000-6500 Years	6000	Time of Maximum Contraction	6000
Sichuan Basin	Sichuan Region	6000-6500 Years	6000	Maximum Contraction Rate	-0.15069
Southern Segment	Corridor Segment	6000-6500 Years	6000	Mean Log Effective Population Size	9.6126
Southern Segment	Corridor Segment	6000-6500 Years	6000	Net Change in Log Effective Population Size	-0.05609
Southern Segment	Corridor Segment	6000-6500 Years	6000	Mean Rate of Change	-1.4e-4
Southern Segment	Corridor Segment	6000-6500 Years	6000	Fluctuation Amplitude	0.14782
Southern Segment	Corridor Segment	6000-6500 Years	6000	Time of Maximum Expansion	6000
Southern Segment	Corridor Segment	6000-6500 Years	6000	Maximum Expansion Rate	0.49784
Southern Segment	Corridor Segment	6000-6500 Years	6000	Time of Maximum Contraction	6400
Southern Segment	Corridor Segment	6000-6500 Years	6000	Maximum Contraction Rate	0.21834
Western Highland	Highland	6000-6500 Years	6000	Mean Log Effective Population Size	8.56091
Western Highland	Highland	6000-6500 Years	6000	Net Change in Log Effective Population Size	0.06456
Western Highland	Highland	6000-6500 Years	6000	Mean Rate of Change	1.6e-4
Western Highland	Highland	6000-6500 Years	6000	Fluctuation Amplitude	0.09018
Western Highland	Highland	6000-6500 Years	6000	Time of Maximum Expansion	6000
Western Highland	Highland	6000-6500 Years	6000	Maximum Expansion Rate	0.18495
Western Highland	Highland	6000-6500 Years	6000	Time of Maximum Contraction	6400
Western Highland	Highland	6000-6500 Years	6000	Maximum Contraction Rate	0.0456
Central Segment	Corridor Segment	6500-7000 Years	6500	Mean Log Effective Population Size	8.7397
Central Segment	Corridor Segment	6500-7000 Years	6500	Net Change in Log Effective Population Size	0.05734
Central Segment	Corridor Segment	6500-7000 Years	6500	Mean Rate of Change	1.4e-4
Central Segment	Corridor Segment	6500-7000 Years	6500	Fluctuation Amplitude	0.07202
Central Segment	Corridor Segment	6500-7000 Years	6500	Time of Maximum Expansion	6600
Central Segment	Corridor Segment	6500-7000 Years	6500	Maximum Expansion Rate	0.33757
Central Segment	Corridor Segment	6500-7000 Years	6500	Time of Maximum Contraction	7000
Central Segment	Corridor Segment	6500-7000 Years	6500	Maximum Contraction Rate	0.11989
North China	Northern Lowland	6500-7000 Years	6500	Mean Log Effective Population Size	10.36918
North China	Northern Lowland	6500-7000 Years	6500	Net Change in Log Effective Population Size	0.1663
North China	Northern Lowland	6500-7000 Years	6500	Mean Rate of Change	4.2e-4
North China	Northern Lowland	6500-7000 Years	6500	Fluctuation Amplitude	0.19065
North China	Northern Lowland	6500-7000 Years	6500	Time of Maximum Expansion	7000
North China	Northern Lowland	6500-7000 Years	6500	Maximum Expansion Rate	0.48355
North China	Northern Lowland	6500-7000 Years	6500	Time of Maximum Contraction	6600
North China	Northern Lowland	6500-7000 Years	6500	Maximum Contraction Rate	0.29163
Northern Segment	Corridor Segment	6500-7000 Years	6500	Mean Log Effective Population Size	9.7284
Northern Segment	Corridor Segment	6500-7000 Years	6500	Net Change in Log Effective Population Size	0.04291
Northern Segment	Corridor Segment	6500-7000 Years	6500	Mean Rate of Change	1.1e-4
Northern Segment	Corridor Segment	6500-7000 Years	6500	Fluctuation Amplitude	0.09141
Northern Segment	Corridor Segment	6500-7000 Years	6500	Time of Maximum Expansion	6800
Northern Segment	Corridor Segment	6500-7000 Years	6500	Maximum Expansion Rate	0.1709
Northern Segment	Corridor Segment	6500-7000 Years	6500	Time of Maximum Contraction	6800
Northern Segment	Corridor Segment	6500-7000 Years	6500	Maximum Contraction Rate	0.09576
Panxi and Liangshan	Sichuan Region	6500-7000 Years	6500	Mean Log Effective Population Size	8.7532
Panxi and Liangshan	Sichuan Region	6500-7000 Years	6500	Net Change in Log Effective Population Size	0.2416
Panxi and Liangshan	Sichuan Region	6500-7000 Years	6500	Mean Rate of Change	6e-4
Panxi and Liangshan	Sichuan Region	6500-7000 Years	6500	Fluctuation Amplitude	0.2416
Panxi and Liangshan	Sichuan Region	6500-7000 Years	6500	Time of Maximum Expansion	6600
Panxi and Liangshan	Sichuan Region	6500-7000 Years	6500	Maximum Expansion Rate	0.43163
Panxi and Liangshan	Sichuan Region	6500-7000 Years	6500	Time of Maximum Contraction	7000
Panxi and Liangshan	Sichuan Region	6500-7000 Years	6500	Maximum Contraction Rate	0.38378
Qinghai-Tibet Plateau Core	Highland	6500-7000 Years	6500	Mean Log Effective Population Size	8.93034
Qinghai-Tibet Plateau Core	Highland	6500-7000 Years	6500	Net Change in Log Effective Population Size	0.02184
Qinghai-Tibet Plateau Core	Highland	6500-7000 Years	6500	Mean Rate of Change	5e-5
Qinghai-Tibet Plateau Core	Highland	6500-7000 Years	6500	Fluctuation Amplitude	0.10136
Qinghai-Tibet Plateau Core	Highland	6500-7000 Years	6500	Time of Maximum Expansion	6600
Qinghai-Tibet Plateau Core	Highland	6500-7000 Years	6500	Maximum Expansion Rate	0.09778
Qinghai-Tibet Plateau Core	Highland	6500-7000 Years	6500	Time of Maximum Contraction	7000
Qinghai-Tibet Plateau Core	Highland	6500-7000 Years	6500	Maximum Contraction Rate	3.7e-4
Sichuan Basin	Sichuan Region	6500-7000 Years	6500	Mean Log Effective Population Size	10.22593
Sichuan Basin	Sichuan Region	6500-7000 Years	6500	Net Change in Log Effective Population Size	0.56297
Sichuan Basin	Sichuan Region	6500-7000 Years	6500	Mean Rate of Change	0.00141
Sichuan Basin	Sichuan Region	6500-7000 Years	6500	Fluctuation Amplitude	0.56297
Sichuan Basin	Sichuan Region	6500-7000 Years	6500	Time of Maximum Expansion	7000
Sichuan Basin	Sichuan Region	6500-7000 Years	6500	Maximum Expansion Rate	0.80797
Sichuan Basin	Sichuan Region	6500-7000 Years	6500	Time of Maximum Contraction	6600
Sichuan Basin	Sichuan Region	6500-7000 Years	6500	Maximum Contraction Rate	0.5088
