Quantity	Window Type	Time Window	Window Start (Years)	Category	Second Category	Group	Cluster	Component	Score Component	Value	Reliable Window Coverage	Usable
Scatter Coordinate	Time Period	5000-5500 Years	5000	Western Highland		Highland	Cluster 1	Component 2		2.22836	1.000	Yes
Explained Variance	Time Period	5000-5500 Years	5000					Component 1		0.61778		
Explained Variance	Time Period	5000-5500 Years	5000					Component 2		0.25626		
Node Size	Time Period	5000-5500 Years	5000	Central Segment		Corridor Segment	Cluster 1			9.49450		Yes
Node Size	Time Period	5000-5500 Years	5000	North China		Northern Lowland	Cluster 1			10.26430		Yes
Node Size	Time Period	5000-5500 Years	5000	Northern Segment		Corridor Segment	Cluster 1			10.04041		Yes
Node Size	Time Period	5000-5500 Years	5000	Panxi and Liangshan		Sichuan Region	Cluster 1			9.23101		Yes
Node Size	Time Period	5000-5500 Years	5000	Qinghai-Tibet Plateau Core		Highland	Cluster 1			9.09281		Yes
Node Size	Time Period	5000-5500 Years	5000	Sichuan Basin		Sichuan Region	Cluster 2			10.44620		Yes
Node Size	Time Period	5000-5500 Years	5000	Southern Segment		Corridor Segment	Cluster 2			10.46560		Yes
Node Size	Time Period	5000-5500 Years	5000	Western Highland		Highland	Cluster 1			8.71357		Yes
Cluster Membership	Time Period	5500-6000 Years	5500	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	5500-6000 Years	5500	North China		Northern Lowland	Cluster 2				1.000	Yes
Cluster Membership	Time Period	5500-6000 Years	5500	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	5500-6000 Years	5500	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	5500-6000 Years	5500	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	5500-6000 Years	5500	Sichuan Basin		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	5500-6000 Years	5500	Southern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	5500-6000 Years	5500	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Central Segment	North China	Corridor Segment				0.4420		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Central Segment	Northern Segment	Corridor Segment				0.7020		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Central Segment	Panxi and Liangshan	Corridor Segment				0.7020		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.6920		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Central Segment	Sichuan Basin	Corridor Segment				0.4720		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Central Segment	Southern Segment	Corridor Segment				0.6500		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Central Segment	Western Highland	Corridor Segment				0.7180		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	North China	Northern Segment	Northern Lowland				0.6840		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	North China	Panxi and Liangshan	Northern Lowland				0.7240		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.6660		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	North China	Sichuan Basin	Northern Lowland				0.6500		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	North China	Southern Segment	Northern Lowland				0.2960		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	North China	Western Highland	Northern Lowland				0.6120		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Northern Segment	Panxi and Liangshan	Corridor Segment				0.9040		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.8620		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Northern Segment	Sichuan Basin	Corridor Segment				0.7180		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Northern Segment	Southern Segment	Corridor Segment				0.5480		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Northern Segment	Western Highland	Corridor Segment				0.8160		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.9100		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Panxi and Liangshan	Sichuan Basin	Sichuan Region				0.7380		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Panxi and Liangshan	Southern Segment	Sichuan Region				0.5560		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Panxi and Liangshan	Western Highland	Sichuan Region				0.8640		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Sichuan Basin	Highland				0.6960		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Southern Segment	Highland				0.5620		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.8380		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Sichuan Basin	Southern Segment	Sichuan Region				0.3420		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Sichuan Basin	Western Highland	Sichuan Region				0.6420		Yes
Co-clustering Frequency	Time Period	5500-6000 Years	5500	Southern Segment	Western Highland	Corridor Segment				0.5520		Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Central Segment		Corridor Segment	Cluster 1	Component 1		2.15354	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Central Segment		Corridor Segment	Cluster 1	Component 2		0.15111	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	North China		Northern Lowland	Cluster 2	Component 1		-4.04792	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	North China		Northern Lowland	Cluster 2	Component 2		1.72040	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Northern Segment		Corridor Segment	Cluster 1	Component 1		0.22289	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Northern Segment		Corridor Segment	Cluster 1	Component 2		-0.37278	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		-0.70548	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		-1.29378	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-0.04841	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		-1.44278	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Sichuan Basin		Sichuan Region	Cluster 1	Component 1		-1.80166	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Sichuan Basin		Sichuan Region	Cluster 1	Component 2		0.48035	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Southern Segment		Corridor Segment	Cluster 1	Component 1		3.52626	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Southern Segment		Corridor Segment	Cluster 1	Component 2		2.14963	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Western Highland		Highland	Cluster 1	Component 1		0.70078	1.000	Yes
Scatter Coordinate	Time Period	5500-6000 Years	5500	Western Highland		Highland	Cluster 1	Component 2		-1.39215	1.000	Yes
Explained Variance	Time Period	5500-6000 Years	5500					Component 1		0.58976		
Explained Variance	Time Period	5500-6000 Years	5500					Component 2		0.21354		
Node Size	Time Period	5500-6000 Years	5500	Central Segment		Corridor Segment	Cluster 1			9.20148		Yes
Node Size	Time Period	5500-6000 Years	5500	North China		Northern Lowland	Cluster 2			10.49278		Yes
Node Size	Time Period	5500-6000 Years	5500	Northern Segment		Corridor Segment	Cluster 1			9.86759		Yes
Node Size	Time Period	5500-6000 Years	5500	Panxi and Liangshan		Sichuan Region	Cluster 1			9.10018		Yes
Node Size	Time Period	5500-6000 Years	5500	Qinghai-Tibet Plateau Core		Highland	Cluster 1			9.01661		Yes
Node Size	Time Period	5500-6000 Years	5500	Sichuan Basin		Sichuan Region	Cluster 1			10.18941		Yes
Node Size	Time Period	5500-6000 Years	5500	Southern Segment		Corridor Segment	Cluster 1			9.69818		Yes
Node Size	Time Period	5500-6000 Years	5500	Western Highland		Highland	Cluster 1			8.60788		Yes
Cluster Membership	Time Period	6000-6500 Years	6000	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6000-6500 Years	6000	North China		Northern Lowland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6000-6500 Years	6000	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6000-6500 Years	6000	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6000-6500 Years	6000	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6000-6500 Years	6000	Sichuan Basin		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	6000-6500 Years	6000	Southern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6000-6500 Years	6000	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Central Segment	North China	Corridor Segment				0.6300		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Central Segment	Northern Segment	Corridor Segment				0.7020		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Central Segment	Panxi and Liangshan	Corridor Segment				0.6960		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.6820		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Central Segment	Sichuan Basin	Corridor Segment				0.1920		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Central Segment	Southern Segment	Corridor Segment				0.6180		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Central Segment	Western Highland	Corridor Segment				0.6900		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	North China	Northern Segment	Northern Lowland				0.8800		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	North China	Panxi and Liangshan	Northern Lowland				0.8180		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.9000		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	North China	Sichuan Basin	Northern Lowland				0.5300		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	North China	Southern Segment	Northern Lowland				0.7240		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	North China	Western Highland	Northern Lowland				0.8400		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Northern Segment	Panxi and Liangshan	Corridor Segment				0.8380		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.8960		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Northern Segment	Sichuan Basin	Corridor Segment				0.4380		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Northern Segment	Southern Segment	Corridor Segment				0.7560		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Northern Segment	Western Highland	Corridor Segment				0.8760		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.8220		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Panxi and Liangshan	Sichuan Basin	Sichuan Region				0.3800		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Panxi and Liangshan	Southern Segment	Sichuan Region				0.6740		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Panxi and Liangshan	Western Highland	Sichuan Region				0.7900		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Sichuan Basin	Highland				0.4820		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Southern Segment	Highland				0.7640		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.8760		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Sichuan Basin	Southern Segment	Sichuan Region				0.3700		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Sichuan Basin	Western Highland	Sichuan Region				0.4260		Yes
Co-clustering Frequency	Time Period	6000-6500 Years	6000	Southern Segment	Western Highland	Corridor Segment				0.7000		Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Central Segment		Corridor Segment	Cluster 1	Component 1		2.90192	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Central Segment		Corridor Segment	Cluster 1	Component 2		1.80179	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	North China		Northern Lowland	Cluster 1	Component 1		-1.93498	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	North China		Northern Lowland	Cluster 1	Component 2		-0.90792	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Northern Segment		Corridor Segment	Cluster 1	Component 1		0.62090	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Northern Segment		Corridor Segment	Cluster 1	Component 2		-1.06538	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		0.28289	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		0.84214	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		0.69409	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		-1.65820	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Sichuan Basin		Sichuan Region	Cluster 2	Component 1		-4.30992	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Sichuan Basin		Sichuan Region	Cluster 2	Component 2		1.05621	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Southern Segment		Corridor Segment	Cluster 1	Component 1		0.59625	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Southern Segment		Corridor Segment	Cluster 1	Component 2		1.41186	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Western Highland		Highland	Cluster 1	Component 1		1.14886	1.000	Yes
Scatter Coordinate	Time Period	6000-6500 Years	6000	Western Highland		Highland	Cluster 1	Component 2		-1.48050	1.000	Yes
Explained Variance	Time Period	6000-6500 Years	6000					Component 1		0.52130		
Explained Variance	Time Period	6000-6500 Years	6000					Component 2		0.21821		
Node Size	Time Period	6000-6500 Years	6000	Central Segment		Corridor Segment	Cluster 1			9.00683		Yes
Node Size	Time Period	6000-6500 Years	6000	North China		Northern Lowland	Cluster 1			10.52106		Yes
Node Size	Time Period	6000-6500 Years	6000	Northern Segment		Corridor Segment	Cluster 1			9.80853		Yes
Node Size	Time Period	6000-6500 Years	6000	Panxi and Liangshan		Sichuan Region	Cluster 1			9.08025		Yes
Node Size	Time Period	6000-6500 Years	6000	Qinghai-Tibet Plateau Core		Highland	Cluster 1			8.97376		Yes
Node Size	Time Period	6000-6500 Years	6000	Sichuan Basin		Sichuan Region	Cluster 2			10.45602		Yes
Node Size	Time Period	6000-6500 Years	6000	Southern Segment		Corridor Segment	Cluster 1			9.61260		Yes
Node Size	Time Period	6000-6500 Years	6000	Western Highland		Highland	Cluster 1			8.56091		Yes
Cluster Membership	Time Period	6500-7000 Years	6500	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6500-7000 Years	6500	North China		Northern Lowland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6500-7000 Years	6500	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6500-7000 Years	6500	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6500-7000 Years	6500	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6500-7000 Years	6500	Sichuan Basin		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	6500-7000 Years	6500	Southern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	6500-7000 Years	6500	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Central Segment	North China	Corridor Segment				0.6280		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Central Segment	Northern Segment	Corridor Segment				0.9160		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Central Segment	Panxi and Liangshan	Corridor Segment				0.7400		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.8800		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Central Segment	Sichuan Basin	Corridor Segment				0.1720		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Central Segment	Southern Segment	Corridor Segment				0.7540		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Central Segment	Western Highland	Corridor Segment				0.9360		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	North China	Northern Segment	Northern Lowland				0.6640		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	North China	Panxi and Liangshan	Northern Lowland				0.5680		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.6480		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	North China	Sichuan Basin	Northern Lowland				0.4120		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	North China	Southern Segment	Northern Lowland				0.6540		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	North China	Western Highland	Northern Lowland				0.6120		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Northern Segment	Panxi and Liangshan	Corridor Segment				0.7160		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.8520		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Northern Segment	Sichuan Basin	Corridor Segment				0.1920		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Northern Segment	Southern Segment	Corridor Segment				0.7300		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Northern Segment	Western Highland	Corridor Segment				0.8840		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.6840		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Panxi and Liangshan	Sichuan Basin	Sichuan Region				0.3360		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Panxi and Liangshan	Southern Segment	Sichuan Region				0.6940		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Panxi and Liangshan	Western Highland	Sichuan Region				0.7000		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Sichuan Basin	Highland				0.1800		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Southern Segment	Highland				0.7020		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.8680		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Sichuan Basin	Southern Segment	Sichuan Region				0.3660		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Sichuan Basin	Western Highland	Sichuan Region				0.1520		Yes
Co-clustering Frequency	Time Period	6500-7000 Years	6500	Southern Segment	Western Highland	Corridor Segment				0.7220		Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Central Segment		Corridor Segment	Cluster 1	Component 1		-1.62953	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Central Segment		Corridor Segment	Cluster 1	Component 2		-0.42530	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	North China		Northern Lowland	Cluster 1	Component 1		1.99312	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	North China		Northern Lowland	Cluster 1	Component 2		2.04351	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Northern Segment		Corridor Segment	Cluster 1	Component 1		-0.72015	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Northern Segment		Corridor Segment	Cluster 1	Component 2		1.51343	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 1		0.19994	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Panxi and Liangshan		Sichuan Region	Cluster 1	Component 2		-1.68375	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 1		-2.24001	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Qinghai-Tibet Plateau Core		Highland	Cluster 1	Component 2		0.04861	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Sichuan Basin		Sichuan Region	Cluster 2	Component 1		5.39573	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Sichuan Basin		Sichuan Region	Cluster 2	Component 2		-0.57946	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Southern Segment		Corridor Segment	Cluster 1	Component 1		-0.08129	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Southern Segment		Corridor Segment	Cluster 1	Component 2		-0.97995	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Western Highland		Highland	Cluster 1	Component 1		-2.91781	1.000	Yes
Scatter Coordinate	Time Period	6500-7000 Years	6500	Western Highland		Highland	Cluster 1	Component 2		0.06292	1.000	Yes
Explained Variance	Time Period	6500-7000 Years	6500					Component 1		0.77872		
Explained Variance	Time Period	6500-7000 Years	6500					Component 2		0.16851		
Node Size	Time Period	6500-7000 Years	6500	Central Segment		Corridor Segment	Cluster 1			8.73970		Yes
Node Size	Time Period	6500-7000 Years	6500	North China		Northern Lowland	Cluster 1			10.36918		Yes
Node Size	Time Period	6500-7000 Years	6500	Northern Segment		Corridor Segment	Cluster 1			9.72840		Yes
Node Size	Time Period	6500-7000 Years	6500	Panxi and Liangshan		Sichuan Region	Cluster 1			8.75320		Yes
Node Size	Time Period	6500-7000 Years	6500	Qinghai-Tibet Plateau Core		Highland	Cluster 1			8.93034		Yes
Node Size	Time Period	6500-7000 Years	6500	Sichuan Basin		Sichuan Region	Cluster 2			10.22593		Yes
Node Size	Time Period	6500-7000 Years	6500	Southern Segment		Corridor Segment	Cluster 1			9.45635		Yes
Node Size	Time Period	6500-7000 Years	6500	Western Highland		Highland	Cluster 1			8.50008		Yes
Cluster Membership	Time Period	7000-7500 Years	7000	Central Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	7000-7500 Years	7000	North China		Northern Lowland	Cluster 2				1.000	Yes
Cluster Membership	Time Period	7000-7500 Years	7000	Northern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	7000-7500 Years	7000	Panxi and Liangshan		Sichuan Region	Cluster 1				1.000	Yes
Cluster Membership	Time Period	7000-7500 Years	7000	Qinghai-Tibet Plateau Core		Highland	Cluster 1				1.000	Yes
Cluster Membership	Time Period	7000-7500 Years	7000	Sichuan Basin		Sichuan Region	Cluster 2				1.000	Yes
Cluster Membership	Time Period	7000-7500 Years	7000	Southern Segment		Corridor Segment	Cluster 1				1.000	Yes
Cluster Membership	Time Period	7000-7500 Years	7000	Western Highland		Highland	Cluster 1				1.000	Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Central Segment	North China	Corridor Segment				0.5280		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Central Segment	Northern Segment	Corridor Segment				0.8620		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Central Segment	Panxi and Liangshan	Corridor Segment				0.8180		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Central Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.8600		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Central Segment	Sichuan Basin	Corridor Segment				0.3820		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Central Segment	Southern Segment	Corridor Segment				0.8000		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Central Segment	Western Highland	Corridor Segment				0.8700		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	North China	Northern Segment	Northern Lowland				0.5380		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	North China	Panxi and Liangshan	Northern Lowland				0.5420		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	North China	Qinghai-Tibet Plateau Core	Northern Lowland				0.4960		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	North China	Sichuan Basin	Northern Lowland				0.5740		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	North China	Southern Segment	Northern Lowland				0.4320		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	North China	Western Highland	Northern Lowland				0.4740		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Northern Segment	Panxi and Liangshan	Corridor Segment				0.7840		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Northern Segment	Qinghai-Tibet Plateau Core	Corridor Segment				0.8500		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Northern Segment	Sichuan Basin	Corridor Segment				0.3800		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Northern Segment	Southern Segment	Corridor Segment				0.7740		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Northern Segment	Western Highland	Corridor Segment				0.8520		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	Sichuan Region				0.7860		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Panxi and Liangshan	Sichuan Basin	Sichuan Region				0.4760		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Panxi and Liangshan	Southern Segment	Sichuan Region				0.7220		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Panxi and Liangshan	Western Highland	Sichuan Region				0.7840		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Sichuan Basin	Highland				0.3660		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Southern Segment	Highland				0.7600		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Western Highland	Highland				0.8620		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Sichuan Basin	Southern Segment	Sichuan Region				0.3220		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Sichuan Basin	Western Highland	Sichuan Region				0.3360		Yes
Co-clustering Frequency	Time Period	7000-7500 Years	7000	Southern Segment	Western Highland	Corridor Segment				0.8020		Yes
