from	to	value	link	Time Window
North China	Panxi and Liangshan	0.568	Between groups	12000-12500 Years
North China	Western Highland	0.508	Between groups	12000-12500 Years
Northern Segment	Panxi and Liangshan	0.708	Between groups	12000-12500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.59	Between groups	12000-12500 Years
Northern Segment	Western Highland	0.608	Between groups	12000-12500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.714	Between groups	12000-12500 Years
Panxi and Liangshan	Western Highland	0.756	Between groups	12000-12500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.626	Highland	12000-12500 Years
Central Segment	North China	0.552	Between groups	12500-13000 Years
Central Segment	Northern Segment	0.652	Corridor Segment	12500-13000 Years
Central Segment	Panxi and Liangshan	0.726	Between groups	12500-13000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.642	Between groups	12500-13000 Years
Central Segment	Western Highland	0.618	Between groups	12500-13000 Years
North China	Northern Segment	0.544	Between groups	12500-13000 Years
North China	Qinghai-Tibet Plateau Core	0.51	Between groups	12500-13000 Years
North China	Western Highland	0.506	Between groups	12500-13000 Years
Northern Segment	Panxi and Liangshan	0.57	Between groups	12500-13000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.546	Between groups	12500-13000 Years
Northern Segment	Western Highland	0.598	Between groups	12500-13000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.584	Between groups	12500-13000 Years
Panxi and Liangshan	Western Highland	0.564	Between groups	12500-13000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.556	Highland	12500-13000 Years
Central Segment	North China	0.584	Between groups	13000-13500 Years
Central Segment	Northern Segment	0.662	Corridor Segment	13000-13500 Years
Central Segment	Panxi and Liangshan	0.5	Between groups	13000-13500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.678	Between groups	13000-13500 Years
Central Segment	Western Highland	0.64	Between groups	13000-13500 Years
North China	Northern Segment	0.594	Between groups	13000-13500 Years
North China	Qinghai-Tibet Plateau Core	0.59	Between groups	13000-13500 Years
North China	Western Highland	0.568	Between groups	13000-13500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.692	Between groups	13000-13500 Years
Northern Segment	Western Highland	0.674	Between groups	13000-13500 Years
Panxi and Liangshan	Western Highland	0.512	Between groups	13000-13500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.682	Highland	13000-13500 Years
Central Segment	North China	0.502	Between groups	13500-14000 Years
Central Segment	Northern Segment	0.604	Corridor Segment	13500-14000 Years
Central Segment	Panxi and Liangshan	0.66	Between groups	13500-14000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.608	Between groups	13500-14000 Years
Central Segment	Western Highland	0.628	Between groups	13500-14000 Years
North China	Northern Segment	0.506	Between groups	13500-14000 Years
North China	Panxi and Liangshan	0.502	Between groups	13500-14000 Years
North China	Western Highland	0.538	Between groups	13500-14000 Years
Northern Segment	Panxi and Liangshan	0.62	Between groups	13500-14000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.592	Between groups	13500-14000 Years
Northern Segment	Western Highland	0.636	Between groups	13500-14000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.596	Between groups	13500-14000 Years
Panxi and Liangshan	Western Highland	0.668	Between groups	13500-14000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.608	Highland	13500-14000 Years
Central Segment	Northern Segment	0.638	Corridor Segment	14500-15000 Years
Central Segment	Panxi and Liangshan	0.614	Between groups	14500-15000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.688	Between groups	14500-15000 Years
Central Segment	Western Highland	0.702	Between groups	14500-15000 Years
North China	Northern Segment	0.55	Between groups	14500-15000 Years
Northern Segment	Panxi and Liangshan	0.54	Between groups	14500-15000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.706	Between groups	14500-15000 Years
Northern Segment	Western Highland	0.688	Between groups	14500-15000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.602	Between groups	14500-15000 Years
Panxi and Liangshan	Western Highland	0.604	Between groups	14500-15000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.694	Highland	14500-15000 Years
Central Segment	Northern Segment	0.646	Corridor Segment	15000-15500 Years
Central Segment	Panxi and Liangshan	0.7	Between groups	15000-15500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.666	Between groups	15000-15500 Years
Central Segment	Western Highland	0.714	Between groups	15000-15500 Years
North China	Northern Segment	0.526	Between groups	15000-15500 Years
Northern Segment	Panxi and Liangshan	0.538	Between groups	15000-15500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.636	Between groups	15000-15500 Years
Northern Segment	Western Highland	0.632	Between groups	15000-15500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.578	Between groups	15000-15500 Years
Panxi and Liangshan	Western Highland	0.626	Between groups	15000-15500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.656	Highland	15000-15500 Years
Central Segment	Northern Segment	0.626	Corridor Segment	16000-16500 Years
Central Segment	Panxi and Liangshan	0.6	Between groups	16000-16500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.67	Between groups	16000-16500 Years
Central Segment	Western Highland	0.668	Between groups	16000-16500 Years
North China	Qinghai-Tibet Plateau Core	0.5	Between groups	16000-16500 Years
Northern Segment	Panxi and Liangshan	0.594	Between groups	16000-16500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.692	Between groups	16000-16500 Years
Northern Segment	Western Highland	0.662	Between groups	16000-16500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.674	Between groups	16000-16500 Years
Panxi and Liangshan	Western Highland	0.612	Between groups	16000-16500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.758	Highland	16000-16500 Years
Central Segment	Northern Segment	0.554	Corridor Segment	17000-17500 Years
Central Segment	Panxi and Liangshan	0.692	Between groups	17000-17500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.628	Between groups	17000-17500 Years
Central Segment	Western Highland	0.64	Between groups	17000-17500 Years
Northern Segment	Panxi and Liangshan	0.662	Between groups	17000-17500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.638	Between groups	17000-17500 Years
Northern Segment	Western Highland	0.638	Between groups	17000-17500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.8	Between groups	17000-17500 Years
Panxi and Liangshan	Western Highland	0.788	Between groups	17000-17500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.736	Highland	17000-17500 Years
Central Segment	North China	0.526	Between groups	17500-18000 Years
Central Segment	Northern Segment	0.688	Corridor Segment	17500-18000 Years
Central Segment	Panxi and Liangshan	0.652	Between groups	17500-18000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.692	Between groups	17500-18000 Years
Central Segment	Western Highland	0.618	Between groups	17500-18000 Years
North China	Northern Segment	0.566	Between groups	17500-18000 Years
North China	Qinghai-Tibet Plateau Core	0.51	Between groups	17500-18000 Years
Northern Segment	Panxi and Liangshan	0.588	Between groups	17500-18000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.636	Between groups	17500-18000 Years
Northern Segment	Western Highland	0.602	Between groups	17500-18000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.576	Between groups	17500-18000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.598	Highland	17500-18000 Years
Central Segment	North China	0.54	Between groups	18500-19000 Years
Central Segment	Northern Segment	0.6	Corridor Segment	18500-19000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.556	Between groups	18500-19000 Years
Central Segment	Western Highland	0.622	Between groups	18500-19000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.524	Between groups	18500-19000 Years
Northern Segment	Western Highland	0.55	Between groups	18500-19000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.514	Highland	18500-19000 Years
Central Segment	Northern Segment	0.592	Corridor Segment	19000-19500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.594	Between groups	19000-19500 Years
Central Segment	Western Highland	0.608	Between groups	19000-19500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.518	Between groups	19000-19500 Years
Northern Segment	Western Highland	0.572	Between groups	19000-19500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.59	Highland	19000-19500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.526	Between groups	19500-20000 Years
