from	to	value	link	Time Window
Central Segment	Panxi and Liangshan	0.584	Between groups	3000-3500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.614	Between groups	3000-3500 Years
Central Segment	Western Highland	0.602	Between groups	3000-3500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.856	Between groups	3000-3500 Years
Northern Segment	Sichuan Basin	0.624	Between groups	3000-3500 Years
Northern Segment	Western Highland	0.876	Between groups	3000-3500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.504	Between groups	3000-3500 Years
Qinghai-Tibet Plateau Core	Sichuan Basin	0.6	Between groups	3000-3500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.932	Highland	3000-3500 Years
Sichuan Basin	Western Highland	0.626	Between groups	3000-3500 Years
Central Segment	Panxi and Liangshan	0.78	Between groups	3500-4000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.624	Between groups	3500-4000 Years
Northern Segment	Western Highland	0.632	Between groups	3500-4000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.844	Highland	3500-4000 Years
Central Segment	Northern Segment	0.786	Corridor Segment	4000-4500 Years
Central Segment	Panxi and Liangshan	0.908	Between groups	4000-4500 Years
Central Segment	Qinghai-Tibet Plateau Core	0.74	Between groups	4000-4500 Years
Central Segment	Western Highland	0.736	Between groups	4000-4500 Years
Northern Segment	Panxi and Liangshan	0.788	Between groups	4000-4500 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.686	Between groups	4000-4500 Years
Northern Segment	Western Highland	0.66	Between groups	4000-4500 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.76	Between groups	4000-4500 Years
Panxi and Liangshan	Western Highland	0.766	Between groups	4000-4500 Years
Qinghai-Tibet Plateau Core	Western Highland	0.704	Highland	4000-4500 Years
Sichuan Basin	Southern Segment	0.744	Between groups	4000-4500 Years
Central Segment	Northern Segment	0.862	Corridor Segment	4500-5000 Years
Central Segment	Panxi and Liangshan	0.828	Between groups	4500-5000 Years
Central Segment	Qinghai-Tibet Plateau Core	0.788	Between groups	4500-5000 Years
Central Segment	Sichuan Basin	0.656	Between groups	4500-5000 Years
Central Segment	Southern Segment	0.734	Corridor Segment	4500-5000 Years
Central Segment	Western Highland	0.78	Between groups	4500-5000 Years
North China	Northern Segment	0.542	Between groups	4500-5000 Years
North China	Qinghai-Tibet Plateau Core	0.648	Between groups	4500-5000 Years
North China	Western Highland	0.648	Between groups	4500-5000 Years
Northern Segment	Panxi and Liangshan	0.834	Between groups	4500-5000 Years
Northern Segment	Qinghai-Tibet Plateau Core	0.866	Between groups	4500-5000 Years
Northern Segment	Sichuan Basin	0.562	Between groups	4500-5000 Years
Northern Segment	Southern Segment	0.732	Corridor Segment	4500-5000 Years
Northern Segment	Western Highland	0.874	Between groups	4500-5000 Years
Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.744	Between groups	4500-5000 Years
Panxi and Liangshan	Sichuan Basin	0.624	Sichuan Region	4500-5000 Years
Panxi and Liangshan	Southern Segment	0.714	Between groups	4500-5000 Years
Panxi and Liangshan	Western Highland	0.752	Between groups	4500-5000 Years
Qinghai-Tibet Plateau Core	Southern Segment	0.634	Between groups	4500-5000 Years
Qinghai-Tibet Plateau Core	Western Highland	0.892	Highland	4500-5000 Years
Sichuan Basin	Southern Segment	0.658	Between groups	4500-5000 Years
Southern Segment	Western Highland	0.626	Between groups	4500-5000 Years
Central Segment	North China	0.678	Between groups	5000-5500 Years
