Haplogroup,Count
D4n,44
D4n2,31
D4o,77
D4o1,28
D4o2,40
D4o2a,37
D4o2a1,12
D4q,124
D4q1,10
D4s,37
D4t,22
D5,2148
D5a,1171
D5a1,15
D5a2,1042
D5a2a,953
D5a2a1,712
D5a2a1_C16172T,267
D5a2a1a,29
D5a2a1a1,12
D5a2a1b,188
D5a2a1b1,41
D5a2a2,94
D5a2a_T16092C,54
D5a2b,38
D5a3,83
D5a3a,43
D5a3a1,24
D5b,815
D5b1,598
D5b1a,29
D5b1a1,21
D5b1b,228
D5b1b2,92
D5b1c,182
D5b1c1,130
D5b1c1a,73
D5b1d,82
D5b3,131
D5b3a,35
D5b3a1,20
D5b4,53
D5c,161
D5c1,82
D5c1a,63
D5c2,40
D5c_T16311C,71
D6a1,37
D6a1a,21
D6c,71
E1,281
E1a,279
E1a1,261
E1a1a,241
E1a1a1,237
E1a1a1a,15
E1a1a1b,15
E1a1b,11
E1a2,16
E1a2_C16261T,15
E1a2a,11
E2,50
E2a,25
E2b,24
F,6107
F1,3913
F1_T16189C!,1151
F1a,2178
F1a'c'f,2754
F1a1,1636
F1a1'4,1767
F1a1a,707
F1a1a1,174
F1a1b,22
F1a1c,249
F1a1c3,20
F1a1d,219
F1a1d1,17
F1a2,82
F1a2a,48
F1a3,169
F1a3_T16311C,44
F1a3a,43
F1a3b,65
F1a4,74
F1a4a,63
F1a4a1,34
F1b1,412
F1b1_C152T,211
F1b1a,48
F1b1a1,34
F1b1a1a,29
F1b1a1a1,11
F1b1b,45
F1b1c,104
F1b1e,56
F1b1f,17
F1c,285
F1c1,243
F1c1a,241
F1c1a1,184
F1c1a1a,28
F1c1a2,52
F1d,227
F1d1,50
F1e,150
F1e1,16
F1e2,14
F1e3,90
F1f,244
F1g,323
F1g1,111
F2,1340
F2_C16291T,702
F2_T195C!,117
F2a,381
F2a1,166
F2a_T16291C,186
F2b,233
F2b1,217
F2c,139
F2c1,69
F2c2,10
F2d,144
F2e,54
F2f,65
F2g,52
F2h,25
F2i,88
F3a,298
F3a1,239
F3a_G207A,267
F3b,262
F3b1,201
F3b1a,52
F3b1a2,31
F3b1a_T16093C,18
F3b1b,139
F3b_T152C,240
F4a,200
F4a1,108
F4a1a,68
F4a1b,39
F4a2,69
F4b,93
F4b1,55
