Id	Source	Data	Haplogroup	Fasta-8M	Fasta-2.3M	Placement	Population	Province	Population_Province	City	Latitude	Longitude	Province_latitude	Province_longitude	Elevation	Elevation_source	Country	Continent	Language_family_geo	Language	Language_simplify	Tiplabel_base	Tiplabel_unique	Corridor_and_key_regions	Corridor_subregion	Corridor_NCS	Sichuan_geographic_regions	Elevation_group
HGDP01258	Published_HGDP	Published	E1b1b1b1a1b	Yes	Yes	No	Mozabite	Algeria	Mozabite_Algeria	Mzab	32	3	32	3	541	queried_opentopodata_aster30m	Algeria	Africa	Others	Afroasiatic	Afroasiatic	Mozabite_Algeria_Mzab_E1b1b1b1a1b	Mozabite_Algeria_Mzab_E1b1b1b1a1b_8	Others	Others	Others	Non_Sichuan	Low
HGDP01259	Published_HGDP	Published	E1b1b1b1a1b	Yes	Yes	No	Mozabite	Algeria	Mozabite_Algeria	Mzab	32	3	32	3	541	queried_opentopodata_aster30m	Algeria	Africa	Others	Afroasiatic	Afroasiatic	Mozabite_Algeria_Mzab_E1b1b1b1a1b	Mozabite_Algeria_Mzab_E1b1b1b1a1b_9	Others	Others	Others	Non_Sichuan	Low
HGDP01279	Published_HGDP	Published	E1b1b1b1a1b	Yes	Yes	No	Mozabite	Algeria	Mozabite_Algeria	Mzab	32	3	32	3	541	queried_opentopodata_aster30m	Algeria	Africa	Others	Afroasiatic	Afroasiatic	Mozabite_Algeria_Mzab_E1b1b1b1a1b	Mozabite_Algeria_Mzab_E1b1b1b1a1b_10	Others	Others	Others	Non_Sichuan	Low
HGDP01282	Published_HGDP	Published	E1b1b1b1a1b	Yes	Yes	No	Mozabite	Algeria	Mozabite_Algeria	Mzab	32	3	32	3	541	queried_opentopodata_aster30m	Algeria	Africa	Others	Afroasiatic	Afroasiatic	Mozabite_Algeria_Mzab_E1b1b1b1a1b	Mozabite_Algeria_Mzab_E1b1b1b1a1b_11	Others	Others	Others	Non_Sichuan	Low
HGDP01263	Published_HGDP	Published	E1b1b1b1a1b	Yes	Yes	No	Mozabite	Algeria	Mozabite_Algeria	Mzab	32	3	32	3	541	queried_opentopodata_aster30m	Algeria	Africa	Others	Afroasiatic	Afroasiatic	Mozabite_Algeria_Mzab_E1b1b1b1a1b	Mozabite_Algeria_Mzab_E1b1b1b1a1b_12	Others	Others	Others	Non_Sichuan	Low
HGDP01268	Published_HGDP	Published	E1b1b1b1a1f3b	Yes	Yes	No	Mozabite	Algeria	Mozabite_Algeria	Mzab	32	3	32	3	541	queried_opentopodata_aster30m	Algeria	Africa	Others	Afroasiatic	Afroasiatic	Mozabite_Algeria_Mzab_E1b1b1b1a1f3b	Mozabite_Algeria_Mzab_E1b1b1b1a1f3b	Others	Others	Others	Non_Sichuan	Low
HGDP01271	Published_HGDP	Published	R1b1b2a2a1	Yes	Yes	No	Mozabite	Algeria	Mozabite_Algeria	Mzab	32	3	32	3	541	queried_opentopodata_aster30m	Algeria	Africa	Others	Afroasiatic	Afroasiatic	Mozabite_Algeria_Mzab_R1b1b2a2a1	Mozabite_Algeria_Mzab_R1b1b2a2a1	Others	Others	Others	Non_Sichuan	Low
HGDP01261	Published_HGDP	Published	R1b1b2a2a2	Yes	Yes	No	Mozabite	Algeria	Mozabite_Algeria	Mzab	32	3	32	3	541	queried_opentopodata_aster30m	Algeria	Africa	Others	Afroasiatic	Afroasiatic	Mozabite_Algeria_Mzab_R1b1b2a2a2	Mozabite_Algeria_Mzab_R1b1b2a2a2	Others	Others	Others	Non_Sichuan	Low
HG04155	Published_1KG	Published	C1b1a1a2a1a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_C1b1a1a2a1a	Bengali_Bangladesh_C1b1a1a2a1a_1	Others	Others	Others	Non_Sichuan	Low
HG04157	Published_1KG	Published	C1b1a1a2a1a	Yes	Yes	No	Bengali	Bangladesh	Bengali_Bangladesh		24.27792117	90.30789842	24.27792117	90.30789842	12	queried_opentopodata_aster30m	Bangladesh	South_Asia	Others	Indo_European	Indo_European	Bengali_Bangladesh_C1b1a1a2a1a	Bengali_Bangladesh_C1b1a1a2a1a_2	Others	Others	Others	Non_Sichuan	Low
