haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
A2a5	2	2.5854	-2.4381	7.7838	very_low	2.5854	0.0	7.7838	rho_fallback_no_desc	0.0	0.0
A2aa	3	5.2164	2.2425	8.247	low	5.2164	2.2425	8.247	rho_fallback_no_desc	0.0	0.0
A2ab	2	6.5486	3.9479	9.1912	very_low	6.5486	3.9479	9.1912	rho_fallback_no_desc	0.0	0.0
A2ac	7	11.788	10.1879	13.4023	low	10.5808	9.4648	11.7045	single_child_interpolation	-1.2072000000000003	10.240922972514424
A2ac1	5	4.1586	2.8985	5.4291	low	4.1586	2.8985	5.4291	rho_fallback_no_desc	0.0	0.0
A2ad	5	14.4861	8.9252	20.2113	low	14.4861	8.9252	20.2113	rho_fallback_no_desc	0.0	0.0
A2ad1	2	2.5854	-2.4381	7.7838	very_low	2.5854	0.0	7.7838	rho_fallback_no_desc	0.0	0.0
A2ad2	2	11.9851	4.0532	20.2747	very_low	11.9851	4.0532	20.2747	rho_fallback_no_desc	0.0	0.0
A2ae	4	9.2456	3.79	14.8782	low	9.2456	3.79	14.8782	rho_fallback_no_desc	0.0	0.0
A2af	16	24.2589	20.8011	27.7683	low	24.2589	20.8011	27.7683	rho_direct	0.0	0.0
A2af1	15	19.0125	15.5808	22.5005	low	19.0125	15.5808	22.5005	rho_direct	0.0	0.0
A2af1a	6	10.6101	6.2803	15.0473	low	10.6101	6.2803	15.0473	rho_fallback_no_desc	0.0	0.0
A2af1a1	2	13.3705	7.9996	18.8981	very_low	13.3705	7.9996	18.8981	rho_fallback_no_desc	0.0	0.0
A2af1a2	2	3.8953	1.3387	6.4951	very_low	3.8953	1.3387	6.4951	rho_fallback_no_desc	0.0	0.0
A2af1b	9	19.9681	17.0207	22.9561	low	19.9681	17.0207	22.9561	rho_fallback_no_desc	0.0	0.0
A2af1b1	5	12.2614	7.9124	16.7149	low	12.2614	7.9124	16.7149	rho_fallback_no_desc	0.0	0.0
A2af1b1a	2	3.8953	1.3387	6.4951	very_low	3.8953	1.3387	6.4951	rho_fallback_no_desc	0.0	0.0
A2af1b1b	2	3.8953	1.3387	6.4951	very_low	3.8953	1.3387	6.4951	rho_fallback_no_desc	0.0	0.0
A2af1b2	2	5.2164	5.2164	5.2164	very_low	5.2164	5.2164	5.2164	rho_fallback_no_desc	0.0	0.0
A2af2	1	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
A2ag	2	3.8953	-3.6406	11.8196	very_low	3.8953	0.0	11.8196	rho_fallback_no_desc	0.0	0.0
A2ah	4	9.2456	4.2204	14.4206	low	9.2456	4.2204	14.4206	rho_fallback_no_desc	0.0	0.0
A2ai	4	5.8811	2.6294	9.1997	low	5.8811	2.6294	9.1997	rho_fallback_no_desc	0.0	0.0
A2aj	3	1.7185	0.0342	3.4224	low	1.7185	0.0342	3.4224	rho_fallback_no_desc	0.0	0.0
A2ak	3	13.3705	13.3705	13.3705	low	13.3705	13.3705	13.3705	rho_fallback_no_desc	0.0	0.0
A2al	5	8.9739	6.8592	11.1149	low	8.5015	8.0155	8.99	single_child_interpolation	-0.4724000000000004	5.264154938209701
A2am	7	0.3665	-0.351	1.0876	low	0.3665	0.0	1.0876	rho_fallback_no_desc	0.0	0.0
A2an	3	8.7931	5.2872	12.372	low	8.7931	5.2872	12.372	rho_fallback_no_desc	0.0	0.0
A2ao	3	12.4458	7.7248	17.2898	low	9.2272	5.7641	12.7843	single_child_interpolation	-3.2186000000000003	25.860933005511903
A2ao1	2	5.2164	0.1025	10.5005	very_low	5.2164	0.1025	10.5005	rho_fallback_no_desc	0.0	0.0
A2ap	5	10.063	8.0715	12.0772	low	10.063	8.0715	12.0772	rho_fallback_no_desc	0.0	0.0
A2aq	2	1.2869	-1.2245	3.8427	very_low	1.2869	0.0	3.8427	rho_fallback_no_desc	0.0	0.0
A2ar	4	0.0	0.0	0.0	low	0.0	0.0	0.0	rho_fallback_no_desc	0.0	
A2b	26	4.8087	3.787	5.8371	medium	9.4879	8.6314	10.3492	single_child_interpolation	4.6792	97.30696446024912
A2b1	24	2.4768	1.4847	3.4756	medium	2.4768	1.4847	3.4756	rho_direct	0.0	0.0
A2c	2	11.9851	9.2999	14.71	very_low	11.9851	9.2999	14.71	rho_fallback_no_desc	0.0	0.0
A2d	12	9.2456	7.2359	11.2787	medium	9.2456	7.2359	11.2787	rho_direct	0.0	0.0
A2d1	6	8.3418	5.8311	10.89	low	6.5705	3.9194	9.2691	single_child_interpolation	-1.7712999999999992	21.23402622935097
A2d1a	4	3.8953	0.603	7.2595	low	3.8953	0.603	7.2595	rho_fallback_no_desc	0.0	0.0
A2d2	2	6.5486	3.9479	9.1912	very_low	6.5486	3.9479	9.1912	rho_fallback_no_desc	0.0	0.0
A2e	1	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
A2f	7	20.6532	15.9541	25.4552	low	20.6532	15.9541	25.4552	rho_fallback_no_desc	0.0	0.0
A2f1	3	6.1033	-0.0571	12.5075	low	10.9701	7.9771	14.649	single_child_interpolation	4.8668000000000005	79.7404682712631
A2f1a	2	1.2869	-1.2245	3.8427	very_low	1.2869	0.0	3.8427	rho_fallback_no_desc	0.0	0.0
A2f2	2	9.2456	6.6021	11.9299	very_low	9.2456	6.6021	11.9299	rho_fallback_no_desc	0.0	0.0
A2f3	2	9.2456	1.4422	17.4168	very_low	9.2456	1.4422	17.4168	rho_fallback_no_desc	0.0	0.0
