haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
H13a2b2a	4554.4	2095.1	7053.0	4.5544	2.0951	7.0530	4	rho_fallback_no_desc	NA	
H13a2b3	6995.0	5251.8	8756.9	6.995	5.2518	8.7569	3	rho_fallback_no_desc	NA	
H13a2b4	5216.4	102.5	10500.5	5.2164	0.1025	10.5005	2	rho_fallback_no_desc	NA	
H13a2b5	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	NA	
H13a2c	15388.0	12583.0	18237.7	15.388	12.5831	18.2377	6	single_child_interpolation	low	ci_exceeds_ancestor
H13a2c1	15046.4	11353.1	18810.5	15.0464	11.3531	18.8105	5	rho_fallback_no_desc	low	ci_exceeds_ancestor
H13b	17790.2	14683.2	20944.5	17.7902	14.6832	20.9445	14	rho_direct	low	ci_exceeds_ancestor
H13b1	15025.8	11911.2	18190.8	15.0258	11.9112	18.1908	12	single_child_interpolation	low	ci_exceeds_ancestor
H13b1_A200G	12261.4	9139.2	15437.0	12.2614	9.1392	15.4370	10	rho_direct	low	ci_exceeds_ancestor
H13b1a	6103.3	0.0	13222.2	6.1033	0.0000	13.2222	3	rho_fallback_no_desc	NA	
H13b1b	8793.1	5287.2	12372.0	8.7931	5.2872	12.3720	3	rho_fallback_no_desc	NA	
H13b2	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H13c	15608.2	11598.2	19700.9	15.6082	11.5982	19.7009	5	rho_fallback_no_desc	low	ci_exceeds_ancestor
H13c1	11750.0	5799.1	19242.3	11.75	5.7991	19.2423	3	single_child_interpolation	low	ci_exceeds_ancestor
H13c1a	7891.7	0.0	18783.8	7.8917	0.0000	18.7838	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H13c2	7891.7	2689.8	13259.3	7.8917	2.6898	13.2593	2	rho_fallback_no_desc	NA	
H14	16056.5	14467.9	17657.9	16.0565	14.4679	17.6579	49	rho_direct	low	ci_exceeds_ancestor
H14a	12958.9	10923.5	15016.7	12.9589	10.9235	15.0167	27	rho_direct	NA	
H14a1	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
H14a2	10610.1	5872.9	15476.3	10.6101	5.8729	15.4763	6	rho_fallback_no_desc	low	ci_exceeds_ancestor
H14a2a	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	NA	
H14a2b	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
H14a2c	10610.1	205.1	21660.1	10.6101	0.2051	21.6601	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H14a3	0.0	0.0	0.0	0.0	0.0000	0.0000	6	rho_fallback_no_desc	NA	
H14a4	1430.7	0.0	3154.9	1.4307	0.0000	3.1549	9	rho_fallback_no_desc	NA	
H14a_T146C!	13602.4	11246.2	15988.1	13.6024	11.2462	15.9881	12	rho_direct	low	ci_exceeds_ancestor
H14b	10610.1	8325.8	12923.9	10.6101	8.3258	12.9239	16	rho_direct	NA	
H14b1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H14b2	6597.8	4162.9		6.5977	4.1629	NA	3	single_child_interpolation	NA	
H14b2a	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H14b3	7891.7	2689.8	13259.3	7.8917	2.6898	13.2593	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H14b4	8793.1	2527.3	15296.1	8.7931	2.5273	15.2961	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
H14c	0.0	0.0	0.0	0.0	0.0000	0.0000	4	rho_fallback_no_desc	NA	
H15	15327.1	13871.5	16793.5	15.3271	13.8715	16.7935	50	rho_direct	low	ci_exceeds_ancestor
H15a	13149.0	11644.1	14666.0	13.149	11.6441	14.6660	39	single_child_interpolation	NA	
H15a1	10970.9	9416.8	12538.6	10.9709	9.4168	12.5386	38	rho_direct	NA	
H15a1a	8182.1	6444.8	9938.0	8.1822	6.4447	9.9380	17	single_child_interpolation	NA	
H15a1a1	5393.4	3472.7	7337.5	5.3934	3.4727	7.3375	15	rho_direct	NA	
H15a1b	6357.6	5050.4	7675.3	6.3576	5.0504	7.6753	14	rho_direct	NA	
H15b	8875.2	6382.2	11404.9	8.8752	6.3822	11.4049	11	rho_direct	NA	
H15b1	6816.3	3293.1	10416.6	6.8163	3.2931	10.4166	5	rho_fallback_no_desc	NA	
H15b2	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
H16	8168.5	6397.4	9958.4	8.1685	6.3974	9.9584	39	rho_direct	NA	
H16_T152C!	6931.2	4864.2	9024.4	6.9312	4.8642	9.0244	28	rho_direct	NA	
H16a	4324.9	2449.2	6223.4	4.3249	2.4492	6.2234	5	single_child_interpolation	NA	
H16a1	1718.5	34.2	3422.4	1.7185	0.0342	3.4224	3	rho_fallback_no_desc	NA	
H16b	2585.4	513.0	4687.0	2.5854	0.5130	4.6870	4	rho_fallback_no_desc	NA	
H16c	8567.3	6395.4	10767.1	8.5673	6.3954	10.7671	8	rho_fallback_no_desc	low	ci_exceeds_ancestor
H16d	5659.2	1581.2	9843.6	5.6592	1.5812	9.8436	6	rho_fallback_no_desc	low	ci_exceeds_ancestor
H16e	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H17	7891.7	5964.2	9841.4	7.8917	5.9642	9.8414	19	rho_direct	NA	
H17a	5747.9	3840.6	7678.1	5.7479	3.8406	7.6781	15	rho_direct	NA	
H17a1	7891.7	2689.8	13259.3	7.8917	2.6898	13.2593	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H17a2	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H17b	5216.4	0.0	15946.1	5.2164	0.0000	15.9461	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H17c	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H18	6777.4	4721.4	8862.6	6.7774	4.7214	8.8627	13	single_child_interpolation	NA	
H18b	4460.1	1783.9	7183.0	4.4601	1.7839	7.1830	7	rho_fallback_no_desc	NA	
H19	4158.6	2898.5	5429.1	4.1586	2.8985	5.4291	5	rho_fallback_no_desc	NA	
H1_C16239T	7574.7	5838.4	9329.1	7.5747	5.8384	9.3291	17	rho_direct	NA	
H1_C16278T!	8071.6	5751.5	10423.9	8.0716	5.7515	10.4239	15	rho_direct	low	ci_exceeds_ancestor
H1_C16355T	6995.0	5251.8	8756.9	6.995	5.2518	8.7569	6	rho_fallback_no_desc	NA	
H1_T152C!	6465.0	5390.5	7546.5	6.465	5.3905	7.5465	32	rho_direct	NA	
H1_T16189C!	9379.9	8768.5	9993.4	9.3799	8.7685	9.9934	162	rho_direct	NA	
H1_T16311C!	6469.9	5057.9	7894.2	6.4699	5.0579	7.8942	51	rho_direct	NA	
H1a	7252.0	6428.4	8079.7	7.252	6.4284	8.0797	101	rho_direct	NA	
H1a1	4005.0	2657.7	5364.1	4.005	2.6577	5.3641	24	rho_direct	NA	
H1a1a	3295.2	1585.3	5025.6	3.2952	1.5853	5.0255	6	single_child_interpolation	NA	
H1a1a1	2585.4	513.0	4687.0	2.5854	0.5130	4.6870	4	rho_fallback_no_desc	NA	
H1a1b	1718.5	34.2	3422.4	1.7185	0.0342	3.4224	3	rho_fallback_no_desc	NA	
H1a1c	1934.8	0.0	4391.4	1.9348	0.0000	4.3914	4	rho_fallback_no_desc	NA	
H1a2	1610.5	280.6	2952.6	1.6105	0.2806	2.9526	8	rho_fallback_no_desc	NA	
H1a3	6905.7	5432.7	8391.8	6.9057	5.4327	8.3918	30	rho_direct	low	ci_exceeds_ancestor
H1a3a	4951.3	2354.3	7591.7	4.9513	2.3543	7.5917	10	rho_direct	NA	
H1a3a1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1a3a2	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
H1a3a3	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H1a3a4	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1a3b	6061.0	5324.5	6804.1	6.061	5.3245	6.8041	5	single_child_interpolation	NA	
H1a3b1	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	NA	
H1a3c	6061.0	3913.2	8241.0	6.061	3.9132	8.2410	7	single_child_interpolation	low	ci_exceeds_ancestor
H1a3c1	5216.4	2393.7	8090.1	5.2164	2.3937	8.0901	5	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1a3d	856.7	0.0	2550.7	0.8567	0.0000	2.5507	3	rho_fallback_no_desc	NA	
H1a4	1718.5	34.2	3422.4	1.7185	0.0342	3.4224	3	rho_fallback_no_desc	NA	
H1a5	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1a6	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1a7	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H1a8	4485.2	3214.2	6612.6	4.4852	3.2142	6.6126	6	single_child_interpolation	NA	
H1a8a	1718.5	0.0	5145.6	1.7185	0.0000	5.1456	3	rho_fallback_no_desc	NA	
H1a9	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
H1aa	5982.6	4384.2	8888.6	5.9826	4.3842	8.8886	2	single_child_interpolation	NA	
H1aa1	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	NA	
H1ab	5333.4	4384.2	6918.0	5.3334	4.3842	6.9180	3	single_child_interpolation	NA	
H1ab1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1ac	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H1ad	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1ae	6427.0	4654.5	8219.0	6.427	4.6545	8.2190	11	rho_direct	NA	
H1ae1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1ae2	5161.1	2996.6	7357.1	5.1611	2.9966	7.3571	5	single_child_interpolation	NA	
H1ae2a	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H1ae3	3856.9	2327.2	6030.9	3.8569	2.3272	6.0309	3	single_child_interpolation	NA	
H1ae3a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1af	6103.3	3813.9	8425.5	6.1033	3.8139	8.4255	9	rho_fallback_no_desc	NA	
H1af1	5216.4	3328.9	7126.6	5.2164	3.3289	7.1266	6	rho_fallback_no_desc	NA	
H1af1a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1af1b	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H1af2	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H1ag	8793.1	7273.1	10326.6	8.7931	7.2731	10.3266	15	rho_direct	low	ci_exceeds_ancestor
H1ag1	4334.4	1476.9	7245.4	4.3344	1.4769	7.2454	6	rho_fallback_no_desc	NA	
H1ag1a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1ag1b	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H1ag2	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	7	rho_fallback_no_desc	NA	
H1ah	8277.4	5371.5	11233.9	8.2774	5.3715	11.2339	7	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1ah1	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	2	rho_fallback_no_desc	NA	
H1ah2	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	NA	
H1ai	7598.0	4837.9	11818.8	7.598	4.8379	11.8188	3	single_child_interpolation	low	ci_exceeds_ancestor
H1ai1	5216.4	0.0	13353.7	5.2164	0.0000	13.3537	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1aj	12372.8	8192.5	16727.3	12.3728	8.1925	16.7273	5	single_child_interpolation	low	ci_exceeds_ancestor
H1aj1	8134.0	4096.2	14273.5	8.134	4.0963	14.2735	2	single_child_interpolation	low	ci_exceeds_ancestor
H1aj1a	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1ak	5881.1	3569.3	8226.5	5.8811	3.5693	8.2265	12	rho_direct	NA	
H1ak1	7218.8	3939.7	10563.9	7.2188	3.9397	10.5639	4	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1ak2	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1am	5633.2	4837.9	7063.3	5.6333	4.8379	7.0633	3	single_child_interpolation	NA	
H1am1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1an	7218.8	5907.7	8540.2	7.2188	5.9077	8.5402	4	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1an1	4252.9	2953.8	6191.5	4.2529	2.9539	6.1915	3	single_child_interpolation	NA	
H1an1a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1an2	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H1ao	6644.0	5483.9	7820.1	6.644	5.4840	7.8201	6	single_child_interpolation	NA	
H1ao1	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	NA	
H1ap	6609.2	4859.5	8393.7	6.6093	4.8595	8.3937	4	single_child_interpolation	NA	
H1ap1	3238.9	43.2	6503.5	3.2389	0.0432	6.5035	4	rho_fallback_no_desc	NA	
H1aq	5633.2	4837.9	7063.3	5.6333	4.8379	7.0633	5	single_child_interpolation	NA	
H1aq1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1ar	5633.2	4837.9	7063.3	5.6333	4.8379	7.0633	3	single_child_interpolation	NA	
H1ar1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1as	6995.0	2828.8	11269.1	6.995	2.8288	11.2691	6	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1as1	5445.1	2083.8	8882.1	5.4451	2.0838	8.8821	3	single_child_interpolation	NA	
H1as1a	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H1as2	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1at	6282.5	5345.9	7227.6	6.2825	5.3460	7.2276	8	single_child_interpolation	NA	
H1at1	3784.7	2673.0	5535.2	3.7847	2.6730	5.5352	7	single_child_interpolation	NA	
H1at1a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1au	8264.1	5873.6	10717.8	8.2641	5.8736	10.7178	6	single_child_interpolation	low	ci_exceeds_ancestor
H1au1	6548.6	2071.4	11151.7	6.5486	2.0714	11.1517	4	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1au1a	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1au1b	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1av	6609.2	5238.4	8000.3	6.6093	5.2384	8.0003	6	single_child_interpolation	NA	
H1av1	3948.1	2619.2	5921.5	3.9481	2.6192	5.9215	4	single_child_interpolation	NA	
H1av1a	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1aw	6282.5	4837.9	7924.9	6.2825	4.8379	7.9249	5	single_child_interpolation	NA	
H1aw1	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	3	rho_fallback_no_desc	NA	
H1ax	8264.1	6811.8	9737.5	8.2641	6.8118	9.7375	4	single_child_interpolation	NA	
H1ax1	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	NA	
H1ay		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1az	2585.4	0.0	5853.4	2.5854	0.0000	5.8534	5	rho_fallback_no_desc	NA	
H1b	7524.3	6888.3	8162.7	7.5243	6.8883	8.1627	110	rho_direct	NA	
H1b1	6365.1	5496.4	7238.3	6.3651	5.4964	7.2383	51	rho_direct	NA	
H1b1_T16362C	4103.1	2968.6	5246.0	4.1031	2.9686	5.2460	19	rho_direct	NA	
H1b1a	1545.7	307.6	2794.5	1.5457	0.3076	2.7945	5	rho_fallback_no_desc	NA	
H1b1b	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1b1c	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	2	rho_fallback_no_desc	NA	
H1b1d	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
H1b1e	5130.2	2748.2	9529.0	5.1302	2.7482	9.5290	6	single_child_interpolation	low	ci_exceeds_ancestor
H1b1e1	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1b1f	1842.0	395.9	3302.6	1.842	0.3959	3.3026	7	rho_fallback_no_desc	NA	
H1b1g	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H1b1h	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1b1i	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1b2	4621.4	3461.2	5792.6	4.6214	3.4613	5.7926	10	single_child_interpolation	NA	
H1b2a	2310.7	1730.6	2896.3	2.3107	1.7306	2.8963	3	single_child_interpolation	NA	
H1b2a1	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
H1b3	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	2	rho_fallback_no_desc	NA	
H1b4	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1b5	3457.4	1304.9	5640.8	3.4574	1.3049	5.6408	6	rho_fallback_no_desc	NA	
H1ba	7598.0	7446.1	7750.1	7.598	7.4461	7.7501	12	single_child_interpolation	NA	
H1ba1	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	NA	
H1bb	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	3	rho_fallback_no_desc	NA	
H1bc	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H1bd	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	NA	
H1be	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1bf	4430.8	2919.2	6585.9	4.4308	2.9192	6.5859	3	single_child_interpolation	NA	
H1bf1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1bg	5216.4	102.5	10500.5	5.2164	0.1025	10.5005	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1bh	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H1bi	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	NA	
H1bj	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H1bk	856.7	0.0	2550.7	0.8567	0.0000	2.5507	3	rho_fallback_no_desc	NA	
H1bm	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	3	rho_fallback_no_desc	NA	
H1bn	6103.3	4369.6	7855.7	6.1033	4.3696	7.8557	3	rho_fallback_no_desc	NA	
H1bo	7891.7	0.0	18783.8	7.8917	0.0000	18.7838	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1bp	6103.3	4369.6	7855.7	6.1033	4.3696	7.8557	3	rho_fallback_no_desc	NA	
H1bq	10610.1	0.0		10.6101	0.0000	NA	1	rho_fallback_no_desc	NA	
H1br	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	NA	
H1bs	7891.7	2689.8	13259.3	7.8917	2.6898	13.2593	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1bt	5633.2	4837.9	7063.3	5.6333	4.8379	7.0633	2	single_child_interpolation	NA	
H1bt1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1bu	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H1bv	5849.1	4855.0	6853.1	5.8491	4.8550	6.8531	4	single_child_interpolation	NA	
H1bv1	1718.5	34.2	3422.4	1.7185	0.0342	3.4224	3	rho_fallback_no_desc	NA	
H1bw	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	4	rho_fallback_no_desc	NA	
H1bx	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1bz	5216.4	102.5	10500.5	5.2164	0.1025	10.5005	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1c	6842.9	6143.4	7545.4	6.8429	6.1434	7.5454	141	rho_direct	NA	
H1c1	3807.6	2800.1	4821.8	3.8076	2.8001	4.8218	30	rho_direct	NA	
H1c10	2585.4	0.0		2.5854	0.0000	NA	1	rho_fallback_no_desc	NA	
H1c11	1286.9	0.0	2757.2	1.2869	0.0000	2.7572	4	rho_fallback_no_desc	NA	
H1c12	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1c13	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1c14	5216.4	0.0		5.2164	0.0000	NA	1	rho_fallback_no_desc	NA	
H1c15		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1c16	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H1c17	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1c18	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1c19	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1c1_T16093C	2332.2	1400.0	3686.2	2.3321	1.4001	3.6862	6	single_child_interpolation	NA	
H1c1a	3851.4	2069.4	5658.5	3.8514	2.0694	5.6585	6	single_child_interpolation	low	ci_exceeds_ancestor
H1c1a1	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1c1b	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1c1c	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1c1d	856.7	0.0	2550.7	0.8567	0.0000	2.5507	3	rho_fallback_no_desc	NA	
H1c2	5369.1	3071.7	9682.5	5.3691	3.0717	9.6825	7	single_child_interpolation	low	ci_exceeds_ancestor
H1c20	4334.4	2620.2	6067.7	4.3344	2.6202	6.0677	3	rho_fallback_no_desc	NA	
H1c21		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
H1c22	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	4	rho_fallback_no_desc	NA	
H1c2a	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1c3	7733.1	6141.5	9339.9	7.7331	6.1415	9.3399	17	rho_direct	low	ci_exceeds_ancestor
H1c3a	3108.0	615.8	5642.0	3.108	0.6158	5.6420	5	rho_fallback_no_desc	NA	
H1c3b	3238.9	801.0	5716.7	3.2389	0.8010	5.7167	4	rho_fallback_no_desc	NA	
H1c4	5511.5	3498.2	7550.4	5.5115	3.4982	7.5504	9	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1c4a	3399.2	1749.1	5696.5	3.3992	1.7491	5.6965	3	single_child_interpolation	NA	
H1c4a1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1c4b	3399.2	1749.1	5696.5	3.3992	1.7491	5.6965	4	single_child_interpolation	NA	
H1c4b1	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1c5	4714.1	4364.4	5065.4	4.7142	4.3644	5.0654	4	single_child_interpolation	NA	
H1c5a	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	2	rho_fallback_no_desc	NA	
H1c6	856.7	0.0	2550.7	0.8567	0.0000	2.5507	3	rho_fallback_no_desc	NA	
H1c7	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1c8	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1c9	3404.9	931.6	7203.1	3.4049	0.9316	7.2031	3	single_child_interpolation	NA	
H1c9a	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1c_T152C!	5123.9	3537.5	7374.2	5.1239	3.5375	7.3742	8	single_child_interpolation	NA	
H1ca	3566.8	1649.4	5508.5	3.5668	1.6494	5.5085	8	rho_fallback_no_desc	NA	
H1cc	0.0	0.0		0.0	0.0000	NA	1	rho_fallback_no_desc	NA	
H1cd	0.0	0.0	0.0	0.0	0.0000	0.0000	2	rho_fallback_no_desc	NA	
H1cf	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	NA	
H1cg	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1ch	3895.3	0.0	11819.6	3.8953	0.0000	11.8196	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
H1ci	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	2	rho_fallback_no_desc	NA	
H1cj	2585.4	0.0	7783.8	2.5854	0.0000	7.7838	2	rho_fallback_no_desc	NA	
H1ck	4334.4	925.4	7819.8	4.3344	0.9254	7.8198	3	rho_fallback_no_desc	NA	
H1d	0.0	0.0	0.0	0.0	0.0000	0.0000	4	rho_fallback_no_desc	NA	
H1e	10633.9	9512.8	11762.1	10.6339	9.5128	11.7621	115	rho_direct	low	ci_exceeds_ancestor
H1e1	10776.2	9404.1	12158.8	10.7762	9.4041	12.1588	66	rho_direct	low	ci_exceeds_ancestor
H1e1a	7891.7	5882.9	9924.6	7.8917	5.8829	9.9246	40	rho_direct	NA	
H1e1a1	2585.4	0.0	5566.0	2.5854	0.0000	5.5660	3	rho_fallback_no_desc	NA	
H1e1a2	7891.7	0.0		7.8917	0.0000	NA	1	rho_fallback_no_desc	NA	
H1e1a3	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	2	rho_fallback_no_desc	NA	
H1e1a4	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
H1e1a5	6548.6	3947.9	9191.2	6.5486	3.9479	9.1912	2	rho_fallback_no_desc	NA	
