ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
111-1914-5117	YES	0.8767	32	120	Han	Changzhou	Jiangsu	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5124	YES	0.9164	34	109	Han	Xian	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5131	YES	0.9613	41	113	Han	Wulanchabu	InnerMongolia	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5148	YES	0.7522	37	115	Han	Handan	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5155	YES	0.8591	30	116	Han	Jiujiang	Jiangxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5162	YES	0.9847	40	116	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5186	YES	0.8117	28	114	Han	Yichun	Jiangxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5193	YES	0.9434	37	119	Han	Dongying	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5209	YES	0.9416	32	107	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5223	YES	0.8636	45	130	Hui	Mudanjiang	Heilongjiang	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5247	YES	0.9729	34	114	Han	Xuchang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5285	YES	0.9721	36	117	Han	Taian	Shandong	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5292	YES	0.89	31	113	Han	Hubei	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5308	YES	0.941	25	102	Han	Chuxiong	Yunnan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5315	YES	0.9207	40	120	Han	Qinhuangdao	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5339	YES	0.8291	42	123	Han	Shenyang	Liaoning	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5346	YES	0.9613	47	130	Manchu	Jiamusi	Heilongjiang	China	Tungusic	East_Asia	WHOLE	LLT_20K
111-1914-5353	YES	0.9602	34	110	Han	Weinan	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5360	YES	0.9796	28	113	Han	Xiangtan	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5384	YES	0.9638	39	116	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5391	YES	0.9777	39	117	Han	Tianjin	Tianjin	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5407	YES	0.9335	39.9	116.3	Han			China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5414	YES	0.9554	39	117	Han	Tianjin	Tianjin	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5438	YES	0.955	34	110	Han	Weinan	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_20K
111-1914-5445	YES	0.799	39	117	Han	Tianjin	Tianjin	China	Sinitic	East_Asia	WHOLE	LLT_20K
