tip_name	owner_core_subtree_id	appearing_baseml_subtree_ids	roles
111-1931-9143	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-9167	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-9198	core_subtree_0061	"[""baseml_subtree_0061""]"	"[""core""]"
111-1931-9228	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-9310	core_subtree_0061	"[""baseml_subtree_0061""]"	"[""core""]"
111-1931-9327	core_subtree_0027	"[""baseml_subtree_0027""]"	"[""core""]"
111-1931-9341	core_subtree_0054	"[""baseml_subtree_0054""]"	"[""core""]"
111-1931-9358	core_subtree_0025	"[""baseml_subtree_0023"", ""baseml_subtree_0025"", ""baseml_subtree_0028"", ""baseml_subtree_0029"", ""baseml_subtree_0030"", ""baseml_subtree_0078""]"	"[""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-9365	core_subtree_0057	"[""baseml_subtree_0057""]"	"[""core""]"
111-1931-9402	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1931-9419	core_subtree_0054	"[""baseml_subtree_0054""]"	"[""core""]"
111-1931-9426	core_subtree_0021	"[""baseml_subtree_0021""]"	"[""core""]"
111-1931-9433	core_subtree_0035	"[""baseml_subtree_0035"", ""baseml_subtree_0037"", ""baseml_subtree_0038"", ""baseml_subtree_0082"", ""baseml_subtree_0087""]"	"[""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-9471	core_subtree_0060	"[""baseml_subtree_0058"", ""baseml_subtree_0059"", ""baseml_subtree_0060"", ""baseml_subtree_0062"", ""baseml_subtree_0063"", ""baseml_subtree_0064"", ""baseml_subtree_0068"", ""baseml_subtree_0070"", ""baseml_subtree_0071"", ""baseml_subtree_0074"", ""baseml_subtree_0079""]"	"[""anchor"", ""anchor"", ""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-9501	core_subtree_0021	"[""baseml_subtree_0021""]"	"[""core""]"
111-1931-9525	core_subtree_0056	"[""baseml_subtree_0056""]"	"[""core""]"
111-1931-9600	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1931-9631	core_subtree_0035	"[""baseml_subtree_0035"", ""baseml_subtree_0037"", ""baseml_subtree_0038"", ""baseml_subtree_0082"", ""baseml_subtree_0087""]"	"[""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-9648	core_subtree_0019	"[""baseml_subtree_0015"", ""baseml_subtree_0016"", ""baseml_subtree_0019"", ""baseml_subtree_0022""]"	"[""anchor"", ""anchor"", ""core"", ""anchor""]"
111-1931-9693	core_subtree_0061	"[""baseml_subtree_0061""]"	"[""core""]"
111-1931-9709	core_subtree_0019	"[""baseml_subtree_0015"", ""baseml_subtree_0016"", ""baseml_subtree_0019"", ""baseml_subtree_0022""]"	"[""anchor"", ""anchor"", ""core"", ""anchor""]"
111-1931-9716	core_subtree_0041	"[""baseml_subtree_0041""]"	"[""core""]"
111-1931-9747	core_subtree_0024	"[""baseml_subtree_0024""]"	"[""core""]"
111-1931-9785	core_subtree_0020	"[""baseml_subtree_0020""]"	"[""core""]"
111-1931-9815	core_subtree_0042	"[""baseml_subtree_0042""]"	"[""core""]"
111-1931-9822	core_subtree_0026	"[""baseml_subtree_0026""]"	"[""core""]"
111-1931-9839	core_subtree_0035	"[""baseml_subtree_0035"", ""baseml_subtree_0037"", ""baseml_subtree_0038"", ""baseml_subtree_0082"", ""baseml_subtree_0087""]"	"[""core"", ""anchor"", ""anchor"", ""anchor"", ""anchor""]"
111-1931-9860	core_subtree_0049	"[""baseml_subtree_0045"", ""baseml_subtree_0049"", ""baseml_subtree_0088""]"	"[""anchor"", ""core"", ""anchor""]"
