baseml_subtree_id	tip_name	tip_role	source_core_subtree_id	source_node_id
baseml_subtree_0001	JQ324660	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KF162949	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703631	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	OL619809	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704199	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704398	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705294	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EF491001	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704358	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495119	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704090	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324736	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX297163	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324870	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324599	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324650	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324539	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324760	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324864	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324705	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324525	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324604	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324901	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703147	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EF177436	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705914	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687151	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ898578	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	OL619931	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KJ856770	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY408228	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	GU123023	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687276	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP00529	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703262	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702591	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703788	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153161	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409587	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705383	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702726	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JN604117	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153139	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495103	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702971	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM171278	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HM171279	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY410101	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY410205	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409308	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409840	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KY409466	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704212	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704435	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703342	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153481	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KF163052	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	GQ332765	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	GU289555	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	HGDP00527	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703496	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703142	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704119	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152912	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153391	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152942	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	EF177411	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702738	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	OL619822	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153158	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152919	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702099	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702237	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153294	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153899	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ702436	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495163	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	AY495160	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703418	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	KU683541	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152926	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646199	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152893	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153421	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX153157	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703153	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MN687191	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX152947	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ324836	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JX297157	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646109	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ705516	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ703499	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ704378	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	GU122996	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	JQ701984	core	core_subtree_0001	NODE_000038
baseml_subtree_0001	MG646101	core	core_subtree_0001	NODE_000038
