Sample	Grouping	Group
HG04185	Sichuan_geographic_regions	Non_Sichuan
HG04185	Elevation_group	Low
HG04185	Language	Indo_European
HG04187	Corridor_and_key_regions	Others
HG04187	Corridor_NCS	Others
HG04187	Sichuan_geographic_regions	Non_Sichuan
HG04187	Elevation_group	Low
HG04187	Language	Indo_European
HG03815	Corridor_and_key_regions	Others
HG03815	Corridor_NCS	Others
HG03815	Sichuan_geographic_regions	Non_Sichuan
HG03815	Elevation_group	Low
HG03815	Language	Indo_European
HG03009	Corridor_and_key_regions	Others
HG03009	Corridor_NCS	Others
HG03009	Sichuan_geographic_regions	Non_Sichuan
HG03009	Elevation_group	Low
HG03009	Language	Indo_European
HG03600	Corridor_and_key_regions	Others
HG03600	Corridor_NCS	Others
HG03600	Sichuan_geographic_regions	Non_Sichuan
HG03600	Elevation_group	Low
HG03600	Language	Indo_European
HG03941	Corridor_and_key_regions	Others
HG03941	Corridor_NCS	Others
HG03941	Sichuan_geographic_regions	Non_Sichuan
HG03941	Elevation_group	Low
HG03941	Language	Indo_European
HG03942	Corridor_and_key_regions	Others
HG03942	Corridor_NCS	Others
HG03942	Sichuan_geographic_regions	Non_Sichuan
HG03942	Elevation_group	Low
HG03942	Language	Indo_European
HG04161	Corridor_and_key_regions	Others
HG04161	Corridor_NCS	Others
HG04161	Sichuan_geographic_regions	Non_Sichuan
HG04161	Elevation_group	Low
HG04161	Language	Indo_European
HG03800	Corridor_and_key_regions	Others
HG03800	Corridor_NCS	Others
HG03800	Sichuan_geographic_regions	Non_Sichuan
HG03800	Elevation_group	Low
HG03800	Language	Indo_European
HG04176	Corridor_and_key_regions	Others
HG04176	Corridor_NCS	Others
HG04176	Sichuan_geographic_regions	Non_Sichuan
HG04176	Elevation_group	Low
HG04176	Language	Indo_European
HG04146	Corridor_and_key_regions	Others
HG04146	Corridor_NCS	Others
HG04146	Sichuan_geographic_regions	Non_Sichuan
HG04146	Elevation_group	Low
HG04146	Language	Indo_European
HG03812	Corridor_and_key_regions	Others
HG03812	Corridor_NCS	Others
HG03812	Sichuan_geographic_regions	Non_Sichuan
HG03812	Elevation_group	Low
HG03812	Language	Indo_European
HG04188	Corridor_and_key_regions	Others
HG04188	Corridor_NCS	Others
HG04188	Sichuan_geographic_regions	Non_Sichuan
HG04188	Elevation_group	Low
HG04188	Language	Indo_European
HG03594	Corridor_and_key_regions	Others
HG03594	Corridor_NCS	Others
HG03594	Sichuan_geographic_regions	Non_Sichuan
HG03594	Elevation_group	Low
HG03594	Language	Indo_European
HG03596	Corridor_and_key_regions	Others
HG03596	Corridor_NCS	Others
HG03596	Sichuan_geographic_regions	Non_Sichuan
HG03596	Elevation_group	Low
HG03596	Language	Indo_European
HG03809	Corridor_and_key_regions	Others
HG03809	Corridor_NCS	Others
HG03809	Sichuan_geographic_regions	Non_Sichuan
HG03809	Elevation_group	Low
HG03809	Language	Indo_European
HG04149	Corridor_and_key_regions	Others
HG04149	Corridor_NCS	Others
HG04149	Sichuan_geographic_regions	Non_Sichuan
HG04149	Elevation_group	Low
HG04149	Language	Indo_European
HG03615	Corridor_and_key_regions	Others
HG03615	Corridor_NCS	Others
HG03615	Sichuan_geographic_regions	Non_Sichuan
HG03615	Elevation_group	Low
HG03615	Language	Indo_European
HG03905	Corridor_and_key_regions	Others
HG03905	Corridor_NCS	Others
HG03905	Sichuan_geographic_regions	Non_Sichuan
HG03905	Elevation_group	Low
HG03905	Language	Indo_European
HG03906	Corridor_and_key_regions	Others
HG03906	Corridor_NCS	Others
HG03906	Sichuan_geographic_regions	Non_Sichuan
HG03906	Elevation_group	Low
HG03906	Language	Indo_European
HG03012	Corridor_and_key_regions	Others
HG03012	Corridor_NCS	Others
HG03012	Sichuan_geographic_regions	Non_Sichuan
HG03012	Elevation_group	Low
HG03012	Language	Indo_European
HG03806	Corridor_and_key_regions	Others
HG03806	Corridor_NCS	Others
HG03806	Sichuan_geographic_regions	Non_Sichuan
HG03806	Elevation_group	Low
HG03806	Language	Indo_European
HG03909	Corridor_and_key_regions	Others
HG03909	Corridor_NCS	Others
HG03909	Sichuan_geographic_regions	Non_Sichuan
HG03909	Elevation_group	Low
HG03909	Language	Indo_European
HG03908	Corridor_and_key_regions	Others
HG03908	Corridor_NCS	Others
HG03908	Sichuan_geographic_regions	Non_Sichuan
HG03908	Elevation_group	Low
HG03908	Language	Indo_European
HG03920	Corridor_and_key_regions	Others
HG03920	Corridor_NCS	Others
HG03920	Sichuan_geographic_regions	Non_Sichuan
HG03920	Elevation_group	Low
HG03920	Language	Indo_European
HG03821	Corridor_and_key_regions	Others
HG03821	Corridor_NCS	Others
HG03821	Sichuan_geographic_regions	Non_Sichuan
HG03821	Elevation_group	Low
HG03821	Language	Indo_European
HG04140	Corridor_and_key_regions	Others
HG04140	Corridor_NCS	Others
HG04140	Sichuan_geographic_regions	Non_Sichuan
HG04140	Elevation_group	Low
HG04140	Language	Indo_European
HG04173	Corridor_and_key_regions	Others
HG04173	Corridor_NCS	Others
HG04173	Sichuan_geographic_regions	Non_Sichuan
HG04173	Elevation_group	Low
HG04173	Language	Indo_European
HG04134	Corridor_and_key_regions	Others
HG04134	Corridor_NCS	Others
HG04134	Sichuan_geographic_regions	Non_Sichuan
HG04134	Elevation_group	Low
HG04134	Language	Indo_European
HG03830	Corridor_and_key_regions	Others
HG03830	Corridor_NCS	Others
HG03830	Sichuan_geographic_regions	Non_Sichuan
HG03830	Elevation_group	Low
HG03830	Language	Indo_European
HG03798	Corridor_and_key_regions	Others
HG03798	Corridor_NCS	Others
HG03798	Sichuan_geographic_regions	Non_Sichuan
HG03798	Elevation_group	Low
HG03798	Language	Indo_European
HG03797	Corridor_and_key_regions	Others
HG03797	Corridor_NCS	Others
HG03797	Sichuan_geographic_regions	Non_Sichuan
HG03797	Elevation_group	Low
HG03797	Language	Indo_European
HG03914	Corridor_and_key_regions	Others
HG03914	Corridor_NCS	Others
HG03914	Sichuan_geographic_regions	Non_Sichuan
HG03914	Elevation_group	Low
HG03914	Language	Indo_European
HG03911	Corridor_and_key_regions	Others
HG03911	Corridor_NCS	Others
HG03911	Sichuan_geographic_regions	Non_Sichuan
HG03911	Elevation_group	Low
HG03911	Language	Indo_European
HG03833	Corridor_and_key_regions	Others
HG03833	Corridor_NCS	Others
HG03833	Sichuan_geographic_regions	Non_Sichuan
HG03833	Elevation_group	Low
HG03833	Language	Indo_European
HG03803	Corridor_and_key_regions	Others
HG03803	Corridor_NCS	Others
HG03803	Sichuan_geographic_regions	Non_Sichuan
HG03803	Elevation_group	Low
HG03803	Language	Indo_European
HG03603	Corridor_and_key_regions	Others
HG03603	Corridor_NCS	Others
HG03603	Sichuan_geographic_regions	Non_Sichuan
HG03603	Elevation_group	Low
HG03603	Language	Indo_European
HG03585	Corridor_and_key_regions	Others
HG03585	Corridor_NCS	Others
HG03585	Sichuan_geographic_regions	Non_Sichuan
HG03585	Elevation_group	Low
HG03585	Language	Indo_European
HG03606	Corridor_and_key_regions	Others
HG03606	Corridor_NCS	Others
HG03606	Sichuan_geographic_regions	Non_Sichuan
HG03606	Elevation_group	Low
HG03606	Language	Indo_European
HG03902	Corridor_and_key_regions	Others
HG03902	Corridor_NCS	Others
HG03902	Sichuan_geographic_regions	Non_Sichuan
HG03902	Elevation_group	Low
HG03902	Language	Indo_European
HG04131	Corridor_and_key_regions	Others
HG04131	Corridor_NCS	Others
HG04131	Sichuan_geographic_regions	Non_Sichuan
HG04131	Elevation_group	Low
HG04131	Language	Indo_European
HG04194	Corridor_and_key_regions	Others
HG04194	Corridor_NCS	Others
HG04194	Sichuan_geographic_regions	Non_Sichuan
HG04194	Elevation_group	Low
HG04194	Language	Indo_European
HG03926	Corridor_and_key_regions	Others
HG03926	Corridor_NCS	Others
HG03926	Sichuan_geographic_regions	Non_Sichuan
HG03926	Elevation_group	Low
HG03926	Language	Indo_European
HG03795	Corridor_and_key_regions	Others
HG03795	Corridor_NCS	Others
HG03795	Sichuan_geographic_regions	Non_Sichuan
HG03795	Elevation_group	Low
HG03795	Language	Indo_European
HG03794	Corridor_and_key_regions	Others
HG03794	Corridor_NCS	Others
HG03794	Sichuan_geographic_regions	Non_Sichuan
HG03794	Elevation_group	Low
HG03794	Language	Indo_European
HG04152	Corridor_and_key_regions	Others
HG04152	Corridor_NCS	Others
HG04152	Sichuan_geographic_regions	Non_Sichuan
HG04152	Elevation_group	Low
HG04152	Language	Indo_European
HG04182	Corridor_and_key_regions	Others
HG04182	Corridor_NCS	Others
HG04182	Sichuan_geographic_regions	Non_Sichuan
HG04182	Elevation_group	Low
HG04182	Language	Indo_European
HG04160	Corridor_and_key_regions	Others
HG04160	Corridor_NCS	Others
HG04160	Sichuan_geographic_regions	Non_Sichuan
HG04160	Elevation_group	Low
HG04160	Language	Indo_European
HG04158	Corridor_and_key_regions	Others
HG04158	Corridor_NCS	Others
HG04158	Sichuan_geographic_regions	Non_Sichuan
HG04158	Elevation_group	Low
HG04158	Language	Indo_European
HG01890	Corridor_and_key_regions	Others
HG01890	Corridor_NCS	Others
HG01890	Sichuan_geographic_regions	Non_Sichuan
HG01890	Elevation_group	Low
HG01890	Language	Other
HG02449	Corridor_and_key_regions	Others
HG02449	Corridor_NCS	Others
HG02449	Sichuan_geographic_regions	Non_Sichuan
HG02449	Elevation_group	Low
HG02449	Language	Other
HG01882	Corridor_and_key_regions	Others
HG01882	Corridor_NCS	Others
HG01882	Sichuan_geographic_regions	Non_Sichuan
HG01882	Elevation_group	Low
HG01882	Language	Other
HG01888	Corridor_and_key_regions	Others
HG01888	Corridor_NCS	Others
HG01888	Sichuan_geographic_regions	Non_Sichuan
HG01888	Elevation_group	Low
HG01888	Language	Other
HG02496	Corridor_and_key_regions	Others
HG02496	Corridor_NCS	Others
HG02496	Sichuan_geographic_regions	Non_Sichuan
HG02496	Elevation_group	Low
HG02496	Language	Other
HG02107	Corridor_and_key_regions	Others
HG02107	Corridor_NCS	Others
HG02107	Sichuan_geographic_regions	Non_Sichuan
HG02107	Elevation_group	Low
HG02107	Language	Other
HG02323	Corridor_and_key_regions	Others
HG02323	Corridor_NCS	Others
HG02323	Sichuan_geographic_regions	Non_Sichuan
HG02323	Elevation_group	Low
HG02323	Language	Other
HG02442	Corridor_and_key_regions	Others
HG02442	Corridor_NCS	Others
HG02442	Sichuan_geographic_regions	Non_Sichuan
HG02442	Elevation_group	Low
HG02442	Language	Other
HG02484	Corridor_and_key_regions	Others
HG02484	Corridor_NCS	Others
HG02484	Sichuan_geographic_regions	Non_Sichuan
HG02484	Elevation_group	Low
HG02484	Language	Other
HG01987	Corridor_and_key_regions	Others
HG01987	Corridor_NCS	Others
HG01987	Sichuan_geographic_regions	Non_Sichuan
HG01987	Elevation_group	Low
HG01987	Language	Other
HG01990	Corridor_and_key_regions	Others
HG01990	Corridor_NCS	Others
HG01990	Sichuan_geographic_regions	Non_Sichuan
HG01990	Elevation_group	Low
HG01990	Language	Other
HG02255	Corridor_and_key_regions	Others
HG02255	Corridor_NCS	Others
HG02255	Sichuan_geographic_regions	Non_Sichuan
HG02255	Elevation_group	Low
HG02255	Language	Other
HG02307	Corridor_and_key_regions	Others
HG02307	Corridor_NCS	Others
HG02307	Sichuan_geographic_regions	Non_Sichuan
HG02307	Elevation_group	Low
HG02307	Language	Other
HG02284	Corridor_and_key_regions	Others
HG02284	Corridor_NCS	Others
HG02284	Sichuan_geographic_regions	Non_Sichuan
HG02284	Elevation_group	Low
HG02284	Language	Other
HG01986	Corridor_and_key_regions	Others
HG01986	Corridor_NCS	Others
HG01986	Sichuan_geographic_regions	Non_Sichuan
HG01986	Elevation_group	Low
HG01986	Language	Other
HG02489	Corridor_and_key_regions	Others
HG02489	Corridor_NCS	Others
HG02489	Sichuan_geographic_regions	Non_Sichuan
HG02489	Elevation_group	Low
HG02489	Language	Other
HG02481	Corridor_and_key_regions	Others
HG02481	Corridor_NCS	Others
HG02481	Sichuan_geographic_regions	Non_Sichuan
HG02481	Elevation_group	Low
HG02481	Language	Other
HG02283	Corridor_and_key_regions	Others
HG02283	Corridor_NCS	Others
HG02283	Sichuan_geographic_regions	Non_Sichuan
HG02283	Elevation_group	Low
HG02283	Language	Other
HG02013	Corridor_and_key_regions	Others
HG02013	Corridor_NCS	Others
HG02013	Sichuan_geographic_regions	Non_Sichuan
HG02013	Elevation_group	Low
HG02013	Language	Other
HG01897	Corridor_and_key_regions	Others
HG01897	Corridor_NCS	Others
HG01897	Sichuan_geographic_regions	Non_Sichuan
HG01897	Elevation_group	Low
HG01897	Language	Other
HG02429	Corridor_and_key_regions	Others
HG02429	Corridor_NCS	Others
HG02429	Sichuan_geographic_regions	Non_Sichuan
HG02429	Elevation_group	Low
HG02429	Language	Other
HG02334	Corridor_and_key_regions	Others
HG02334	Corridor_NCS	Others
HG02334	Sichuan_geographic_regions	Non_Sichuan
HG02334	Elevation_group	Low
HG02334	Language	Other
HG02009	Corridor_and_key_regions	Others
HG02009	Corridor_NCS	Others
HG02009	Sichuan_geographic_regions	Non_Sichuan
HG02009	Elevation_group	Low
HG02009	Language	Other
HG02011	Corridor_and_key_regions	Others
HG02011	Corridor_NCS	Others
HG02011	Sichuan_geographic_regions	Non_Sichuan
HG02011	Elevation_group	Low
HG02011	Language	Other
HG02145	Corridor_and_key_regions	Others
HG02145	Corridor_NCS	Others
HG02145	Sichuan_geographic_regions	Non_Sichuan
HG02145	Elevation_group	Low
HG02145	Language	Other
HG02143	Corridor_and_key_regions	Others
HG02143	Corridor_NCS	Others
HG02143	Sichuan_geographic_regions	Non_Sichuan
HG02143	Elevation_group	Low
HG02143	Language	Other
HG02314	Corridor_and_key_regions	Others
HG02314	Corridor_NCS	Others
HG02314	Sichuan_geographic_regions	Non_Sichuan
HG02314	Elevation_group	Low
HG02314	Language	Other
HG02258	Corridor_and_key_regions	Others
HG02258	Corridor_NCS	Others
HG02258	Sichuan_geographic_regions	Non_Sichuan
HG02258	Elevation_group	Low
HG02258	Language	Other
HG02439	Corridor_and_key_regions	Others
HG02439	Corridor_NCS	Others
HG02439	Sichuan_geographic_regions	Non_Sichuan
HG02439	Elevation_group	Low
HG02439	Language	Other
HG01885	Corridor_and_key_regions	Others
HG01885	Corridor_NCS	Others
HG01885	Sichuan_geographic_regions	Non_Sichuan
HG01885	Elevation_group	Low
HG01885	Language	Other
HG02332	Corridor_and_key_regions	Others
HG02332	Corridor_NCS	Others
HG02332	Sichuan_geographic_regions	Non_Sichuan
HG02332	Elevation_group	Low
HG02332	Language	Other
HG01912	Corridor_and_key_regions	Others
HG01912	Corridor_NCS	Others
HG01912	Sichuan_geographic_regions	Non_Sichuan
HG01912	Elevation_group	Low
HG01912	Language	Other
HG01895	Corridor_and_key_regions	Others
HG01895	Corridor_NCS	Others
HG01895	Sichuan_geographic_regions	Non_Sichuan
HG01895	Elevation_group	Low
HG01895	Language	Other
HG02053	Corridor_and_key_regions	Others
HG02053	Corridor_NCS	Others
HG02053	Sichuan_geographic_regions	Non_Sichuan
HG02053	Elevation_group	Low
HG02053	Language	Other
HG02055	Corridor_and_key_regions	Others
HG02055	Corridor_NCS	Others
HG02055	Sichuan_geographic_regions	Non_Sichuan
HG02055	Elevation_group	Low
HG02055	Language	Other
HG02557	Corridor_and_key_regions	Others
HG02557	Corridor_NCS	Others
HG02557	Sichuan_geographic_regions	Non_Sichuan
HG02557	Elevation_group	Low
HG02557	Language	Other
HG01914	Corridor_and_key_regions	Others
HG01914	Corridor_NCS	Others
HG01914	Sichuan_geographic_regions	Non_Sichuan
HG01914	Elevation_group	Low
HG01914	Language	Other
