metric	value
total_haplogroups	53708.0
with_ancestor	53708.0
with_descendants_n_ge_2	11766.0
confidence_high	831.0
confidence_medium	1878.0
confidence_low	5238.0
confidence_very_low	3819.0
confidence_no_ci	41942.0
flag_no_ancestor	0.0
flag_negative_lower_ci	1498.0
flag_exceeds_300kya	0.0
median_age_kya	5.7
mean_age_kya	8.2
