haplogroup	n_samples	confidence	flag	complete_rho	complete_se	complete_age_kya	complete_ci_lo_kya	complete_ci_hi_kya	synonymous_rho	synonymous_se	synonymous_age_kya	synonymous_ci_lo_kya	synonymous_ci_hi_kya	hvsi_full_rho	hvsi_full_se	hvsi_full_age_kya	hvsi_full_ci_lo_kya	hvsi_full_ci_hi_kya	hvsi_trans_rho	hvsi_trans_se	hvsi_trans_age_kya	hvsi_trans_ci_lo_kya	hvsi_trans_ci_hi_kya	hvsii_rho	hvsii_se	hvsii_age_kya	hvsii_ci_lo_kya	hvsii_ci_hi_kya	control_rho	control_se	control_age_kya	control_ci_lo_kya	control_ci_hi_kya
mt-MRCA(RSRS)	48816	high		51.6960	0.0209	171.3904	171.2382	171.5425	21.4612	0.0125	168.9427	168.7505	169.1350	8.5191	0.0078	142.0736	141.8172	142.3300	8.5060	0.0078	160.2952	160.0055	160.5850	4.4076	0.0058	98.6772	98.4224	98.9320	14.3978	0.0107	130.4151	130.2257	130.6045
"L1""7"	48348	high		45.5245	0.0209	148.5804	148.4300	148.7308	18.6568	0.0130	146.8660	146.6655	147.0666	7.5495	0.0078	125.9022	125.6478	126.1567	7.5374	0.0078	142.0414	141.7542	142.3287	3.9837	0.0056	89.1866	88.9412	89.4321	13.0083	0.0105	117.8295	117.6431	118.0159
"L2""7"	47935	high		40.5966	0.0208	130.5911	130.4431	130.7392	17.6660	0.0130	139.0670	138.8657	139.2683	7.5685	0.0078	126.2202	125.9663	126.4741	7.5570	0.0078	142.4114	142.1247	142.6980	3.9864	0.0056	89.2465	89.0004	89.4927	13.0263	0.0105	117.9927	117.8066	118.1787
L5'7	24	low	ci_exceeds_ancestor	39.4583	0.9555	126.4706	119.7235	133.2574	19.3750	0.8139	152.5200	139.9629	165.0771	4.7083	0.2517	78.5209	70.2950	86.7467	4.7500	0.2571	89.5138	80.0158	99.0117	2.3333	0.2382	52.2387	41.7841	62.6932	9.1250	0.4865	82.6543	74.0179	91.2906
L0	468	high		38.7393	0.2030	123.8753	122.4419	125.3106	14.7030	0.1538	115.7419	113.3690	118.1149	5.8013	0.0739	96.7480	94.3335	99.1625	5.6795	0.0747	107.0299	104.2704	109.7895	6.6132	0.1743	148.0574	140.4072	155.7076	13.4573	0.2243	121.8959	117.9129	125.8789
L1	413	high		37.6320	0.2494	119.8901	118.1360	121.6472	14.9346	0.1447	117.5654	115.3332	119.7975	5.3366	0.0758	88.9978	86.5195	91.4762	5.2591	0.0683	99.1074	96.5854	101.6293	3.6731	0.0678	82.2339	79.2575	85.2103	10.9177	0.1422	98.8923	96.3683	101.4163
L7	5	low	ci_exceeds_ancestor	37.6000	1.9131	119.7753	106.3989	133.3250	16.0000	0.7746	125.9520	114.0007	137.9033	5.4000	0.5099	90.0558	73.3887	106.7229	4.4000	0.5099	82.9180	64.0842	101.7518	3.2000	0.3742	71.6416	55.2230	88.0602	10.8000	0.6633	97.8264	86.0499	109.6029
"L0a""m^"	342	high		35.9444	0.2204	113.8462	112.3052	115.3898	13.0702	0.1632	102.8884	100.3703	105.4065	5.1959	0.0797	86.6521	84.0486	89.2557	5.1023	0.0752	96.1536	93.3762	98.9310	7.7105	0.1072	172.6233	167.9190	177.3275	14.0000	0.1553	126.8120	124.0542	129.5698
L5	19	medium		35.5263	1.1455	112.3544	104.3858	120.3912	19.2632	0.9075	151.6396	137.6370	165.6422	3.5263	0.2796	58.8084	49.6690	67.9477	3.8421	0.2988	72.4045	61.3694	83.4396	1.2105	0.2367	27.1013	16.7156	37.4869	6.7895	0.5219	61.4991	52.2332	70.7649
L2e'f^	15	low	ci_exceeds_ancestor	35.4000	1.2024	111.9042	103.5458	120.3382	10.5333	0.5925	82.9184	73.7759	92.0609	7.1333	0.5509	118.9626	100.9553	136.9699	5.3333	0.4646	100.5067	83.3453	117.6680	1.8667	0.2737	41.7909	29.7801	53.8017	10.2667	0.7896	92.9955	78.9769	107.0140
L7a	5	low		33.6000	1.9131	105.5129	92.3562	118.8767	13.0000	0.7746	102.3360	90.3847	114.2873	5.4000	0.5099	90.0558	73.3887	106.7229	4.4000	0.5099	82.9180	64.0842	101.7518	3.2000	0.3742	71.6416	55.2230	88.0602	10.8000	0.6633	97.8264	86.0499	109.6029
L2'3'4'6	47911	high		32.4827	0.0222	101.5693	101.4164	101.7223	13.7217	0.0123	108.0173	107.8279	108.2067	5.3966	0.0082	89.9993	89.7306	90.2680	5.3850	0.0088	101.4812	101.1563	101.8061	2.9894	0.0056	66.9276	66.6818	67.1733	9.8572	0.0111	89.2866	89.0894	89.4839
L3'4'6	47020	high		30.5228	0.0223	94.6991	94.5465	94.8518	12.7060	0.0124	100.0213	99.8303	100.2123	5.3959	0.0083	89.9870	89.7152	90.2588	5.3975	0.0089	101.7161	101.3881	102.0441	2.9761	0.0056	66.6283	66.3806	66.8761	9.8446	0.0112	89.1724	88.9731	89.3717
"L1c1""9"	141	low	ci_exceeds_ancestor	28.4468	0.3228	87.4921	85.3110	89.6804	10.7021	0.1725	84.2471	81.5854	86.9089	4.1064	0.1719	68.4821	62.8628	74.1015	3.8298	0.1546	72.1723	66.4614	77.8833	2.9220	0.1130	65.4174	60.4581	70.3767	8.3121	0.1955	75.2906	71.8202	78.7610
"L0a""m"	317	high		28.1893	0.2648	86.6034	84.8163	88.3954	10.6151	0.1448	83.5624	81.3289	85.7959	5.2965	0.0817	88.3302	85.6607	90.9997	5.1956	0.0770	97.9108	95.0668	100.7548	5.3438	0.0705	119.6381	116.5456	122.7305	11.7792	0.1013	106.6958	104.8968	108.4948
L1c	206	high		27.2476	0.3468	83.3643	81.0364	85.7009	10.4223	0.1565	82.0446	79.6300	84.4592	3.6068	0.1364	60.1505	55.6936	64.6075	3.4854	0.1223	65.6831	61.1664	70.1997	2.4223	0.1071	54.2311	49.5322	58.9301	7.8689	0.2072	71.2768	67.5978	74.9558
L4	52	low	ci_exceeds_ancestor	27.0192	0.6707	82.5814	78.0941	87.1020	9.8846	0.3802	77.8117	71.9459	83.6775	3.8846	0.1391	64.7837	60.2372	69.3302	3.3269	0.1975	62.6959	55.4010	69.9907	3.3846	0.1651	75.7748	68.5291	83.0204	8.4808	0.2821	76.8188	71.8113	81.8263
L4b1	17	low	ci_exceeds_ancestor	26.7059	0.9806	81.5087	74.9723	88.1173	9.8235	0.4392	77.3308	70.5542	84.1075	3.8824	0.2829	64.7460	55.4997	73.9923	4.5294	0.3548	85.3568	72.2527	98.4608	1.9412	0.1040	43.4591	38.8961	48.0220	6.8824	0.4608	62.3404	54.1588	70.5219
L1c1'2'4'6'7	138	high		26.4710	0.3110	80.7059	78.6277	82.7915	10.7681	0.1719	84.7666	82.1145	87.4187	4.1377	0.1746	69.0041	63.2968	74.7114	3.8551	0.1572	72.6488	66.8431	78.4546	1.7899	0.1666	40.0713	32.7597	47.3829	7.2174	0.2145	65.3751	61.5678	69.1824
L4b	47	low	ci_exceeds_ancestor	26.2979	0.7041	80.1148	75.4251	84.8424	8.5745	0.3684	67.4982	61.8135	73.1829	3.9787	0.1442	66.3532	61.6385	71.0678	3.3404	0.2135	62.9503	55.0643	70.8364	3.4043	0.1738	76.2145	68.5873	83.8416	8.5532	0.3054	77.4748	72.0533	82.8964
L0f	14	medium		25.7143	0.8149	78.1269	72.7221	83.5835	8.5000	0.4889	66.9120	59.3689	74.4551	4.2143	0.5465	70.2816	52.4181	88.1451	3.7857	0.4824	71.3418	53.5229	89.1606	2.3571	0.3249	52.7717	38.5141	67.0294	7.6429	0.8683	69.2290	53.8137	84.6443
L2b'c'd	199	low	ci_exceeds_ancestor	25.6332	0.4665	77.8511	74.7521	80.9671	7.1106	0.2235	55.9743	52.5264	59.4221	2.8794	0.1584	48.0197	42.8408	53.1986	2.7739	0.1545	52.2736	46.5660	57.9811	2.4724	0.0595	55.3512	52.7394	57.9631	7.2412	0.1919	65.5908	62.1846	68.9971
L1c2'4'7	65	high		25.4769	0.3461	77.3203	75.0218	79.6282	9.1077	0.1728	71.6958	69.0293	74.3622	3.9692	0.2068	66.1949	59.4346	72.9551	3.6769	0.1642	69.2916	63.2252	75.3580	0.9846	0.1733	22.0436	14.4376	29.6495	6.5077	0.2669	58.9467	54.2090	63.6844
P4	75	low	ci_exceeds_ancestor	25.1467	0.2794	76.2000	74.3471	78.0592	9.9867	0.2202	78.6150	75.2183	82.0118	1.8133	0.0999	30.2410	26.9756	33.5063	1.7467	0.0892	32.9159	29.6202	36.2117	2.2533	0.0807	50.4476	46.9044	53.9909	7.6800	0.2010	69.5654	65.9962	73.1347
L3'4	47016	high		25.1254	0.0225	76.1279	75.9788	76.2770	9.7143	0.0123	76.4712	76.2807	76.6617	4.4995	0.0082	75.0383	74.7713	75.3054	4.5012	0.0087	84.8245	84.5019	85.1471	1.4665	0.0057	32.8320	32.5836	33.0805	7.4387	0.0112	67.3794	67.1806	67.5782
P7	1	no_ci		25.0000		75.7032			8.0000		62.9760			5.0000		83.3850			4.0000		75.3800			2.0000		44.7760			8.0000		72.4640		
L0d	126	high		24.8968	0.3694	75.3540	72.9094	77.8095	8.7381	0.3446	68.7863	63.4693	74.1032	3.8016	0.1338	63.3991	59.0250	67.7732	3.6032	0.1452	67.9018	62.5379	73.2658	1.1984	0.0909	26.8301	22.8429	30.8173	5.9048	0.2005	53.4853	49.9266	57.0441
L0f1	2	very_low		24.0000	1.0000	72.3280	65.7764	78.9631	7.5000	1.5000	59.0400	35.8963	82.1837	4.5000	2.5000	75.0465	-6.6708	156.7638	5.5000	1.5000	103.6475	48.2432	159.0518	3.5000	0.5000	78.3580	56.4178	100.2982	10.5000	1.5000	95.1090	68.4785	121.7395
L1c4'7	10	low	ci_exceeds_ancestor	24.0000	1.4298	72.3280	62.9874	81.8392	8.5000	0.6872	66.9120	56.3094	77.5146	2.5000	0.3416	41.6925	30.5278	52.8572	2.4000	0.2667	45.2280	35.3783	55.0777	3.3000	0.3000	73.8804	60.7163	87.0445	6.6000	0.4522	59.7828	51.7554	67.8102
N3'10'26	65	low	ci_exceeds_ancestor	23.8923	0.4744	71.9658	68.8491	75.1013	8.2769	0.4163	65.1559	58.7325	71.5794	3.8308	0.1678	63.8857	58.4007	69.3707	3.7538	0.1316	70.7412	65.8799	75.6026	2.8769	0.1085	64.4086	59.6454	69.1717	7.7846	0.2039	70.5130	66.8927	74.1334
L0f2'4	7	low		23.7143	1.2481	71.3676	63.2200	79.6467	8.1429	0.8289	64.1006	51.3114	76.8898	2.8571	0.5948	47.6486	28.2076	67.0895	2.4286	0.4809	45.7664	28.0027	63.5301	2.1429	0.4041	47.9743	30.2439	65.7047	5.2857	0.8081	47.8780	33.5309	62.2251
L3h	41	low	ci_exceeds_ancestor	23.3659	0.5585	70.1988	66.5448	73.8795	9.0976	0.3000	71.6160	66.9871	76.2449	4.0732	0.1957	67.9283	61.5329	74.3236	3.9268	0.2077	74.0011	66.3277	81.6745	2.1220	0.2101	47.5062	38.2871	56.7254	7.4878	0.2685	67.8245	63.0574	72.5917
L2	891	high		23.2245	0.1867	69.7253	68.5022	70.9515	10.5780	0.0904	83.2700	81.8756	84.6645	3.5769	0.0527	59.6516	57.9294	61.3739	3.8440	0.0597	72.4401	70.2346	74.6456	2.8743	0.0374	64.3498	62.7067	65.9929	7.8440	0.0752	71.0509	69.7166	72.3852
P3'10	34	low	ci_exceeds_ancestor	23.0882	0.2682	69.2695	67.5143	71.0309	10.5882	0.4118	83.3506	76.9974	89.7038	1.9118	0.3690	31.8825	19.8225	43.9425	2.0294	0.3972	38.2443	23.5751	52.9135	3.7941	0.2490	84.9427	74.0170	95.8685	6.2647	0.5558	56.7457	46.8780	66.6134
N10	52	low	ci_exceeds_ancestor	22.8077	0.5012	68.3322	65.0644	71.6218	8.9615	0.4716	70.5452	63.2682	77.8222	2.7692	0.2048	46.1825	39.4882	52.8767	2.9038	0.1535	54.7230	49.0518	60.3941	3.8462	0.1489	86.1077	79.5755	92.6399	7.7500	0.2423	70.1995	65.8971	74.5019
L1c1	71	high		22.7042	0.4849	67.9869	64.8269	71.1676	8.5915	0.2725	67.6327	63.4277	71.8377	4.2676	0.2787	71.1709	62.0625	80.2793	3.9859	0.2619	75.1146	65.4398	84.7894	2.5775	0.2487	57.7043	46.7926	68.6160	7.8873	0.3194	71.4434	65.7724	77.1143
L3	46964	high		22.4317	0.0226	67.0788	66.9311	67.2265	9.7141	0.0124	76.4697	76.2791	76.6603	3.8047	0.0081	63.4507	63.1863	63.7150	3.8070	0.0086	71.7421	71.4234	72.0608	1.4644	0.0057	32.7845	32.5362	33.0327	6.7420	0.0113	61.0690	60.8686	61.2694
R24'34	9	low	ci_exceeds_ancestor	22.3333	1.6415	66.7513	56.1714	77.5706	8.6667	0.7993	68.2240	55.8914	80.5566	3.8889	0.2003	64.8550	58.3075	71.4025	4.3333	0.4410	81.6617	65.3743	97.9490	2.7778	0.4339	62.1889	43.1490	81.2288	8.6667	0.7817	78.5027	64.6240	92.3814
M20'114^	96	low	ci_exceeds_ancestor	22.1979	0.3263	66.3010	64.1797	68.4318	10.8646	0.1906	85.5260	82.5855	88.4665	2.8750	0.1293	47.9464	43.7196	52.1732	2.2500	0.0948	42.4012	38.8989	45.9036	2.3125	0.1061	51.7722	47.1175	56.4270	6.3021	0.1993	57.0843	53.5460	60.6225
L2a'b'c'd	876	high		22.0171	0.1809	65.7004	64.5249	66.8788	9.5788	0.0914	75.4041	73.9938	76.8143	3.5000	0.0487	58.3695	56.7789	59.9601	3.8025	0.0591	71.6583	69.4739	73.8427	2.8916	0.0375	64.7361	63.0884	66.3837	7.7865	0.0736	70.5304	69.2229	71.8378
L1c1a'b'd'e'g	61	high		21.9016	0.5451	65.3172	61.7870	68.8742	8.7541	0.3036	68.9123	64.2283	73.5963	3.2787	0.3013	54.6787	44.8301	64.5273	2.9508	0.2829	55.6082	45.1601	66.0563	2.6721	0.2841	59.8237	47.3565	72.2908	7.0000	0.3522	63.4060	57.1532	69.6588
M27	45	low	ci_exceeds_ancestor	21.8667	0.4981	65.2012	61.9751	68.4497	5.0889	0.2875	40.0597	35.6241	44.4954	4.4444	0.1895	74.1200	67.9254	80.3146	3.4000	0.1864	64.0730	57.1878	70.9582	2.6444	0.1686	59.2038	51.8038	66.6039	8.7111	0.3632	78.9052	72.4564	85.3541
L0a'b'g'l'm	303	high		21.8185	0.2522	65.0414	63.4055	66.6831	8.3894	0.1365	66.0417	63.9349	68.1484	4.2112	0.0776	70.2305	67.6953	72.7658	4.1716	0.0766	78.6141	75.7844	81.4439	3.5017	0.0604	78.3949	75.7449	81.0450	8.8548	0.0946	80.2066	78.5264	81.8869
R2'JT	2170	low	ci_exceeds_ancestor	21.7567	0.0759	64.8366	64.3441	65.3296	6.5862	0.0595	51.8464	50.9289	52.7639	4.1134	0.0310	68.5986	67.5852	69.6120	3.5221	0.0354	66.3743	65.0669	67.6818	1.7092	0.0256	38.2659	37.1446	39.3873	7.9719	0.0624	72.2094	71.1018	73.3170
M29'Q	660	low	ci_exceeds_ancestor	21.7379	0.1282	64.7743	63.9423	65.6078	6.0333	0.0568	47.4944	46.6174	48.3714	6.8015	0.0757	113.4289	110.9532	115.9045	6.7379	0.0780	126.9753	124.0946	129.8561	2.9833	0.0414	66.7909	64.9726	68.6092	11.1500	0.0920	100.9967	99.3641	102.6293
L0d1'2	118	high		21.7034	0.3925	64.6601	62.1191	67.2150	7.0593	0.3631	55.5710	49.9681	61.1739	2.7966	0.1422	46.6391	41.9914	51.2867	2.6102	0.1537	49.1886	43.5123	54.8650	1.1525	0.0945	25.8031	21.6570	29.9492	4.8305	0.2103	43.7547	40.0211	47.4884
R21'39^	10	low	ci_exceeds_ancestor	21.7000	0.3000	64.6488	62.7053	66.6005	2.7000	0.2134	21.2544	17.9612	24.5476	4.4000	0.1633	73.3788	68.0410	78.7166	4.3000	0.1528	81.0335	75.3914	86.6756	4.1000	0.1000	91.7908	87.4028	96.1788	9.6000	0.2211	86.9568	83.0313	90.8823
L1c1c'f'h'i	10	low	ci_exceeds_ancestor	21.7000	1.3254	64.6488	56.1266	73.3308	7.6000	0.4761	59.8272	52.4815	67.1729	6.0000	0.6992	100.0620	77.2071	122.9169	6.0000	0.5774	113.0700	91.7449	134.3951	2.4000	0.3712	53.7312	37.4435	70.0189	9.4000	0.7483	85.1452	71.8596	98.4308
N1'5	388	low	ci_exceeds_ancestor	21.4304	0.1564	63.7567	62.7447	64.7710	7.7036	0.1070	60.6428	58.9920	62.2936	3.7113	0.0649	61.8940	59.7740	64.0141	2.8247	0.0711	53.2323	50.6044	55.8602	3.4227	0.0757	76.6270	73.3048	79.9491	7.4820	0.1023	67.7716	65.9557	69.5875
M32'56	46	low	ci_exceeds_ancestor	21.1087	0.4757	62.6944	59.6298	65.7800	7.1087	0.2268	55.9597	52.4607	59.4586	5.9348	0.1471	98.9744	94.1654	103.7833	4.0652	0.0901	76.6090	73.2811	79.9370	1.7826	0.1027	39.9090	35.4032	44.4149	9.7391	0.2072	88.2170	84.5385	91.8956
M19'109	27	low	ci_exceeds_ancestor	20.9259	0.5942	62.0920	58.2728	65.9442	7.9630	0.1644	62.6844	60.1486	65.2203	4.5556	0.2465	75.9730	67.9146	84.0314	4.5926	0.2281	86.5474	78.1230	94.9718	1.5926	0.1791	35.6550	27.7959	43.5141	6.4074	0.2984	58.0383	52.7401	63.3364
N11	42	low	ci_exceeds_ancestor	20.8571	0.6399	61.8655	57.7560	66.0134	5.8571	0.1723	46.1074	43.4484	48.7664	3.3333	0.2328	55.5900	47.9802	63.1998	3.3571	0.2177	63.2654	55.2228	71.3079	2.1667	0.1073	48.5073	43.7981	53.2166	5.6905	0.3019	51.5443	46.1840	56.9046
L1c1a'b'd'g	59	high		20.8305	0.5613	61.7778	58.1715	65.4138	7.6610	0.3064	60.3075	55.5803	65.0347	3.1525	0.2979	52.5749	42.8384	62.3115	2.8644	0.2855	53.9797	43.4347	64.5248	2.7288	0.2909	61.0927	48.3260	73.8593	6.9661	0.3634	63.0989	56.6471	69.5508
P8'12	10	low	ci_exceeds_ancestor	20.8000	0.8273	61.6774	56.3743	67.0449	6.3000	0.3958	49.5936	43.4866	55.7006	4.5000	0.4773	75.0465	59.4463	90.6467	3.7000	0.3958	69.7265	55.1067	84.3463	1.4000	0.2667	31.3432	19.6417	43.0447	6.6000	0.6700	59.7828	47.8880	71.6776
L0b	4	low	ci_exceeds_ancestor	20.7500	2.3585	61.5129	46.5836	76.9664	6.5000	0.8660	51.1680	37.8060	64.5300	3.0000	0.4082	50.0310	36.6866	63.3754	2.7500	1.1815	51.8237	8.1853	95.4622	2.7500	0.6292	61.5670	33.9595	89.1745	7.5000	0.6455	67.9350	56.4750	79.3950
R22'1b	63	low	ci_exceeds_ancestor	20.7302	0.2698	61.4477	59.7116	63.1906	4.8730	0.2595	38.3604	34.3569	42.3639	4.6984	0.1578	78.3554	73.1972	83.5136	4.0794	0.1400	76.8756	71.7030	82.0482	0.9683	0.1108	21.6773	16.8161	26.5384	7.1746	0.1609	64.9876	62.1316	67.8435
M20'114	96	low	ci_exceeds_ancestor	20.4271	0.2765	60.4520	58.6770	62.2343	10.8646	0.1906	85.5260	82.5855	88.4665	2.8750	0.1293	47.9464	43.7196	52.1732	2.2500	0.0948	42.4012	38.8989	45.9036	1.5417	0.1107	34.5148	29.6557	39.3740	5.5312	0.1622	50.1021	47.2226	52.9815
R7	27	low	ci_exceeds_ancestor	20.0370	0.6504	59.1739	55.0239	63.3649	8.3333	0.3736	65.6000	59.8352	71.3648	3.1111	0.1541	51.8840	46.8475	56.9205	3.0000	0.1601	56.5350	50.6205	62.4495	1.5556	0.1445	34.8258	28.4832	41.1684	5.6667	0.2615	51.3287	46.6863	55.9710
M42b2'3	1	no_ci		20.0000		59.0528			6.0000		47.2320			5.0000		83.3850			5.0000		94.2250			2.0000		44.7760			9.0000		81.5220		
L0f1b'c	1	no_ci		20.0000		59.0528			5.0000		39.3600			7.0000		116.7390			7.0000		131.9150			4.0000		89.5520			12.0000		108.6960		
N	25246	high		19.9536	0.0332	58.9010	58.6885	59.1136	6.7622	0.0181	53.2322	52.9535	53.5109	4.2920	0.0106	71.5771	71.2302	71.9240	4.3450	0.0115	81.8824	81.4568	82.3080	1.5093	0.0079	33.7895	33.4423	34.1367	6.9077	0.0152	62.5704	62.3003	62.8405
M2'46	154	low	ci_exceeds_ancestor	19.9481	0.2793	58.8829	57.0971	60.6763	6.3247	0.1050	49.7878	48.1678	51.4079	3.7078	0.0939	61.8349	58.7648	64.9049	3.8312	0.1066	72.1984	68.2620	76.1348	2.4416	0.1001	54.6616	50.2703	59.0530	7.6558	0.1649	69.3466	66.4189	72.2744
U2	291	low	ci_exceeds_ancestor	19.9038	0.2059	58.7382	57.4213	60.0592	8.3918	0.1499	66.0599	63.7476	68.3722	3.7938	0.0786	63.2694	60.6996	65.8393	4.3814	0.0867	82.5683	79.3651	85.7714	2.1375	0.0502	47.8534	45.6514	50.0553	8.1031	0.1257	73.3978	71.1666	75.6290
N10a'c'd	40	low	ci_exceeds_ancestor	19.8750	0.5853	58.6441	54.9125	62.4090	7.8000	0.1609	61.4016	58.9186	63.8846	1.5250	0.2148	25.4324	18.4114	32.4535	2.1250	0.1967	40.0456	32.7792	47.3120	4.2000	0.1441	94.0296	87.7057	100.3535	6.9000	0.3178	62.5002	56.8573	68.1431
L2a5^	9	low	ci_exceeds_ancestor	19.7778	0.8127	58.3265	53.1582	63.5593	4.8889	0.5122	38.4853	30.5826	46.3881	2.2222	0.3239	37.0600	26.4713	47.6487	2.7778	0.3643	52.3472	38.8913	65.8032	1.7778	0.4938	39.8009	18.1332	61.4686	6.4444	0.5300	58.3738	48.9649	67.7826
L0f2	4	low		19.7500	2.1747	58.2359	44.5640	72.3695	6.7500	0.6292	53.1360	43.4287	62.8433	2.0000	0.8165	33.3540	6.6652	60.0428	2.0000	0.8165	37.6900	7.5317	67.8483	2.2500	0.7500	50.3730	17.4626	83.2834	4.7500	1.4361	43.0255	17.5287	68.5223
L0a'g'l'm	299	high		19.7391	0.2513	58.2004	56.5959	59.8110	7.3746	0.1378	58.0527	55.9265	60.1789	4.1304	0.0765	68.8833	66.3816	71.3849	4.1070	0.0758	77.3969	74.5954	80.1983	2.5552	0.0618	57.2055	54.4955	59.9154	7.8194	0.0916	70.8281	69.2012	72.4550
L2b'c	184	high		19.7337	0.4988	58.1826	55.0041	61.3855	4.9185	0.2331	38.7183	35.1215	42.3150	2.5707	0.1488	42.8708	38.0085	47.7331	2.5163	0.1504	47.4198	41.8635	52.9760	1.6739	0.0646	37.4756	34.6417	40.3094	6.1630	0.1943	55.8248	52.3754	59.2743
N1	384	low	ci_exceeds_ancestor	19.4766	0.1568	57.3442	56.3440	58.3468	5.7214	0.1085	45.0385	43.3645	46.7125	3.6979	0.0649	61.6702	59.5496	63.7907	2.8073	0.0708	52.9034	50.2874	55.5194	3.4349	0.0757	76.9004	73.5795	80.2214	7.4688	0.1017	67.6519	65.8461	69.4578
L0d2c^	17	low	ci_exceeds_ancestor	19.4706	0.4706	57.3247	54.3313	60.3400	7.5882	0.2852	59.7346	55.3349	64.1343	1.5294	0.2443	25.5060	17.5202	33.4918	1.4706	0.2121	27.7132	19.8794	35.5471	1.0000	0.2425	22.3880	11.7454	33.0306	3.7647	0.2353	34.1007	29.9234	38.2780
M32	45	low	ci_exceeds_ancestor	19.4444	0.3446	57.2396	55.0459	59.4449	7.2222	0.2007	56.8533	53.7563	59.9504	5.0222	0.1210	83.7556	79.8013	87.7099	3.1111	0.0793	58.6289	55.7006	61.5571	1.8222	0.0969	40.7959	36.5455	45.0464	7.8889	0.1464	71.4576	68.8582	74.0569
M76^	33	low	ci_exceeds_ancestor	19.3636	0.3864	56.9765	54.5193	59.4484	5.2424	0.1445	41.2684	39.0383	43.4984	6.1212	0.1359	102.0835	97.6399	106.5270	6.8182	0.1473	128.4886	123.0483	133.9290	0.8485	0.1576	18.9959	12.0785	25.9133	9.4848	0.2000	85.9138	82.3629	89.4646
M75'110	17	low	ci_exceeds_ancestor	19.3529	0.6356	56.9417	52.9078	61.0155	6.0000	0.2712	47.2320	43.0482	51.4158	2.2353	0.2016	37.2780	30.6871	43.8689	2.9412	0.2344	55.4265	46.7696	64.0833	1.0588	0.2496	23.7049	12.7538	34.6561	4.6471	0.6239	42.0931	31.0162	53.1699
L2a	677	high		19.1078	0.1100	56.1448	55.4449	56.8459	9.3131	0.0797	73.3131	72.0833	74.5429	3.6824	0.0398	61.4118	60.1092	62.7143	4.1049	0.0566	77.3564	75.2647	79.4480	2.4535	0.0280	54.9283	53.7014	56.1552	7.3855	0.0694	66.8981	65.6659	68.1302
L1c1a1'3	16	low	ci_exceeds_ancestor	19.0625	1.1309	55.9976	48.8664	63.2566	5.0625	0.5202	39.8520	31.8263	47.8777	6.3750	0.2720	106.3159	97.4266	115.2052	6.0000	0.2236	113.0700	104.8108	121.3292	2.3750	0.2213	53.1715	43.4623	62.8807	9.8750	0.5234	89.4477	80.1553	98.7402
R14^^	2	very_low	ci_exceeds_ancestor	19.0000	0.0000	55.7947	55.7947	55.7947	5.0000	0.0000	39.3600	39.3600	39.3600	4.0000	0.0000	66.7080	66.7080	66.7080	4.0000	0.0000	75.3800	75.3800	75.3800	3.0000	0.0000	67.1640	67.1640	67.1640	9.0000	0.0000	81.5220	81.5220	81.5220
P7a	1	no_ci		19.0000		55.7947			6.0000		47.2320			3.0000		50.0310			3.0000		56.5350			1.0000		22.3880			5.0000		45.2900		
M58	2	very_low	ci_exceeds_ancestor	19.0000	0.0000	55.7947	55.7947	55.7947	5.0000	0.0000	39.3600	39.3600	39.3600	3.0000	0.0000	50.0310	50.0310	50.0310	4.0000	0.0000	75.3800	75.3800	75.3800	2.0000	0.0000	44.7760	44.7760	44.7760	6.0000	0.0000	54.3480	54.3480	54.3480
L1c6	2	very_low		19.0000	1.0000	55.7947	49.4853	62.2042	6.0000	2.0000	47.2320	16.3738	78.0902	5.0000	1.0000	83.3850	50.6981	116.0719	5.0000	1.0000	94.2250	57.2888	131.1612	0.0000	0.0000	0.0000	0.0000	0.0000	6.5000	0.5000	58.8770	50.0002	67.7538
R6'7	46	low	ci_exceeds_ancestor	18.9783	0.6344	55.7241	51.7104	59.7782	6.8478	0.3557	53.9061	48.4176	59.3946	4.1957	0.1720	69.9709	64.3487	75.5931	4.0435	0.1673	76.1993	70.0212	82.3775	1.6087	0.1877	36.0155	27.7775	44.2534	6.4348	0.2594	58.2863	53.6807	62.8919
JT	2094	low	ci_exceeds_ancestor	18.9747	0.0741	55.7125	55.2417	56.1840	5.4484	0.0591	42.8900	41.9783	43.8017	3.1905	0.0309	53.2087	52.1972	54.2202	2.6146	0.0352	49.2724	47.9708	50.5739	1.7192	0.0262	38.4894	37.3381	39.6407	7.1246	0.0623	64.5350	63.4297	65.6403
N+8701	25210	high		18.9708	0.0331	55.6998	55.4892	55.9105	6.7639	0.0181	53.2451	52.9661	53.5242	4.2954	0.0106	71.6337	71.2868	71.9806	4.3486	0.0115	81.9492	81.5236	82.3748	1.5084	0.0079	33.7712	33.4235	34.1188	6.9117	0.0152	62.6066	62.3364	62.8767
M26'73	51	low	ci_exceeds_ancestor	18.9020	0.3245	55.4766	53.4196	57.5443	5.7843	0.3007	45.5341	40.8940	50.1742	1.8235	0.2090	30.4110	23.5787	37.2433	1.8824	0.2199	35.4729	27.3511	43.5948	1.2157	0.1262	27.2168	21.6780	32.7555	3.3725	0.2342	30.5485	26.3898	34.7073
