haplogroup	n_samples	confidence	flag	complete_rho	complete_se	complete_age_kya	complete_ci_lo_kya	complete_ci_hi_kya	synonymous_rho	synonymous_se	synonymous_age_kya	synonymous_ci_lo_kya	synonymous_ci_hi_kya	hvsi_full_rho	hvsi_full_se	hvsi_full_age_kya	hvsi_full_ci_lo_kya	hvsi_full_ci_hi_kya	hvsi_trans_rho	hvsi_trans_se	hvsi_trans_age_kya	hvsi_trans_ci_lo_kya	hvsi_trans_ci_hi_kya	hvsii_rho	hvsii_se	hvsii_age_kya	hvsii_ci_lo_kya	hvsii_ci_hi_kya	control_rho	control_se	control_age_kya	control_ci_lo_kya	control_ci_hi_kya
F3a1d1	10	medium		0.7000	0.2134	1.8050	0.7235	2.8944	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.1000	1.6677	-1.6010	4.9364	0.1000	0.1000	1.8845	-1.8091	5.5781	0.1000	0.1000	2.2388	-2.1492	6.6268	1.2000	0.2000	10.8696	7.3189	14.4203
P4a1a	10	medium	negative_lower_ci	0.7000	0.3958	1.8050	-0.1941	3.8316	0.2000	0.1333	1.5744	-0.4828	3.6316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2000	0.1333	4.4776	-1.3731	10.3283	1.2000	0.1333	10.8696	8.5024	13.2368
F2b1d	13	medium	negative_lower_ci	0.6923	0.3649	1.7850	-0.0585	3.6520	0.1538	0.1042	1.2111	-0.3959	2.8181	0.2308	0.1662	3.8485	-1.5831	9.2802	0.2308	0.1662	4.3488	-1.7889	10.4866	0.0000	0.0000	0.0000	0.0000	0.0000	1.2308	0.1662	11.1483	8.1981	14.0985
M3b	6	low		0.6667	0.2108	1.7185	0.6509	2.7939	0.6667	0.2108	5.2480	1.9953	8.5007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
L3d1a3a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	7.4627	-7.1642	22.0895	0.6667	0.3333	6.0387	0.1208	11.9566
M74b3a2a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.6667	0.3333	5.2480	0.1050	10.3910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
H33a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.3333	0.3333	2.6240	-2.5190	7.7670	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	9.0580	9.0580	9.0580
Z1a3a1	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	6.0387	0.1208	11.9566
H1dp	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
H45a	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	14.9253	0.2985	29.5522	0.6667	0.3333	6.0387	0.1208	11.9566
T1a1m1	6	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.1667	0.1667	2.7795	-2.6683	8.2273	0.0000	0.0000	0.0000	0.0000	0.0000	0.1667	0.1667	3.7313	-3.5821	11.0447	0.3333	0.2108	3.0193	-0.7235	6.7621
M28a10b2a	6	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.3333	0.2108	2.6240	-0.6287	5.8767	0.1667	0.1667	2.7795	-2.6683	8.2273	0.1667	0.1667	3.1408	-3.0152	9.2969	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.2108	3.0193	-0.7235	6.7621
Z1a3b	3	low		0.6667	0.3333	1.7185	0.0342	3.4224	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.3333	5.5590	-5.3366	16.4546	0.3333	0.3333	6.2817	-6.0304	18.5937	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.3333	6.0387	0.1208	11.9566
