haplogroup	region	n_samples	rho	se	age_years	ci95_lower_years	ci95_upper_years	age_kya	ci95_lower_kya	ci95_upper_kya	confidence	flag
A	complete	2335	8.081799	0.070279	22129.0	21729.8	22529.0	22.129	21.7298	22.5290	high	
A	synonymous	2335	1.842398	0.028588	14503.4	14062.3	14944.4	14.5034	14.0623	14.9444	high	
A	hvsi_full	2335	1.659529	0.027966	27676.0	26761.8	28590.1	27.676	26.7618	28.5901	high	
A	hvsi_trans	2335	1.578587	0.027479	29748.5	28733.5	30763.5	29.7485	28.7335	30.7635	high	
A	hvsii	2335	1.473233	0.02553	32982.7	31862.5	34103.0	32.9827	31.8625	34.1030	high	
A	control	2335	4.2	0.041609	38043.6	37304.9	38782.3	38.0436	37.3049	38.7823	high	
A+16092	complete	15	1.933333	0.344572	5039.6	3259.8	6839.6	5.0396	3.2598	6.8396	medium	
A+16092	synonymous	15	0.266667	0.118187	2099.2	275.7	3922.7	2.0992	0.2757	3.9227	medium	
A+16092	hvsi_full	15	0.333333	0.159364	5559.0	349.9	10768.1	5.559	0.3499	10.7681	medium	
A+16092	hvsi_trans	15	0.333333	0.159364	6281.7	395.4	12168.0	6.2817	0.3954	12.1680	medium	
A+16092	hvsii	15	0.533333	0.191899	11940.3	3519.6	20360.9	11.9403	3.5196	20.3609	medium	
A+16092	control	15	1.933333	0.315725	17512.1	11906.8	23117.4	17.5121	11.9068	23.1174	medium	
A+16092+150	complete	3	1.333333	0.333333	3457.4	1753.1	5181.0	3.4574	1.7531	5.1810	low	
A+16092+150	synonymous	3	0.333333	0.333333	2624.0	-2519.0	7767.0	2.624	-2.5190	7.7670	low	negative_lower_ci
A+16092+150	hvsi_full	3	0.333333	0.333333	5559.0	-5336.6	16454.6	5.559	-5.3366	16.4546	low	negative_lower_ci
A+16092+150	hvsi_trans	3	1.0	0.57735	18845.0	-2480.1	40170.1	18.845	-2.4801	40.1701	low	negative_lower_ci
A+16092+150	hvsii	3	0.666667	0.333333	14925.3	298.5	29552.2	14.9253	0.2985	29.5522	low	
A+16092+150	control	3	2.666667	0.333333	24154.7	18236.8	30072.6	24.1547	18.2368	30.0726	low	
A+16092+150+152	complete	0							NA	NA	no_ci	no_descendants
A+16092+150+152	synonymous	0							NA	NA	no_ci	no_descendants
A+16092+150+152	hvsi_full	0							NA	NA	no_ci	no_descendants
A+16092+150+152	hvsi_trans	0							NA	NA	no_ci	no_descendants
A+16092+150+152	hvsii	0							NA	NA	no_ci	no_descendants
A+16092+150+152	control	0							NA	NA	no_ci	no_descendants
A+3394	complete	2	4.0	2.0	10610.1	205.1	21660.1	10.6101	0.2051	21.6601	very_low	
A+3394	synonymous	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A+3394	hvsi_full	2	0.5	0.5	8338.5	-8005.0	24682.0	8.3385	-8.0050	24.6820	very_low	negative_lower_ci
A+3394	hvsi_trans	2	0.5	0.5	9422.5	-9045.6	27890.6	9.4225	-9.0456	27.8906	very_low	negative_lower_ci
A+3394	hvsii	2	1.5	0.5	33582.0	11641.8	55522.2	33.582	11.6418	55.5222	very_low	
A+3394	control	2	3.0	1.0	27174.0	9420.3	44927.7	27.174	9.4203	44.9277	very_low	
A1	complete	20	4.05	0.303272	10747.1	9124.9	12384.2	10.7471	9.1249	12.3842	medium	
A1	synonymous	20	1.9	0.190567	14956.8	12016.5	17897.1	14.9568	12.0165	17.8971	medium	
A1	hvsi_full	20	1.05	0.135239	17510.9	13090.3	21931.4	17.5109	13.0903	21.9314	medium	
A1	hvsi_trans	20	1.0	0.125656	18845.0	14203.7	23486.3	18.845	14.2037	23.4863	medium	
A1	hvsii	20	0.2	0.091766	4477.6	450.9	8504.3	4.4776	0.4509	8.5043	medium	
A1	control	20	2.3	0.146898	20833.4	18225.4	23441.4	20.8334	18.2254	23.4414	medium	
A10	complete	6	3.5	0.562731	9245.6	6273.4	12269.5	9.2456	6.2734	12.2695	low	
A10	synonymous	6	0.333333	0.210819	2624.0	-628.7	5876.7	2.624	-0.6287	5.8767	low	negative_lower_ci
A10	hvsi_full	6	0.666667	0.333333	11118.0	222.4	22013.6	11.118	0.2224	22.0136	low	
A10	hvsi_trans	6	0.666667	0.333333	12563.3	251.3	24875.4	12.5633	0.2513	24.8754	low	
A10	hvsii	6	0.5	0.341565	11194.0	-3794.0	26182.0	11.194	-3.7940	26.1820	low	negative_lower_ci
A10	control	6	2.5	0.428174	22645.0	15043.3	30246.7	22.645	15.0433	30.2467	low	
A10a	complete	1	0.0		0.0			0.0	NA	NA	no_ci	
A10a	synonymous	1	0.0		0.0			0.0	NA	NA	no_ci	
A10a	hvsi_full	1	0.0		0.0			0.0	NA	NA	no_ci	
A10a	hvsi_trans	1	0.0		0.0			0.0	NA	NA	no_ci	
A10a	hvsii	1	0.0		0.0			0.0	NA	NA	no_ci	
A10a	control	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b	complete	4	3.0	0.408248	7891.7	5747.5	10063.5	7.8917	5.7475	10.0635	low	
A10b	synonymous	4	0.25	0.25	1968.0	-1889.3	5825.3	1.968	-1.8893	5.8253	low	negative_lower_ci
A10b	hvsi_full	4	1.0	0.408248	16677.0	3332.6	30021.4	16.677	3.3326	30.0214	low	
A10b	hvsi_trans	4	1.0	0.408248	18845.0	3765.9	33924.1	18.845	3.7659	33.9241	low	
A10b	hvsii	4	0.25	0.25	5597.0	-5373.1	16567.1	5.597	-5.3731	16.5671	low	negative_lower_ci
A10b	control	4	2.0	0.408248	18116.0	10868.1	25363.9	18.116	10.8681	25.3639	low	
A10b1	complete	2	1.5	0.5	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	very_low	
A10b1	synonymous	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A10b1	hvsi_full	2	0.5	0.5	8338.5	-8005.0	24682.0	8.3385	-8.0050	24.6820	very_low	negative_lower_ci
A10b1	hvsi_trans	2	0.5	0.5	9422.5	-9045.6	27890.6	9.4225	-9.0456	27.8906	very_low	negative_lower_ci
A10b1	hvsii	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A10b1	control	2	1.5	0.5	13587.0	4710.2	22463.8	13.587	4.7102	22.4638	very_low	
A10b1a	complete	1	1.0		2585.4			2.5854	NA	NA	no_ci	
A10b1a	synonymous	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a	hvsi_full	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a	hvsi_trans	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a	hvsii	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a	control	1	1.0		9058.0			9.058	NA	NA	no_ci	
A10b1a1	complete	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a1	synonymous	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a1	hvsi_full	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a1	hvsi_trans	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a1	hvsii	1	0.0		0.0			0.0	NA	NA	no_ci	
A10b1a1	control	1	1.0		9058.0			9.058	NA	NA	no_ci	
A10b3	complete	0							NA	NA	no_ci	no_descendants
A10b3	synonymous	0							NA	NA	no_ci	no_descendants
A10b3	hvsi_full	0							NA	NA	no_ci	no_descendants
A10b3	hvsi_trans	0							NA	NA	no_ci	no_descendants
A10b3	hvsii	0							NA	NA	no_ci	no_descendants
A10b3	control	0							NA	NA	no_ci	no_descendants
A10b4	complete	0							NA	NA	no_ci	no_descendants
A10b4	synonymous	0							NA	NA	no_ci	no_descendants
A10b4	hvsi_full	0							NA	NA	no_ci	no_descendants
A10b4	hvsi_trans	0							NA	NA	no_ci	no_descendants
A10b4	hvsii	0							NA	NA	no_ci	no_descendants
A10b4	control	0							NA	NA	no_ci	no_descendants
A11	complete	91	4.32967	0.257277	11515.5	10132.4	12909.2	11.5155	10.1324	12.9092	high	
A11	synonymous	91	0.923077	0.088717	7266.5	5897.6	8635.3	7.2665	5.8976	8.6353	high	
A11	hvsi_full	91	0.956044	0.092334	15943.9	12925.8	18962.1	15.9439	12.9258	18.9621	high	
A11	hvsi_trans	91	0.945055	0.091604	17809.6	14426.0	21193.1	17.8096	14.4260	21.1931	high	
A11	hvsii	91	0.274725	0.054282	6150.5	3768.6	8532.5	6.1505	3.7686	8.5325	high	
A11	control	91	1.703297	0.132132	15428.5	13082.6	17774.3	15.4285	13.0826	17.7743	high	
A11'48	complete	95	6.221053	0.252281	16796.3	15401.8	18200.4	16.7963	15.4018	18.2004	high	
A11'48	synonymous	95	1.873684	0.088842	14749.6	13378.9	16120.4	14.7496	13.3789	16.1204	high	
A11'48	hvsi_full	95	1.905263	0.092343	31774.1	28755.7	34792.5	31.7741	28.7557	34.7925	high	
A11'48	hvsi_trans	95	1.894737	0.091612	35706.3	32322.5	39090.1	35.7063	32.3225	39.0901	high	
A11'48	hvsii	95	0.263158	0.052295	5891.6	3596.9	8186.3	5.8916	3.5969	8.1863	high	
A11'48	control	95	2.652632	0.130267	24027.5	21714.8	26340.3	24.0275	21.7148	26.3403	high	
A11a	complete	32	3.625	0.310274	9585.7	7937.1	11249.9	9.5857	7.9371	11.2499	medium	
A11a	synonymous	32	0.3125	0.094586	2460.0	1000.6	3919.4	2.46	1.0006	3.9194	medium	
A11a	hvsi_full	32	1.40625	0.161016	23452.0	18188.9	28715.1	23.452	18.1889	28.7151	medium	
A11a	hvsi_trans	32	1.40625	0.161016	26500.8	20553.5	32448.1	26.5008	20.5535	32.4481	medium	
A11a	hvsii	32	0.3125	0.104703	6996.2	2401.8	11590.7	6.9962	2.4018	11.5907	medium	
A11a	control	32	2.40625	0.205074	21795.8	18155.0	25436.6	21.7958	18.1550	25.4366	medium	
A11a1	complete	2	1.5	0.5	3895.3	1338.7	6495.1	3.8953	1.3387	6.4951	very_low	
A11a1	synonymous	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A11a1	hvsi_full	2	1.0	0.0	16677.0	16677.0	16677.0	16.677	16.6770	16.6770	very_low	
A11a1	hvsi_trans	2	1.0	0.0	18845.0	18845.0	18845.0	18.845	18.8450	18.8450	very_low	
A11a1	hvsii	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A11a1	control	2	2.0	0.0	18116.0	18116.0	18116.0	18.116	18.1160	18.1160	very_low	
A11a2	complete	1	2.0		5216.4			5.2164	NA	NA	no_ci	
A11a2	synonymous	1	0.0		0.0			0.0	NA	NA	no_ci	
A11a2	hvsi_full	1	2.0		33354.0			33.354	NA	NA	no_ci	
A11a2	hvsi_trans	1	2.0		37690.0			37.69	NA	NA	no_ci	
A11a2	hvsii	1	0.0		0.0			0.0	NA	NA	no_ci	
A11a2	control	1	2.0		18116.0			18.116	NA	NA	no_ci	
A11a3	complete	3	3.333333	1.333333	8793.1	1856.9	16021.3	8.7931	1.8569	16.0213	low	ci_exceeds_ancestor
A11a3	synonymous	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	ci_exceeds_ancestor
A11a3	hvsi_full	3	1.333333	0.333333	22236.0	11340.4	33131.6	22.236	11.3404	33.1316	low	ci_exceeds_ancestor
A11a3	hvsi_trans	3	1.333333	0.333333	25126.7	12814.6	37438.7	25.1267	12.8146	37.4387	low	ci_exceeds_ancestor
A11a3	hvsii	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	ci_exceeds_ancestor
A11a3	control	3	1.333333	0.333333	12077.3	6159.4	17995.2	12.0773	6.1594	17.9952	low	ci_exceeds_ancestor
A11a3a	complete	2	2.0	0.0	5216.4	5216.4	5216.4	5.2164	5.2164	5.2164	very_low	ci_exceeds_ancestor
A11a3a	synonymous	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	ci_exceeds_ancestor
A11a3a	hvsi_full	2	1.0	0.0	16677.0	16677.0	16677.0	16.677	16.6770	16.6770	very_low	ci_exceeds_ancestor
A11a3a	hvsi_trans	2	1.0	0.0	18845.0	18845.0	18845.0	18.845	18.8450	18.8450	very_low	ci_exceeds_ancestor
A11a3a	hvsii	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	ci_exceeds_ancestor
A11a3a	control	2	1.0	0.0	9058.0	9058.0	9058.0	9.058	9.0580	9.0580	very_low	ci_exceeds_ancestor
A11a3b	complete	1	5.0		13370.5			13.3705	NA	NA	no_ci	
A11a3b	synonymous	1	0.0		0.0			0.0	NA	NA	no_ci	
A11a3b	hvsi_full	1	2.0		33354.0			33.354	NA	NA	no_ci	
A11a3b	hvsi_trans	1	2.0		37690.0			37.69	NA	NA	no_ci	
A11a3b	hvsii	1	0.0		0.0			0.0	NA	NA	no_ci	
A11a3b	control	1	2.0		18116.0			18.116	NA	NA	no_ci	
A11a4	complete	0							NA	NA	no_ci	no_descendants
A11a4	synonymous	0							NA	NA	no_ci	no_descendants
A11a4	hvsi_full	0							NA	NA	no_ci	no_descendants
A11a4	hvsi_trans	0							NA	NA	no_ci	no_descendants
A11a4	hvsii	0							NA	NA	no_ci	no_descendants
A11a4	control	0							NA	NA	no_ci	no_descendants
A11a8	complete	1	1.0		2585.4			2.5854	NA	NA	no_ci	
A11a8	synonymous	1	0.0		0.0			0.0	NA	NA	no_ci	
A11a8	hvsi_full	1	0.0		0.0			0.0	NA	NA	no_ci	
A11a8	hvsi_trans	1	0.0		0.0			0.0	NA	NA	no_ci	
A11a8	hvsii	1	0.0		0.0			0.0	NA	NA	no_ci	
A11a8	control	1	1.0		9058.0			9.058	NA	NA	no_ci	
A11a9	complete	3	2.333333	1.452966	6103.3	-1312.0	13874.9	6.1033	-1.3120	13.8749	low	negative_lower_ci;ci_exceeds_ancestor
A11a9	synonymous	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	ci_exceeds_ancestor
A11a9	hvsi_full	3	1.0	0.57735	16677.0	-2194.8	35548.8	16.677	-2.1948	35.5488	low	negative_lower_ci;ci_exceeds_ancestor
A11a9	hvsi_trans	3	1.0	0.57735	18845.0	-2480.1	40170.1	18.845	-2.4801	40.1701	low	negative_lower_ci;ci_exceeds_ancestor
A11a9	hvsii	3	0.333333	0.333333	7462.7	-7164.2	22089.5	7.4627	-7.1642	22.0895	low	negative_lower_ci;ci_exceeds_ancestor
A11a9	control	3	2.333333	0.881917	21135.3	5478.1	36792.6	21.1353	5.4781	36.7926	low	ci_exceeds_ancestor
A11a9b	complete	0							NA	NA	no_ci	no_descendants
A11a9b	synonymous	0							NA	NA	no_ci	no_descendants
A11a9b	hvsi_full	0							NA	NA	no_ci	no_descendants
A11a9b	hvsi_trans	0							NA	NA	no_ci	no_descendants
A11a9b	hvsii	0							NA	NA	no_ci	no_descendants
A11a9b	control	0							NA	NA	no_ci	no_descendants
A11b	complete	11	2.818182	0.552978	7402.0	4513.1	10341.9	7.402	4.5131	10.3419	medium	
A11b	synonymous	11	0.272727	0.140836	2146.9	-26.1	4319.9	2.1469	-0.0261	4.3199	medium	negative_lower_ci
A11b	hvsi_full	11	0.272727	0.140836	4548.3	-55.2	9151.8	4.5483	-0.0552	9.1518	medium	negative_lower_ci
A11b	hvsi_trans	11	0.272727	0.140836	5139.5	-62.4	10341.5	5.1395	-0.0624	10.3415	medium	negative_lower_ci
A11b	hvsii	11	0.454545	0.207305	10176.4	1079.7	19273.0	10.1764	1.0797	19.2730	medium	
A11b	control	11	0.727273	0.272727	6587.6	1745.7	11429.5	6.5876	1.7457	11.4295	medium	
A11b1	complete	5	1.6	0.678233	4158.6	695.2	7701.2	4.1586	0.6952	7.7012	low	
A11b1	synonymous	5	0.4	0.244949	3148.8	-630.5	6928.1	3.1488	-0.6305	6.9281	low	negative_lower_ci
A11b1	hvsi_full	5	0.4	0.244949	6670.8	-1335.8	14677.4	6.6708	-1.3358	14.6774	low	negative_lower_ci
A11b1	hvsi_trans	5	0.4	0.244949	7538.0	-1509.5	16585.5	7.538	-1.5095	16.5855	low	negative_lower_ci
A11b1	hvsii	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	
A11b1	control	5	0.4	0.244949	3623.2	-725.5	7971.9	3.6232	-0.7255	7.9719	low	negative_lower_ci
A11b2	complete	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A11b2	synonymous	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A11b2	hvsi_full	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A11b2	hvsi_trans	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A11b2	hvsii	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A11b2	control	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A11b^	complete	19	4.052632	0.40806	10754.3	8574.9	12960.5	10.7543	8.5749	12.9605	low	ci_exceeds_ancestor
A11b^	synonymous	19	0.684211	0.203085	5386.1	2252.7	8519.5	5.3861	2.2527	8.5195	low	ci_exceeds_ancestor
A11b^	hvsi_full	19	0.315789	0.109561	5266.4	1685.2	8847.6	5.2664	1.6852	8.8476	low	ci_exceeds_ancestor
A11b^	hvsi_trans	19	0.263158	0.103791	4959.2	1125.6	8792.9	4.9592	1.1256	8.7929	low	ci_exceeds_ancestor
A11b^	hvsii	19	0.263158	0.128921	5891.6	234.5	11548.7	5.8916	0.2345	11.5487	low	ci_exceeds_ancestor
A11b^	control	19	1.157895	0.232746	10488.2	6356.1	14620.3	10.4882	6.3561	14.6203	low	ci_exceeds_ancestor
A12	complete	8	5.375	0.375	14416.2	12372.0	16482.2	14.4162	12.3720	16.4822	low	
A12	synonymous	8	0.875	0.226582	6888.0	3392.0	10384.0	6.888	3.3920	10.3840	low	
A12	hvsi_full	8	1.625	0.263052	27100.1	18501.8	35698.5	27.1001	18.5018	35.6985	low	
A12	hvsi_trans	8	1.75	0.25	32978.8	23744.7	42212.8	32.9787	23.7447	42.2128	low	
A12	hvsii	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	
A12	control	8	3.375	0.323899	30570.8	24820.3	36321.2	30.5708	24.8203	36.3212	low	
A12a	complete	6	1.833333	0.307318	4774.8	3189.2	6376.6	4.7748	3.1892	6.3766	low	
A12a	synonymous	6	1.0	0.258199	7872.0	3888.2	11855.8	7.872	3.8882	11.8558	low	
A12a	hvsi_full	6	0.5	0.341565	8338.5	-2826.2	19503.2	8.3385	-2.8262	19.5032	low	negative_lower_ci
A12a	hvsi_trans	6	0.666667	0.333333	12563.3	251.3	24875.4	12.5633	0.2513	24.8754	low	
A12a	hvsii	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	
A12a	control	6	1.5	0.428174	13587.0	5985.3	21188.7	13.587	5.9853	21.1887	low	
A12a1	complete	3	0.333333	0.333333	856.7	-817.5	2550.7	0.8567	-0.8175	2.5507	low	negative_lower_ci
A12a1	synonymous	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	
A12a1	hvsi_full	3	0.333333	0.333333	5559.0	-5336.6	16454.6	5.559	-5.3366	16.4546	low	negative_lower_ci
A12a1	hvsi_trans	3	0.666667	0.333333	12563.3	251.3	24875.4	12.5633	0.2513	24.8754	low	
A12a1	hvsii	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	
A12a1	control	3	1.666667	0.333333	15096.7	9178.8	21014.6	15.0967	9.1788	21.0146	low	
A12a2	complete	0							NA	NA	no_ci	no_descendants
A12a2	synonymous	0							NA	NA	no_ci	no_descendants
A12a2	hvsi_full	0							NA	NA	no_ci	no_descendants
A12a2	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12a2	hvsii	0							NA	NA	no_ci	no_descendants
A12a2	control	0							NA	NA	no_ci	no_descendants
A12a2b	complete	0							NA	NA	no_ci	no_descendants
A12a2b	synonymous	0							NA	NA	no_ci	no_descendants
A12a2b	hvsi_full	0							NA	NA	no_ci	no_descendants
A12a2b	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12a2b	hvsii	0							NA	NA	no_ci	no_descendants
A12a2b	control	0							NA	NA	no_ci	no_descendants
A12a2b1	complete	0							NA	NA	no_ci	no_descendants
A12a2b1	synonymous	0							NA	NA	no_ci	no_descendants
A12a2b1	hvsi_full	0							NA	NA	no_ci	no_descendants
A12a2b1	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12a2b1	hvsii	0							NA	NA	no_ci	no_descendants
A12a2b1	control	0							NA	NA	no_ci	no_descendants
A12a2b1+16188	complete	0							NA	NA	no_ci	no_descendants
A12a2b1+16188	synonymous	0							NA	NA	no_ci	no_descendants
A12a2b1+16188	hvsi_full	0							NA	NA	no_ci	no_descendants
A12a2b1+16188	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12a2b1+16188	hvsii	0							NA	NA	no_ci	no_descendants
A12a2b1+16188	control	0							NA	NA	no_ci	no_descendants
A12a2b1+16188+16189	complete	0							NA	NA	no_ci	no_descendants
A12a2b1+16188+16189	synonymous	0							NA	NA	no_ci	no_descendants
A12a2b1+16188+16189	hvsi_full	0							NA	NA	no_ci	no_descendants
A12a2b1+16188+16189	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12a2b1+16188+16189	hvsii	0							NA	NA	no_ci	no_descendants
A12a2b1+16188+16189	control	0							NA	NA	no_ci	no_descendants
A12a2b1a	complete	0							NA	NA	no_ci	no_descendants
A12a2b1a	synonymous	0							NA	NA	no_ci	no_descendants
A12a2b1a	hvsi_full	0							NA	NA	no_ci	no_descendants
A12a2b1a	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12a2b1a	hvsii	0							NA	NA	no_ci	no_descendants
A12a2b1a	control	0							NA	NA	no_ci	no_descendants
A12a2b1a+16188	complete	0							NA	NA	no_ci	no_descendants
A12a2b1a+16188	synonymous	0							NA	NA	no_ci	no_descendants
A12a2b1a+16188	hvsi_full	0							NA	NA	no_ci	no_descendants
A12a2b1a+16188	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12a2b1a+16188	hvsii	0							NA	NA	no_ci	no_descendants
A12a2b1a+16188	control	0							NA	NA	no_ci	no_descendants
A12a2b1a1	complete	0							NA	NA	no_ci	no_descendants
A12a2b1a1	synonymous	0							NA	NA	no_ci	no_descendants
A12a2b1a1	hvsi_full	0							NA	NA	no_ci	no_descendants
A12a2b1a1	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12a2b1a1	hvsii	0							NA	NA	no_ci	no_descendants
A12a2b1a1	control	0							NA	NA	no_ci	no_descendants
A12a3	complete	1	1.0		2585.4			2.5854	NA	NA	no_ci	
A12a3	synonymous	1	1.0		7872.0			7.872	NA	NA	no_ci	
A12a3	hvsi_full	1	0.0		0.0			0.0	NA	NA	no_ci	
A12a3	hvsi_trans	1	0.0		0.0			0.0	NA	NA	no_ci	
A12a3	hvsii	1	0.0		0.0			0.0	NA	NA	no_ci	
A12a3	control	1	0.0		0.0			0.0	NA	NA	no_ci	
A12b	complete	2	2.0	1.0	5216.4	102.5	10500.5	5.2164	0.1025	10.5005	very_low	
A12b	synonymous	2	0.5	0.5	3936.0	-3778.6	11650.6	3.936	-3.7786	11.6506	very_low	negative_lower_ci
A12b	hvsi_full	2	1.0	0.0	16677.0	16677.0	16677.0	16.677	16.6770	16.6770	very_low	
A12b	hvsi_trans	2	1.0	0.0	18845.0	18845.0	18845.0	18.845	18.8450	18.8450	very_low	
A12b	hvsii	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	very_low	
A12b	control	2	2.0	0.0	18116.0	18116.0	18116.0	18.116	18.1160	18.1160	very_low	
A12b2	complete	0							NA	NA	no_ci	no_descendants
A12b2	synonymous	0							NA	NA	no_ci	no_descendants
A12b2	hvsi_full	0							NA	NA	no_ci	no_descendants
A12b2	hvsi_trans	0							NA	NA	no_ci	no_descendants
A12b2	hvsii	0							NA	NA	no_ci	no_descendants
A12b2	control	0							NA	NA	no_ci	no_descendants
A13	complete	88	4.431818	0.202386	11797.0	10706.4	12894.1	11.797	10.7064	12.8941	high	
A13	synonymous	88	0.715909	0.075722	5635.6	4467.3	6804.0	5.6356	4.4673	6.8040	high	
A13	hvsi_full	88	0.965909	0.074854	16108.5	13661.7	18555.2	16.1085	13.6617	18.5552	high	
A13	hvsi_trans	88	0.943182	0.078114	17774.3	14889.0	20659.5	17.7743	14.8890	20.6595	high	
A13	hvsii	88	0.352273	0.056082	7886.7	5425.8	10347.6	7.8867	5.4258	10.3476	high	
A13	control	88	2.386364	0.108942	21615.7	19681.6	23549.8	21.6157	19.6816	23.5498	high	
A13a	complete	13	2.538462	0.183114	6651.5	5693.5	7615.1	6.6515	5.6935	7.6151	medium	
A13a	synonymous	13	0.923077	0.177646	7266.5	4525.5	10007.4	7.2665	4.5255	10.0074	medium	
A13a	hvsi_full	13	0.230769	0.121626	3848.5	-127.0	7824.1	3.8485	-0.1270	7.8241	medium	negative_lower_ci
A13a	hvsi_trans	13	0.153846	0.104154	2899.2	-947.8	6746.3	2.8992	-0.9478	6.7463	medium	negative_lower_ci
A13a	hvsii	13	0.076923	0.076923	1722.2	-1653.3	5097.6	1.7222	-1.6533	5.0976	medium	negative_lower_ci
A13a	control	13	1.384615	0.140442	12541.8	10048.5	15035.2	12.5418	10.0485	15.0352	medium	
A13a1	complete	9	2.333333	0.408248	6103.3	3982.6	8252.1	6.1033	3.9826	8.2521	low	ci_exceeds_ancestor
A13a1	synonymous	9	0.777778	0.222222	6122.7	2694.0	9551.4	6.1227	2.6940	9.5514	low	ci_exceeds_ancestor
A13a1	hvsi_full	9	0.222222	0.146986	3706.0	-1098.5	8510.5	3.706	-1.0985	8.5105	low	negative_lower_ci;ci_exceeds_ancestor
A13a1	hvsi_trans	9	0.222222	0.146986	4187.8	-1241.3	9616.9	4.1878	-1.2413	9.6169	low	negative_lower_ci;ci_exceeds_ancestor
A13a1	hvsii	9	0.111111	0.111111	2487.6	-2388.1	7363.2	2.4876	-2.3881	7.3632	low	negative_lower_ci;ci_exceeds_ancestor
A13a1	control	9	1.333333	0.166667	12077.3	9118.4	15036.3	12.0773	9.1184	15.0363	low	ci_exceeds_ancestor
A13a1b	complete	9	2.333333	0.408248	6103.3	3982.6	8252.1	6.1033	3.9826	8.2521	low	ci_exceeds_ancestor
A13a1b	synonymous	9	0.777778	0.222222	6122.7	2694.0	9551.4	6.1227	2.6940	9.5514	low	ci_exceeds_ancestor
A13a1b	hvsi_full	9	0.222222	0.146986	3706.0	-1098.5	8510.5	3.706	-1.0985	8.5105	low	negative_lower_ci;ci_exceeds_ancestor
A13a1b	hvsi_trans	9	0.222222	0.146986	4187.8	-1241.3	9616.9	4.1878	-1.2413	9.6169	low	negative_lower_ci;ci_exceeds_ancestor
A13a1b	hvsii	9	0.111111	0.111111	2487.6	-2388.1	7363.2	2.4876	-2.3881	7.3632	low	negative_lower_ci;ci_exceeds_ancestor
A13a1b	control	9	1.333333	0.166667	12077.3	9118.4	15036.3	12.0773	9.1184	15.0363	low	ci_exceeds_ancestor
A13a1b1	complete	0							NA	NA	no_ci	no_descendants
A13a1b1	synonymous	0							NA	NA	no_ci	no_descendants
A13a1b1	hvsi_full	0							NA	NA	no_ci	no_descendants
A13a1b1	hvsi_trans	0							NA	NA	no_ci	no_descendants
A13a1b1	hvsii	0							NA	NA	no_ci	no_descendants
A13a1b1	control	0							NA	NA	no_ci	no_descendants
A13a1b2	complete	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	
A13a1b2	synonymous	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0000	low	
