"placement_id","candidate_rank","distal_length","edge_num","like_weight_ratio","likelihood","marginal_like","pendant_length","post_prob"
1,1,0.000672309297744,451,0.0529458940718,-1993.76029309,-1994.37149914,0.00865852840582,0.074842900002
1,2,0.000332551652318,439,0.0529457387891,-1993.76029602,-1994.37188224,0.00865990376091,0.0748142333396
1,3,5.00000250015e-07,440,0.0529456841578,-1993.76029705,-1994.37190864,0.00866002998942,0.0748122582751
1,4,6.59802953489e-06,452,0.0529456823635,-1993.76029708,-1994.37181872,0.00866000693849,0.074818985267
1,5,6.6973729905e-06,454,0.0529447384867,-1993.76031491,-1994.37589521,0.00866331440327,0.0745146077927
1,6,6.22214875081e-06,93,0.0529425648427,-1993.76035597,-1994.42595324,0.00865994997839,0.070876374295
1,7,5.36007782282e-06,453,0.0529419854509,-1993.76036691,-1994.37647109,0.00866001015154,0.0744717082107
1,8,6.46333088988e-06,433,0.0529202050699,-1993.7607784,-1995.04763493,0.0086599873042,0.0380634864994
1,9,8.75235256053e-06,441,0.052894681473,-1993.76126082,-1995.05280515,0.00866004529489,0.0378671975713
1,10,5.34728362803e-06,446,0.0528436675358,-1993.76222573,-1995.05653038,0.00866021502162,0.0377263959179
1,11,5.02316893484e-06,241,0.0526790352778,-1993.76534605,-1994.38379218,0.00866038555046,0.0739284856197
1,12,0.0111135043623,240,0.0526565915507,-1993.76577219,-1995.05518427,0.00866037313431,0.0377772141689
1,13,0.00837757913965,239,0.0526303830985,-1993.76627003,-1995.06377711,0.00866039971456,0.0374539911688
1,14,5.31161241685e-06,455,0.0520517145525,-1993.77732588,-1995.06785262,0.00866180971532,0.0373016579117
1,15,0.00678469502912,252,0.0519027219026,-1993.78019238,-1995.07002203,0.00866203882321,0.0372208231083
1,16,5.30617983568e-06,253,0.0515510674215,-1993.78699069,-1995.0774423,0.00866283192294,0.0369456566769
1,17,8.05383529179e-06,303,0.0509233455791,-1993.79924214,-1995.08761426,0.00866374830783,0.0365717517362
1,18,0.0142313701275,132,0.0464592121706,-1993.89098884,-1995.52905948,0.00867389942797,0.0235195246561
1,19,7.25474282576e-06,133,0.0463251280918,-1993.89387907,-1995.17299554,0.00867437729048,0.0335787979538
1,20,0.00550987494021,216,0.0135499581135,-1995.12318016,-1996.1301322,0.00883070619292,0.012893949829
2,1,0.00274773988924,194,0.0675154243267,-1993.75913311,-1994.36959251,0.00866142057256,0.0853051096986
2,2,0.00171467513619,195,0.0675127434982,-1993.75917282,-1994.37063499,0.00866641664027,0.0852162271149
2,3,0.00146747444577,193,0.0675122848758,-1993.75917961,-1994.37064822,0.00866651362616,0.0852150993435
2,4,0.00137049560913,190,0.0675121228764,-1993.75918201,-1994.37087944,0.00866759445389,0.0851953978687
2,5,0.000686420562183,192,0.0675112976901,-1993.75919423,-1994.37119839,0.00866912352549,0.0851682293674
2,6,0.000684815373067,189,0.0675112963971,-1993.75919425,-1994.37119897,0.00866912609171,0.0851681798118
2,7,0.00033775825928,191,0.0675110897066,-1993.75919732,-1994.37127848,0.00866950830081,0.0851614083252
2,8,6.85694867454e-05,196,0.0675110279769,-1993.75919823,-1994.3712027,0.0086694885608,0.0851678622369
2,9,5.00000250015e-07,197,0.0675099619844,-1993.75921402,-1994.37132122,0.00866963737457,0.0851577692548
2,10,0.00272677208395,188,0.0673789462567,-1993.76115659,-1995.06014899,0.00866974908113,0.0427631979035
2,11,8.0180010311e-06,198,0.0672499781084,-1993.7630725,-1995.05526728,0.00867002676498,0.0429724659876
2,12,0.00899031408164,224,0.0636431655023,-1993.81819725,-1995.50274303,0.00867561037045,0.0274697069373
2,13,0.0096984810557,221,0.0636428215224,-1993.81820265,-1995.50361568,0.00867556254236,0.0274457459967
2,14,5.27009452905e-06,225,0.0636414835582,-1993.81822368,-1995.10985044,0.00867568497729,0.0406897582525
2,15,0.00473787406309,202,0.0172652443416,-1995.12279371,-1996.13124963,0.00885681913831,0.0146520056417
2,16,0.00170889428788,352,0.0171857434028,-1995.12740902,-1996.14250841,0.00882872331531,0.0144879671221
2,17,0.00646142160684,277,0.0103761543739,-1995.63197887,-1996.81707584,0.00896783189933,0.00737983307898
2,18,0.00692402977216,4,0.0103590507812,-1995.63362858,-1996.81802495,0.00895118269712,0.00737283212982
2,19,0.00602916297723,259,0.0103413186075,-1995.63534181,-1996.821082,0.00894192634738,0.00735032745711
2,20,0.00136295745776,187,0.00130884421284,-1997.70234472,-1999.2300152,0.0166286785255,0.000660876471144
3,1,0.00417020198804,53,0.875305995702,-1989.55233226,-1990.43130172,6.11351501465e-06,0.905598443244
3,2,5.35230442705e-06,5,0.0257977214451,-1993.07661962,-1994.36586725,0.00867505578817,0.0177082469068
3,3,8.83642515758e-06,11,0.0240559523401,-1993.14652333,-1993.79625302,0.00867818144413,0.0313008321867
3,4,9.42406483758e-06,36,0.0240117118562,-1993.14836409,-1994.43964795,0.00867842201598,0.0164487543941
3,5,0.0111182309417,12,0.0220212681317,-1993.23489708,-1994.92427256,0.0086868139055,0.0101312543915
3,6,5.40566813843e-06,13,0.0220212541471,-1993.23489771,-1994.52546298,0.00868685616384,0.0150960742396
3,7,0.0034356405076,6,0.000580943362086,-1996.87000781,-1998.29146368,0.0148929037562,0.0003493901825
3,8,9.50071317511e-06,7,0.00058094287421,-1996.87000865,-1998.29055402,0.01489286696,0.000349708156581
3,9,0.0055130844427,37,0.000500592575044,-1997.01886853,-1998.50496499,0.0160548701802,0.000282220306062
3,10,5.4064783239e-06,38,0.000500515119439,-1997.01902327,-1998.50419806,0.016056154824,0.000282436832791
