# Reference:River Valleys Shaped the Maternal Genetic Landscape of Han Chinese
Haplogroup	N		Coding Region (Soares et al. 2009)			Complete Genome (Soares et al. 2009)			Synonymous Positions (Soares et al. 2009)			Bayesian	Average	Period
			Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)		
Coalescent ages based on all publised whole mtDNA sequences														
D4m	28		16.89(6.55;27.24)	4.79(1.49)		18.65 (9.24; 28.06)	7.21(1.86)		19.98 (5.05; 34.92)	2.54(0.97)		22.20 (11.40; 36.25)	19.43 	19.5 kya
D4m1	4		6.18(0.44;11.91)	1.75(0.83)		7.11 (1.59; 12.63)	2.75(1.09)		1.97 (-1.89; 5.83)	0.25(0.25)		3.04 (0.12; 9.52)	4.58 	5-11.5 kya
D4m2	22		4.97(1.66;8.29)	1.41(0.48)		7.4 (2.07; 12.74)	2.86(1.05)		10.39 (3.13; 17.65)	1.32(0.47)		11.78 (5.13; 21.80)	8.64 	5-11.5 kya
D4n	15		6.35(1.63;11.08)	1.8(0.68)		8.96 (4.23; 13.69)	3.47(0.93)		7.35 (-0.62; 15.33)	0.93(0.52)		10.96 (4.35; 20.87)	8.41 	5-11.5 kya
D4n1	5		3.53(-2.18;9.24)	1(0.82)		3.1 (-1.2; 7.4)	1.2(0.85)		1.58 (-1.51; 4.66)	0.2(0.2)		2.77 (0.11; 8.96)	2.75 	2-5 kya
D4n1a	4		0.88(-0.85;2.61)	0.25(0.25)		1.29 (-0.5; 3.08)	0.5(0.35)		1.97 (-1.89; 5.83)	0.25(0.25)		3.10 (0.08; 9.76)	1.81 	<2 kya
D4n2	7		4.03(0.61;7.46)	1.14(0.49)		6.65 (1.74; 11.56)	2.57(0.97)		5.63 (-0.99; 12.25)	0.71(0.43)		7.83 (1.86; 17.17)	6.04 	5-11.5 kya
D4q	23		6.91(2.71;11.11)	1.96(0.61)		7.98 (3.98; 11.98)	3.09(0.79)		7.54 (1.38; 13.69)	0.96(0.4)		18.40 (9.82; 30.70)	10.21 	5-11.5 kya
D4q1	8		9.27(-0.93;19.46)	2.62(1.47)		6.79 (-0.68; 14.25)	2.62(1.47)		11.82 (-4.79; 28.43)	1.5(1.08)		10.60 (3.72; 20.98)	9.62 	5-11.5 kya
D4q1a	8		2.21(-0.66;5.07)	0.62(0.41)		1.62 (-0.48; 3.72)	0.62(0.41)		3.94 (-2.17; 10.05)	0.5(0.4)		6.80 (1.65; 15.02)	3.64 	2-5 kya
D4s	4		8.82(1.49;16.16)	2.5(1.06)		10.99 (4.17; 17.81)	4.25(1.35)		5.91 (-0.78; 12.6)	0.75(0.43)		12.54 (3.39; 24.97)	9.57 	5-11.5 kya
D4k	5		9.18(4.19;14.17)	2.6(0.72)		10.34 (4.61; 16.07)	4(1.13)		9.46 (1.89; 17.02)	1.2(0.49)		14.56 (7.67; 32.29)	10.89 	5-11.5 kya
D4o	39		11.5(3.91;19.08)	3.26(1.1)		19.02 (10.84; 27.21)	7.36(1.61)		15.96 (2.91; 29.02)	2.03(0.85)		24.64 (14.04; 37.27)	17.78 	11.5-19.5 kya
D4o1	13		7.6(2.18;13.03)	2.15(0.78)		10.14 (4.99; 15.3)	3.92(1.02)		7.88 (-0.93; 16.69)	1(0.57)		12.21 (5.29; 22.58)	9.46 	5-11.5 kya
D4o1a	6		4.71(1.06;8.35)	1.33(0.53)		5.17 (2.01; 8.33)	2(0.62)		1.31 (-1.26; 3.89)	0.17(0.17)		8.91 (2.37; 18.18)	5.03 	5-11.5 kya
D4o2	26		2.85(1.32;4.38)	0.81(0.22)		9.25 (3.34; 15.15)	3.58(1.17)		4.24 (1.72; 6.76)	0.54(0.16)		12.09 (5.08; 21.88)	7.11 	5-11.5 kya
D4o2a	24		2.94(1.31;4.57)	0.83(0.24)		7 (3.11; 10.89)	2.71(0.77)		4.6 (1.87; 7.33)	0.58(0.18)		12.16 (5.15; 21.87)	6.68 	5-11.5 kya
D4o2a1	5		5.65(0.85;10.44)	1.6(0.69)		4.14 (0.63; 7.65)	1.6(0.69)		7.88 (-0.29; 16.05)	1(0.53)		7.09 (1.31; 16.30)	6.19 	5-11.5 kya
D4p	7		3.53(0.25;6.81)	1(0.47)		2.58 (0.18; 4.99)	1(0.47)		4.5 (-0.9; 9.91)	0.57(0.35)		5.09 (0.78; 11.99)	3.93 	2-5 kya
D4a	132		12.52(7.97;17.08)	3.55(0.66)		12.24 (8.75; 15.72)	4.73(0.69)		12.32 (8.94; 15.69)	1.56(0.22)		27.12 (15.71; 41.18)	16.05 	11.5-19.5 kya
D4a1	4		17.65(4.03;31.27)	5(1.97)		13.57 (3.52; 23.62)	5.25(1.98)		25.61 (0.89; 50.33)	3.25(1.6)		22.21 (13.95; 32.68)	19.76 	19.5 kya
D4a1a	4		14.12(2.39;25.85)	4(1.7)		10.99 (2.3; 19.67)	4.25(1.71)		17.73 (-1.58; 37.04)	2.25(1.25)		9.42 (3.06; 19.08)	13.07 	11.5-19.5 kya
D4a1a1	4		10.59(1.12;20.06)	3(1.37)		8.4 (1.35; 15.45)	3.25(1.39)		17.73 (-1.58; 37.04)	2.25(1.25)		8.90 (2.44; 18.27)	11.41 	11.5-19.5 kya
D4a1a1a	4		7.06(0.59;13.53)	2(0.94)		5.82 (0.91; 10.72)	2.25(0.97)		9.85 (-1.73; 21.43)	1.25(0.75)		5.86 (0.82; 15.29)	7.15 	5-11.5 kya
D4a2	6		11.77(-0.33;23.86)	3.33(1.75)		9.91 (0.93; 18.89)	3.83(1.77)		10.51 (-5.36; 26.37)	1.33(1.03)		9.73 (3.52; 18.42)	10.48 	5-11.5 kya
D4a2a	6		1.18(-0.45;2.81)	0.33(0.24)		2.15 (0.27; 4.04)	0.83(0.37)		2.63 (-1.01; 6.27)	0.33(0.24)		2.67 (0.06; 8.60)	2.16 	2-5 kya
D4a3	13		17.65(8.12;27.18)	5(1.38)		17.75 (9.69; 25.81)	6.87(1.59)		23.64 (7.46; 39.82)	3(1.05)		30.16 (18.46; 44.18)	22.30 	19.5 kya
D4a3a	3		17.65(5.67;29.63)	5(1.73)		17.23 (6.55; 27.91)	6.67(2.11)		23.64 (3.7; 43.58)	3(1.29)		29.45 (16.54; 45.43)	21.99 	19.5 kya
D4a3b	12		13.24(4.18;22.3)	3.75(1.31)		14.65 (6.46; 22.84)	5.67(1.62)		13.79 (2.35; 25.23)	1.75(0.74)		13.26 (5.93; 23.15)	13.74 	11.5-19.5 kya
D4a3b2	8		7.45(0.88;14.02)	2.11(0.95)		8.33 (2.29; 14.37)	3.22(1.19)		14.01 (-0.35; 28.37)	1.78(0.93)		8.16 (2.43; 16.88)	9.49 	5-11.5 kya
D4a4	5		2.82(-2.71;8.36)	0.8(0.8)		2.07 (-1.99; 6.12)	0.8(0.8)		6.3 (-6.05; 18.66)	0.8(0.8)		0.00 (0.00; 0.00)	2.80 	2-5 kya
D4a7	3		4.71 (-0.95; 10.34)	1.33 (0.82)		4.83 (-0.97; 10.62)	1.33 (0.82)		2.63 (-2.52; 7.80)	0.33 (0.33)		9.31 (3.17; 19.38)	5.37 	5-11.5 kya
D4t	5		4.71(-0.94;10.36)	1.33(0.82)		3.45 (-0.69; 7.58)	1.33(0.82)		2.63 (-2.52; 7.77)	0.33(0.33)		4.79 (0.53; 12.38)	3.90 	2-5 kya
M7	1270		37.56(24.28;50.84)	10.64(1.92)		42.54 (30.91; 54.17)	16.46(2.3)		53.58 (28.34; 78.82)	6.8(1.63)		54.11 (34.86; 87.55)	46.95 	19.5 kya
M7a	96		20.33(10.74;29.93)	5.76(1.39)		21.84 (13.47; 30.2)	8.45(1.65)		27.33 (9.73; 44.93)	3.47(1.14)		40.04 (29.15; 53.63)	27.39 	19.5 kya
M7a2	16		16.77(9.69;23.85)	4.75(1.02)		21 (12.49; 29.51)	8.12(1.68)		17.24 (7.25; 27.22)	2.19(0.65)		28.40 (14.63; 45.12)	20.85 	19.5 kya
M7a2a	12		15.3(6.67;23.93)	4.33(1.25)		15.51 (8.25; 22.77)	6(1.43)		16.42 (4.14; 28.69)	2.08(0.79)		26.78 (13.86; 43.70)	18.50 	19.5 kya
M7a1	79		16.89(7.72;26.06)	4.78(1.32)		16.33 (9.45; 23.2)	6.32(1.36)		21.74 (7.09; 36.4)	2.76(0.95)		38.66 (25.50; 54.32)	23.41 	19.5 kya
M7a1a	71		9.55(7.02;12.07)	2.7(0.36)		10.67 (8.27; 13.06)	4.13(0.47)		13.43 (8.76; 18.1)	1.7(0.3)		34.40 (22.82; 49.21)	17.01 	11.5-19.5 kya
M7a1a1	10		6(0.09;11.91)	1.7(0.85)		5.17 (0.75; 9.59)	2(0.87)		11.03 (-1.89; 23.95)	1.4(0.84)		10.11 (3.61; 19.01)	8.08 	5-11.5 kya
M7a1a1a	8		3.09(0.8;5.38)	0.87(0.33)		2.91 (1.01; 4.81)	1.12(0.37)		3.94 (0.08; 7.8)	0.5(0.25)		7.53 (1.92; 15.63)	4.37 	2-5 kya
M7a1a2	9		5.49(1.14;9.84)	1.56(0.63)		7.47 (3.41; 11.53)	2.89(0.8)		4.38 (-1.31; 10.07)	0.56(0.37)		5.37 (1.02; 12.71)	5.68 	5-11.5 kya
M7a1a3	4		3.53(0.07;6.99)	1(0.5)		5.82 (1.62; 10.02)	2.25(0.83)		3.94 (-1.52; 9.4)	0.5(0.35)		5.66 (0.70; 14.87)	4.74 	5-11.5 kya
M7a1a4	6		11.77(1.45;22.08)	3.33(1.49)		9.48 (1.83; 17.13)	3.67(1.51)		23.64 (0.91; 46.37)	3(1.47)		14.27 (5.71; 28.08)	14.79 	11.5-19.5 kya
M7a1a4a	5		1.41(-0.54;3.37)	0.4(0.28)		1.55 (-0.2; 3.31)	0.6(0.35)		0 (0; 0)	0(0)		1.16 (0.00; 6.06)	1.03 	<2 kya
M7a1a5	3		7.06(0.54;13.58)	2(0.94)		6.03 (0.97; 11.1)	2.33(1)		10.51 (-2.1; 23.12)	1.33(0.82)		7.59 (1.69; 17.56)	7.80 	5-11.5 kya
M7a1a6	5		4.94(1.28;8.6)	1.4(0.53)		7.75 (2.49; 13.02)	3(1.04)		4.73 (-0.62; 10.08)	0.6(0.35)		7.78 (1.97; 16.69)	6.30 	5-11.5 kya
M7a1a6a	3		3.53(-0.46;7.52)	1(0.58)		3.45 (0.07; 6.82)	1.33(0.67)		2.63 (-2.52; 7.77)	0.33(0.33)		1.33 (0.00; 7.14)	2.74 	2-5 kya
M7a1a7	13		2.44(0.85;4.04)	0.69(0.23)		3.38 (1.68; 5.08)	1.31(0.34)		3.03 (0.37; 5.69)	0.38(0.17)		8.43 (3.02; 17.35)	4.32 	2-5 kya
M7a1a9	3		18.83(9.6;28.05)	5.33(1.33)		15.51 (8.34; 22.68)	6(1.41)		26.27 (9.99; 42.55)	3.33(1.05)		29.40 (16.44; 47.90)	22.50 	19.5 kya
M7a1b	7		10.09(2.96;17.21)	2.86(1.03)		14.4 (6.05; 22.75)	5.57(1.65)		12.38 (2.77; 22)	1.57(0.62)		17.63 (7.83; 31.81)	13.63 	11.5-19.5 kya
M7a1b1	5		2.12(-0.98;5.21)	0.6(0.45)		2.58 (-0.1; 5.27)	1(0.53)		4.73 (-2.18; 11.64)	0.6(0.45)		4.87 (0.53; 12.96)	3.58 	2-5 kya
M7b'c	1148		33.99(21.46;46.52)	9.63(1.81)		40.39 (28.92; 51.86)	15.62(2.26)		46.58 (24.13; 69.03)	5.91(1.45)		53.37 (33.63; 76.97)	43.58 	19.5 kya
M7b	466		40.33(21.19;59.47)	11.42(2.77)		48.66 (31.36; 65.96)	18.82(3.41)		47.43 (16.67; 78.2)	6.02(1.99)		50.49 (34.55; 83.12)	46.73 	19.5 kya
M7b2	6		10.59(4.94;16.24)	3(0.82)		12.49 (5.18; 19.81)	4.83(1.44)		18.39 (6.87; 29.9)	2.33(0.75)		22.61 (10.45; 38.37)	16.02 	11.5-19.5 kya
M7b2a	5		6.35(0.99;11.71)	1.8(0.77)		4.65 (0.73; 8.58)	1.8(0.77)		14.18 (2.22; 26.15)	1.8(0.77)		9.78 (3.13; 19.88)	8.74 	5-11.5 kya
M7b1	459		26.37(12.74;40.01)	7.47(1.97)		36.03 (22.62; 49.45)	13.94(2.65)		31.85 (9.52; 54.17)	4.04(1.45)		55.69 (33.29; 69.90)	37.49 	19.5 kya
M7b1a	451		15.85(9.1;22.6)	4.49(0.98)		23.15 (15.75; 30.55)	8.96(1.46)		16.24 (10.76; 21.73)	2.06(0.36)		54.33 (32.77; 70.43)	27.39 	19.5 kya
M7b1a1	380		9.56(7.35;11.77)	2.71(0.32)		16.06 (11.96; 20.15)	6.21(0.81)		11.86 (8.86; 14.86)	1.51(0.19)		52.69 (31.69; 78.77)	22.54 	19.5 kya
M7b1a1a	171		8.99(5.49;12.48)	2.55(0.51)		15.64 (10.9; 20.39)	6.05(0.94)		9.36 (6.93; 11.79)	1.19(0.16)		13.49 (3.01; 26.02)	11.87 	5-11.5 kya
M7b1a1a1	70		4.89(3.58;6.21)	1.39(0.19)		10.52 (4.62; 16.43)	4.07(1.17)		6.53 (4.13; 8.93)	0.83(0.16)		7.45 (1.78; 19.63)	7.35 	5-11.5 kya
M7b1a1a1a	5		1.41(-1.36;4.18)	0.4(0.4)		3.1 (0.24; 5.97)	1.2(0.57)		0 (0; 0)	0(0)		1.03 (0.00; 5.69)	1.39 	<2 kya
M7b1a1a1b	5		2.82(-0.57;6.21)	0.8(0.49)		4.65 (1.29; 8.01)	1.8(0.66)		1.58 (-1.51; 4.66)	0.2(0.2)		4.43 (0.61; 11.62)	3.37 	2-5 kya
M7b1a1a1c	56		4.73(3.44;6.02)	1.34(0.19)		8.86 (3.56; 14.17)	3.43(1.05)		5.91 (3.77; 8.05)	0.75(0.14)		2.94 (0.15; 9.45)	5.61 	5-11.5 kya
M7b1a1a3	43		5.8(2.88;8.73)	1.64(0.42)		10.86 (5.59; 16.12)	4.2(1.04)		9.98 (3.64; 16.32)	1.27(0.41)		16.43 (8.48; 26.62)	10.77 	5-11.5 kya
M7b1a1b	47		4.88(1.17;8.59)	1.38(0.54)		5.72 (2.74; 8.7)	2.21(0.59)		8.05 (-0.1; 16.19)	1.02(0.53)		22.05 (10.42; 33.80)	10.18 	5-11.5 kya
M7b1a1c	7		7.06(2.42;11.7)	2(0.67)		9.97 (4.8; 15.14)	3.86(1.02)		7.88 (-0.08; 15.84)	1(0.52)		14.38 (6.02; 26.48)	9.82 	5-11.5 kya
M7b1a1d	4		4.41(-2.72;11.54)	1.25(1.03)		4.52 (-1; 10.04)	1.75(1.09)		0 (0; 0)	0(0)		2.63 (0.06; 8.62)	2.89 	2-5 kya
M7b1a1d1	4		0.88(-0.85;2.61)	0.25(0.25)		1.94 (-0.26; 4.13)	0.75(0.43)		0 (0; 0)	0(0)		1.14 (0.00; 6.24)	0.99 	<2 kya
M7b1a1e	44		8.01(2.27;13.75)	2.27(0.83)		8.76 (4.24; 13.29)	3.39(0.89)		15.57 (2.83; 28.3)	1.98(0.82)		17.07 (8.58; 27.95)	12.35 	11.5-19.5 kya
M7b1a1e1	27		5.36(1.11;9.61)	1.52(0.61)		5.84 (2.5; 9.18)	2.26(0.66)		9.63 (0.32; 18.94)	1.22(0.6)		14.38 (5.96; 25.34)	8.80 	5-11.5 kya
M7b1a1e2	8		5.29(-1.84;12.43)	1.5(1.03)		7.75 (0.32; 15.19)	3(1.47)		9.85 (-5.83; 25.53)	1.25(1.02)		5.17 (0.85; 12.56)	7.02 	5-11.5 kya
M7b1a1f	22		7.99(4.71;11.27)	2.26(0.47)		12.11 (8.09; 16.13)	4.68(0.79)		12.44 (5.64; 19.24)	1.58(0.44)		22.03 (13.71; 33.21)	13.64 	11.5-19.5 kya
M7b1a1h	6		5.88(2.24;9.53)	1.67(0.53)		7.32 (3.64; 11)	2.83(0.73)		11.82 (4.1; 19.54)	1.5(0.5)		13.75 (5.53; 24.62)	9.69 	5-11.5 kya
M7b1a1i	12		6.18(1.6;10.75)	1.75(0.66)		7.97 (3.33; 12.61)	3.08(0.92)		2.63 (0.05; 5.2)	0.33(0.17)		10.60 (3.47; 20.50)	6.85 	5-11.5 kya
M7b1a2a	71		9.63(3.06;16.2)	2.73(0.95)		10.41 (5.36; 15.47)	4.03(1)		8.56 (4.03; 13.08)	1.09(0.29)		12.15 (8.54; 23.83)	10.19 	5-11.5 kya
M7b1a2a1	61		6.19(3.27;9.12)	1.75(0.42)		7.63 (4.98; 10.28)	2.95(0.52)		8.4 (3.3; 13.49)	1.07(0.33)		13.89 (7.23; 23.88)	9.03 	5-11.5 kya
M7b1b	4		4.41(0.54;8.28)	1.25(0.56)		10.34 (2.13; 18.55)	4(1.62)		5.91 (-0.78; 12.6)	0.75(0.43)		8.40 (1.48; 19.04)	7.27 	5-11.5 kya
M7c	678		16.66(6.24;27.07)	4.72(1.51)		22.54 (11.62; 33.45)	8.72(2.15)		16.94 (4.22; 29.66)	2.15(0.82)		34.95 (10.17; 71.51)	22.77 	19.5 kya
M7c1	653		12.55(4.26;20.84)	3.56(1.2)		14.41 (7.26; 21.56)	5.57(1.41)		15.45 (2.29; 28.61)	1.96(0.85)		14.29 (5.22; 28.60)	14.18 	11.5-19.5 kya
M7c1a	73		11.85(7.97;15.72)	3.36(0.56)		16.68 (12.59; 20.77)	6.45(0.81)		15.87 (9.99; 21.74)	2.01(0.38)		21.48 (10.95; 33.83)	16.47 	11.5-19.5 kya
M7c1a1	12		12.06(4.84;19.29)	3.42(1.04)		15.94 (8.78; 23.11)	6.17(1.41)		18.39 (5.39; 31.39)	2.33(0.84)		20.98 910.91; 33.60)	15.46 	11.5-19.5 kya
M7c1a1a	5		7.06(1.52;12.6)	2(0.8)		9.82 (4.56; 15.09)	3.8(1.04)		12.61 (1.05; 24.17)	1.6(0.75)		13.36 (5.23; 24.32)	10.71 	5-11.5 kya
M7c1a1a1	3		3.53(-0.46;7.52)	1(0.58)		6.89 (2.12; 11.67)	2.67(0.94)		5.25 (-2.03; 12.53)	0.67(0.47)		7.64 (1.45; 17.48)	5.83 	5-11.5 kya
M7c1a2	13		13.31(4.48;22.13)	3.77(1.28)		15.51 (7.33; 23.69)	6(1.61)		28.49 (6.49; 50.49)	3.62(1.42)		22.65 (12.05; 36.52)	19.99 	19.5 kya
M7c1a2a	10		7.41(1.83;12.99)	2.1(0.81)		8.79 (3.24; 14.34)	3.4(1.1)		10.24 (0.85; 19.64)	1.3(0.61)		11.72 (4.69; 21.95)	9.54 	5-11.5 kya
M7c1a2a1	5		7.77(2.41;13.13)	2.2(0.77)		7.24 (2.71; 11.77)	2.8(0.89)		12.61 (1.91; 23.31)	1.6(0.69)		12.70 (4.61; 23.73)	10.08 	5-11.5 kya
M7c1a3	11		2.57(0.79;4.35)	0.73(0.26)		5.64 (1.37; 9.91)	2.18(0.84)		4.3 (0.86; 7.74)	0.55(0.22)		8.48 (2.44; 17.40)	5.25 	5-11.5 kya
M7c1a4	13		7.33(1.53;13.14)	2.08(0.84)		12.93 (5.83; 20.02)	5(1.4)		13.94 (1.88; 26)	1.77(0.78)		13.15 (5.23; 23.96)	11.84 	11.5-19.5 kya
M7c1a4a	6		2.35(0.05;4.66)	0.67(0.33)		5.6 (0.06; 11.14)	2.17(1.09)		2.63 (-1.01; 6.27)	0.33(0.24)		4.51 (0.46; 12.13)	3.77 	2-5 kya
M7c1a4b	7		5.04(-0.37;10.46)	1.43(0.78)		7.39 (0.83; 13.94)	2.86(1.29)		10.13 (-1.75; 22.01)	1.29(0.77)		8.95 (1.99; 19.06)	7.88 	5-11.5 kya
M7c1b	24		22.94(12.82;33.07)	6.5(1.46)		21.65 (13.48; 29.82)	8.37(1.61)		29.55 (11.08; 48.02)	3.75(1.2)		30.90 (19.57; 44.21)	26.26 	19.5 kya
M7c1b1	3		3.53(-0.46;7.52)	1(0.58)		5.17 (0.39; 9.95)	2(0.94)		2.63 (-2.52; 7.77)	0.33(0.33)		3.49 (0.15; 11.16)	3.71 	2-5 kya
M7c1b2	16		20.3(9.44;31.15)	5.75(1.57)		19.71 (10.34; 29.08)	7.62(1.85)		30.53 (8.27; 52.8)	3.87(1.44)		26.52 (15.08; 40.37)	24.27 	19.5 kya
M7c1b2b	15		13.41(7.31;19.52)	3.8(0.88)		14.13 (7.24; 21.02)	5.47(1.36)		15.23 (6.08; 24.39)	1.93(0.59)		22.28 (12.86; 34.23)	16.26 	11.5-19.5 kya
M7c1c	543		4.49(2.8;6.18)	1.27(0.24)		8.07 (3.37; 12.78)	3.12(0.93)		5.47 (2.78; 8.16)	0.69(0.17)		7.36 (2.82; 14.09)	6.35 	5-11.5 kya
M7c1c1	27		4.97(0.82;9.12)	1.41(0.6)		8.71 (2.26; 15.17)	3.37(1.27)		8.17 (-0.76; 17.11)	1.04(0.58)		13.92 (6.68; 12.94)	8.94 	5-11.5 kya
M7c1c3	479		3.94(2.13;5.75)	1.12(0.26)		4.11 (2.75; 5.48)	1.59(0.27)		4.74 (1.87; 7.61)	0.6(0.19)		24.73 (16.88; 35.02)	9.38 	5-11.5 kya
M7c1c3b	5		7.06(2.27;11.85)	2(0.69)		7.24 (3.18; 11.29)	2.8(0.8)		6.3 (0.13; 12.48)	0.8(0.4)		9.99 (2.96; 20.53)	7.65 	5-11.5 kya
M7c1c3d	3		1.18(-1.13;3.48)	0.33(0.33)		0.86 (-0.83; 2.55)	0.33(0.33)		0 (0; 0)	0(0)		1.21 (0.00; 6.79)	0.81 	<2 kya
M7c1c3e	3		2.35(-0.91;5.61)	0.67(0.47)		2.58 (-0.34; 5.51)	1(0.58)		2.63 (-2.52; 7.77)	0.33(0.33)		3.28 (0.05; 10.56)	2.71 	2-5 kya
M7c1c3f	4		1.76(-1.69;5.22)	0.5(0.5)		5.82 (-1; 12.64)	2.25(1.35)		3.94 (-3.78; 11.66)	0.5(0.5)		1.21 (0.00; 6.65)	3.18 	2-5 kya
M7c1c3g	4		0.88(-0.85;2.61)	0.25(0.25)		1.94 (-0.26; 4.13)	0.75(0.43)		0 (0; 0)	0(0)		1.05 (0.00; 5.94)	0.97 	<2 kya
M7c1c3h	8		3.53(-2.59;9.65)	1(0.88)		3.23 (-1.42; 7.89)	1.25(0.92)		0 (0; 0)	0(0)		0.88 (0.00; 4.83)	1.91 	<2 kya
M7c1c3i	11		0.32(-0.31;0.95)	0.09(0.09)		0.94 (-0.19; 2.07)	0.36(0.22)		0 (0; 0)	0(0)		0.75 (0.00; 4.48)	0.50 	<2 kya
M7c1c3a	7		13.62(3.2;24.03)	3.86(1.51)		12.56 (4.3; 20.81)	4.86(1.63)		20.26 (2.34; 38.19)	2.57(1.16)		13.53 (4.91; 25.34)	14.99 	11.5-19.5 kya
M7c1c3a1	6		7.65(0.63;14.66)	2.17(1.01)		8.19 (1.92; 14.45)	3.17(1.24)		13.13 (-0.49; 26.75)	1.67(0.88)		9.68 (2.51; 20.54)	9.66 	5-11.5 kya
M7c1c2	25		5.62(3.52;7.72)	1.59(0.3)		12.35 (5.73; 18.97)	4.78(1.31)		6.71 (3.53; 9.9)	0.85(0.21)		16.37 (9.20; 26.12)	10.26 	5-11.5 kya
M7c1c2a	4		7.06(1.59;12.53)	2(0.79)		13.57 (4.89; 22.25)	5.25(1.71)		11.82 (0.9; 22.74)	1.5(0.71)		12.24 (4.16; 23.81)	11.17 	5-11.5 kya
M7c2	18		7.26(3.84;10.67)	2.06(0.49)		8.62 (4.26; 12.98)	3.33(0.86)		10.94 (4.94; 16.95)	1.39(0.39)		15.63 (8.11; 22.80)	10.61 	5-11.5 kya
M7c2a	11		5.78(2.22;9.33)	1.64(0.51)		6.11 (2.37; 9.85)	2.36(0.74)		10.75 (3.45; 18.04)	1.36(0.47)		15.72 (6.50; 28.72)	9.59 	5-11.5 kya
B4	2356		29.79(15.2;44.39)	8.44(2.11)		32.68 (19.94; 45.43)	12.64(2.52)		46.18 (18.41; 73.96)	5.86(1.8)		61.49 (49.36; 73.95)	42.54 	19.5 kya
B4a	1932		22.28(7.83;36.73)	6.31(2.09)		23.97 (11.54; 36.4)	9.27(2.45)		30.58 (5.55; 55.6)	3.88(1.62)		46.72 (35.85; 60.64)	30.89 	19.5 kya
B4a1	1863		18.9(5.62;32.18)	5.35(1.92)		21.48 (9.63; 33.33)	8.31(2.34)		22.67 (1.83; 43.51)	2.88(1.35)		46.23 (34.48; 61.54)	27.32 	19.5 kya
B4a1a	1798		8.44(1.65;15.24)	2.39(0.98)		11.22 (4.27; 18.18)	4.34(1.37)		15.06 (-0.07; 30.19)	1.91(0.98)		15.23 (6.43; 25.12)	12.49 	11.5-19.5 kya
B4a1a1	1612		5.11(2.03;8.19)	1.45(0.44)		6.52 (3.56; 9.48)	2.52(0.58)		7.76 (0.99; 14.53)	0.98(0.44)		10.21 (4.93; 13.55)	7.40 	5-11.5 kya
B4a1a1a	378		4.05(2.99;5.12)	1.15(0.15)		5.88 (4.66; 7.1)	2.28(0.24)		4.57 (2.71; 6.42)	0.58(0.12)		4.97 (1.54; 8.80)	4.87 	2-5 kya
B4a1a1a1	38		5.39(2.47;8.3)	1.53(0.42)		7.07 (4.08; 10.07)	2.74(0.59)		4.15 (1.85; 6.45)	0.53(0.15)		9.81 (2.51; 19.73)	6.61 	5-11.5 kya
B4a1a1a10	4		3.53(-1.36;8.42)	1(0.71)		3.88 (-0.51; 8.27)	1.5(0.87)		7.88 (-3.04; 18.8)	1(0.71)		3.61 (0.12; 11.39)	4.73 	2-5 kya
B4a1a1a11	14		6.3(1.59;11.02)	1.79(0.68)		8.12 (3.41; 12.84)	3.14(0.93)		9.01 (-0.22; 18.24)	1.14(0.6)		10.89 (4.09; 20.40)	8.58 	5-11.5 kya
B4a1a1a11a	6		7.06(0.14;13.98)	2(1)		6.03 (0.83; 11.24)	2.33(1.03)		13.13 (-1.88; 28.14)	1.67(0.97)		10.16 (2.94; 20.17)	9.10 	5-11.5 kya
B4a1a1a12	7		1.01(-0.39;2.41)	0.29(0.2)		3.32 (0.71; 5.93)	1.29(0.52)		1.13 (-1.08; 3.33)	0.14(0.14)		2.47 (0.03; 8.12)	1.98 	<2 kya
B4a1a1a1a	7		7.06(0.21;13.91)	2(0.99)		8.86 (2.89; 14.83)	3.43(1.18)		4.5 (-1.74; 10.74)	0.57(0.4)		7.71 (2.18; 15.63)	7.03 	5-11.5 kya
B4a1a1a1a1	6		4.12(0.29;7.94)	1.17(0.55)		6.89 (2.27; 11.52)	2.67(0.91)		5.25 (-2.03; 12.53)	0.67(0.47)		5.64 (1.34; 13.04)	5.48 	5-11.5 kya
B4a1a1a1b	4		1.76(-0.68;4.21)	0.5(0.35)		5.17 (-0.49; 10.83)	2(1.12)		1.97 (-1.89; 5.83)	0.25(0.25)		3.33 (0.09; 10.77)	3.06 	2-5 kya
B4a1a1a2	48		3.09(0.09;6.09)	0.87(0.43)		4.47 (2.01; 6.93)	1.73(0.49)		2.46 (0.85; 4.07)	0.31(0.1)		9.45 (4.09; 17.77)	4.87 	2-5 kya
B4a1a1a2a	20		2.12(0.73;3.5)	0.6(0.2)		2.84 (1.46; 4.23)	1.1(0.27)		2.36 (0.18; 4.55)	0.3(0.14)		8.05 (2.72; 16.32)	3.84 	2-5 kya
B4a1a1a3	6		2.94(-0.11;5.99)	0.83(0.44)		2.15 (-0.08; 4.39)	0.83(0.44)		2.63 (-2.52; 7.77)	0.33(0.33)		2.60 (0.11; 8.54)	2.58 	2-5 kya
B4a1a1a4	3		2.35(-0.91;5.61)	0.67(0.47)		2.58 (-0.34; 5.51)	1(0.58)		5.25 (-2.03; 12.53)	0.67(0.47)		6.43 (0.74; 16.68)	4.15 	2-5 kya
