# Reference:River Valleys Shaped the Maternal Genetic Landscape of Han Chinese
Haplogroup	N		Coding Region (Soares et al. 2009)			Complete Genome (Soares et al. 2009)			Synonymous Positions (Soares et al. 2009)			Bayesian	Average	Period
			Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)	Ro(Sigma)		Mean (minT95%; maxT95%)		
Coalescent ages based on all publised whole mtDNA sequences														
D4b2b2a	6		6.47(0.94;12)	1.83(0.8)		6.46 (1.92; 11.01)	2.5(0.9)		14.45 (2.1; 26.79)	1.83(0.8)		10.15 (3.16; 20.63)	9.38 	5-11.5 kya
D4b2b2a1	3		0(0;0)	0(0)		2.58 (-1.19; 6.36)	1(0.75)		0 (0; 0)	0(0)		0.00 (0.00; 0.00)	0.65 	<2 kya
D4b2b2b	8		5.65(0.11;11.18)	1.6(0.8)		6.2 (1.45; 10.96)	2.4(0.94)		9.46 (-2.1; 21.01)	1.2(0.75)		6.33 (1.13; 14.68)	6.91 	5-11.5 kya
D4b2b2c	4		6.18(-1.36;13.72)	1.75(1.09)		9.05 (1.24; 16.86)	3.5(1.54)		13.79 (-3.04; 30.62)	1.75(1.09)		5.93 (0.69; 15.46)	8.74 	5-11.5 kya
D4b2b4	4		13.24(4.59;21.89)	3.75(1.25)		14.22 (6.83; 21.6)	5.5(1.46)		7.88 (-1.58; 17.34)	1(0.61)		10.90 (3.50; 21.92)	11.56 	5-11.5 kya
D4b2b5	9		13.73(4.86;22.59)	3.89(1.28)		12.06 (5.26; 18.87)	4.67(1.34)		21.89 (5.52; 38.26)	2.78(1.06)		16.95 (7.64; 29.13)	16.16 	11.5-19.5 kya
D4b2b3	7		1.51(-0.2;3.22)	0.43(0.25)		1.85 (0.23; 3.46)	0.71(0.32)		2.25 (-0.87; 5.37)	0.29(0.2)		4.12 (0.40; 11.15)	2.43 	2-5 kya
D4c	69		13.66(6.46;20.86)	3.87(1.04)		19.44 (12.53; 26.35)	7.52(1.36)		16.33 (4.25; 28.41)	2.07(0.78)		19.91 (10.44; 27.89)	17.34 	11.5-19.5 kya
D4c1	35		9.88(3.25;16.52)	2.8(0.96)		18.32 (10.31; 26.32)	7.09(1.58)		6.75 (-0.91; 14.42)	0.86(0.5)		10.47 (5.41; 15.51)	11.36 	5-11.5 kya
D4c1a	17		3.53(1.34;5.72)	1(0.32)		4.71 (2.76; 6.67)	1.82(0.39)		2.78 (0.56; 5.01)	0.35(0.14)		4.16 (0.37; 11.39)	3.80 	2-5 kya
D4c1a1	4		0.88(-0.85;2.61)	0.25(0.25)		4.52 (1.17; 7.87)	1.75(0.66)		0 (0; 0)	0(0)		0.00 (0.00; 0.00)	1.35 	<2 kya
D4c1b	18		5.69(0.32;11.05)	1.61(0.78)		11.2 (4.33; 18.07)	4.33(1.36)		3.06 (0.79; 5.33)	0.39(0.15)		5.26 (1.55; 11.92)	6.30 	5-11.5 kya
D4c1b1	13		2.72(0.59;4.84)	0.77(0.31)		5.77 (2.48; 9.05)	2.23(0.65)		3.64 (0.73; 6.55)	0.46(0.19)		10.13 (1.17; 28.91)	5.57 	5-11.5 kya
D4c2	34		6.85(2.34;11.37)	1.94(0.65)		10.11 (5.3; 14.92)	3.91(0.95)		10.43 (2.6; 18.26)	1.32(0.51)		10.75 (5.92; 22.09)	9.54 	5-11.5 kya
D4c2a	9		3.14(-1.07;7.35)	0.89(0.61)		5.17 (1.03; 9.31)	2(0.82)		8.76 (-1.82; 19.33)	1.11(0.68)		3.89 (0.41; 10.15)	5.24 	5-11.5 kya
D4c2b	16		3.97(1.38;6.57)	1.12(0.37)		4.85 (2.44; 7.26)	1.87(0.48)		3.94 (0.08; 7.8)	0.5(0.25)		11.15 (4.36; 21.07)	5.98 	5-11.5 kya
D4c2c	9		2.35(0.18;4.53)	0.67(0.31)		2.3 (0.35; 4.25)	0.89(0.38)		0 (0; 0)	0(0)		0.87 (0.00; 4.72)	1.38 	<2 kya
D4e	125		13.95(8.19;19.72)	3.95(0.83)		15.9 (11.09; 20.71)	6.15(0.95)		18.26 (7.67; 28.85)	2.32(0.69)		20.53 (11.18; 32.76)	17.16 	11.5-19.5 kya
D4e1'3	43		17.33(6.59;28.07)	4.91(1.55)		22.44 (12.54; 32.35)	8.68(1.95)		18.8 (2.74; 34.87)	2.39(1.04)		20.99 (12.26; 32.69)	19.89 	19.5 kya
D4e3	10		2.35(-1.29;6)	0.67(0.53)		5.17 (0.86; 9.48)	2(0.85)		5.25 (-2.89; 13.39)	0.67(0.53)		2.78 (0.03; 9.12)	3.89 	2-5 kya
D4e1	36		15.36(4.88;25.84)	4.35(1.51)		19.63 (10.46; 28.8)	7.59(1.81)		20.23 (1.34; 39.13)	2.57(1.22)		18.77 (10.88; 29.80)	18.50 	19.5 kya
D4e1a	31		6.95(3.42;10.47)	1.97(0.51)		12.09 (8; 16.18)	4.68(0.81)		7.88 (2.31; 13.45)	1(0.36)		17.13 (8.98; 28.56)	11.01 	5-11.5 kya
D4e1a1	6		1.76(-0.23;3.76)	0.5(0.29)		5.17 (-0.3; 10.64)	2(1.08)		0 (0; 0)	0(0)		3.97 (0.48; 10.52)	2.73 	5-11.5 kya
D4e1a2	7		7.06(-1.44;15.56)	2(1.23)		12.19 (3.23; 21.14)	4.71(1.77)		2.25 (-0.87; 5.37)	0.29(0.2)		6.30 (1.27; 14.67)	6.95 	5-11.5 kya
D4e1a2a	6		0.59(-0.56;1.74)	0.17(0.17)		4.31 (-1.03; 9.65)	1.67(1.05)		1.31 (-1.26; 3.89)	0.17(0.17)		1.04 (0.00; 5.70)	1.81 	2-5 kya
D4e2	51		3.53(2.17;4.89)	1(0.2)		4.26 (2.83; 5.68)	1.65(0.28)		4.33 (2.02; 6.63)	0.55(0.15)		15.99 (8.93; 25.56)	7.03 	5-11.5 kya
D4e2a	5		1.41(-0.54;3.37)	0.4(0.28)		2.58 (0.32; 4.85)	1(0.45)		0 (0; 0)	0(0)		2.54; 0.07; 8.27)	1.33 	<2 kya
D4e2c	5		2.82(0.06;5.59)	0.8(0.4)		3.1 (0.62; 5.58)	1.2(0.49)		1.58 (-1.51; 4.66)	0.2(0.2)		5.85 (1.12; 13.96)	3.34 	2-5 kya
D4e2d	3		2.35(-0.91;5.61)	0.67(0.47)		2.58 (-0.34; 5.51)	1(0.58)		5.25 (-2.03; 12.53)	0.67(0.47)		3.68 (0.08; 11.54)	3.47 	2-5 kya
D4e5	8		6.18(0.31;12.04)	1.75(0.85)		10.02 (3.84; 16.19)	3.87(1.22)		9.85 (-2.36; 22.06)	1.25(0.79)		9.43 (3.19; 19.29)	8.87 	5-11.5 kya
D4e5a	6		2.35(0.05;4.66)	0.67(0.33)		4.74 (1.94; 7.54)	1.83(0.55)		2.63 (-1.01; 6.27)	0.33(0.24)		3.96 (0.40; 10.65)	3.42 	2-5 kya
D4e4	22		7.7(0.97;14.43)	2.18(0.97)		11.75 (5.13; 18.37)	4.55(1.31)		2.15 (-0.07; 4.37)	0.27(0.14)		9.02 (3.28; 17.10)	7.66 	5-11.5 kya
D4e4a	18		4.51(0.25;8.77)	1.28(0.62)		10.34 (4.12; 16.56)	4(1.23)		0 (0; 0)	0(0)		0.75 (0.00; 4.28)	3.90 	5-11.5 kya
D4e4a1	11		3.21(-1.24;7.66)	0.91(0.64)		7.28 (1.89; 12.68)	2.82(1.06)		0 (0; 0)	0(0)		0.00 (0.00; 0.00)	2.62 	2-5 kya
D4f	15		16.71(2.79;30.63)	4.73(2.01)		13.44 (3.19; 23.7)	5.2(2.02)		12.08 (-3.63; 27.8)	1.53(1.02)		13.86 (5.52; 25.60)	14.02 	11.5-19.5 kya
D4f1	15		2.59(1.06;4.12)	0.73(0.22)		3.1 (1.52; 4.69)	1.2(0.31)		4.2 (1.29; 7.11)	0.53(0.19)		8.74 (2.91; 16.90)	4.66 	2-5 kya
D4g	71		17.7(9.68;25.72)	5.01(1.16)		18.9 (11.75; 26.05)	7.31(1.41)		26.97 (11.89; 42.05)	3.42(0.98)		30.48 (21.10; 43.49)	23.51 	19.5 kya
D4g1	35		6.25(2.91;9.6)	1.77(0.48)		5.17 (2.69; 7.65)	2(0.49)		8.56 (2.31; 14.8)	1.09(0.4)		15.41 (7.70; 25.54)	8.85 	5-11.5 kya
D4g1a	6		2.35(-0.47;5.18)	0.67(0.41)		2.58 (0.2; 4.97)	1(0.47)		6.57 (-0.24; 13.38)	0.83(0.44)		6.69 (1.22; 15.68)	4.55 	2-5 kya
D4g1c	6		2.35(-0.47;5.18)	0.67(0.41)		2.58 (0.2; 4.97)	1(0.47)		1.31 (-1.26; 3.89)	0.17(0.17)		2.71 (0.03; 8.68)	2.24 	2-5 kya
D4g1b	8		3.97(1.38;6.57)	1.12(0.37)		3.55 (1.45; 5.65)	1.37(0.41)		2.96 (-0.39; 6.3)	0.37(0.22)		7.63 (2.31; 16.64)	4.53 	2-5 kya
D4g2	35		15(7.52;22.48)	4.25(1.08)		17.02 (10.33; 23.7)	6.58(1.32)		21.67 (9.08; 34.26)	2.75(0.82)		27.26 (18.00; 38.84)	20.24 	19.5 kya
D4g2a	25		12.14(4.56;19.72)	3.44(1.1)		13.03 (7.16; 18.9)	5.04(1.16)		22.06 (5.24; 38.89)	2.8(1.09)		22.81 (13.79; 35.10)	17.51 	11.5-19.5 kya
D4g2a1	23		8.68(4.91;12.45)	2.46(0.54)		9.48 (6.15; 12.8)	3.67(0.66)		14.78 (6.51; 23.04)	1.87(0.54)		21.96 (13.13; 33.71)	13.73 	11.5-19.5 kya
D4g2a1b	7		2.02(-1.11;5.14)	0.57(0.45)		3.69 (-0.65; 8.04)	1.43(0.86)		1.13 (-1.08; 3.33)	0.14(0.14)		2.65 (0.06; 8.40)	2.37 	2-5 kya
D4g2a1c	5		7.77(3.18;12.36)	2.2(0.66)		7.24 (3.45; 11.03)	2.8(0.75)		11.03 (2.86; 19.2)	1.4(0.53)		14.14 (6.09; 25.69)	10.05 	5-11.5 kya
D4g2b	8		10.59(3.56;17.62)	3(1.02)		12.6 (6.63; 18.58)	4.87(1.18)		15.76 (2.11; 29.41)	2(0.88)		16.71 (7.80; 28.36)	13.92 	11.5-19.5 kya
D4g2b1	6		6.47(0.94;12)	1.83(0.8)		8.62 (3.28; 13.96)	3.33(1.05)		7.88 (-0.26; 16.02)	1(0.53)		9.02 (2.17; 19.25)	8.00 	5-11.5 kya
D4h	111		26.2(16.45;35.96)	7.42(1.41)		33.88 (24.33; 43.43)	13.11(1.88)		32.8 (17.04; 48.56)	4.16(1.02)		48.65 (34.94; 65.39)	35.38 	19.5 kya
D4h1	37		15.65(8.25;23.05)	4.43(1.07)		22.22 (13.97; 30.46)	8.59(1.63)		25.98 (9.81; 42.16)	3.3(1.05)		27.77 (17.60; 41.33)	22.91 	19.5 kya
D4h1a	8		11.47(3.45;19.49)	3.25(1.16)		11.63 (4.99; 18.27)	4.5(1.31)		12.8 (0.75; 24.86)	1.62(0.78)		15.42 (6.77; 27.56)	12.83 	11.5-19.5 kya
D4h1a1	4		2.65(-0.35;5.64)	0.75(0.43)		5.17 (1.16; 9.18)	2(0.79)		7.88 (-1.58; 17.34)	1(0.61)		8.58 (2.22; 18.75)	6.07 	5-11.5 kya
D4h1a2	4		2.65(-0.35;5.64)	0.75(0.43)		2.58 (0.05; 5.12)	1(0.5)		1.97 (-1.89; 5.83)	0.25(0.25)		5.02 (0.49; 13.25)	3.06 	2-5 kya
D4h1b	4		5.29(-0.7;11.29)	1.5(0.87)		7.75 (2.38; 13.13)	3(1.06)		13.79 (-0.13; 27.71)	1.75(0.9)		11.22 (3.06; 22.57)	9.51 	5-11.5 kya
D4h1c	22		8.99(3.63;14.34)	2.55(0.77)		11.28 (6.39; 16.17)	4.36(0.96)		13.25 (3.1; 23.4)	1.68(0.66)		20.30 (10.17; 34.80)	13.46 	11.5-19.5 kya
D4h1c1	3		3.53(-0.46;7.52)	1(0.58)		3.45 (0.07; 6.82)	1.33(0.67)		2.63 (-2.52; 7.77)	0.33(0.33)		3.56 (0.14; 11.48)	3.29 	2-5 kya
D4h4	6		12.94(3.3;22.59)	3.67(1.39)		18.96 (8.89; 29.02)	7.33(1.99)		19.7 (1.32; 38.08)	2.5(1.19)		10.29 (2.48; 20.46)	15.47 	11.5-19.5 kya
D4h4a	4		6.18(-1.36;13.72)	1.75(1.09)		10.34 (1.75; 18.93)	4(1.7)		13.79 (-3.04; 30.62)	1.75(1.09)		5.97 (0.53; 15.37)	9.07 	5-11.5 kya
D4h3	61		30.84(15.28;46.41)	8.74(2.25)		31.95 (19.31; 44.59)	12.36(2.5)		40.05 (13.23; 66.86)	5.08(1.74)		41.23 (27.20; 58.75)	36.02 	19.5 kya
D4h3a	60		13.3(9.98;16.61)	3.77(0.48)		16.59 (13.26; 19.92)	6.42(0.66)		16.94 (11.71; 22.17)	2.15(0.34)		29.45 (16.54; 45.43)	19.07 	11.5-19.5 kya
D4h3a1	11		14.12(4.46;23.78)	4(1.4)		13.63 (6.17; 21.09)	5.27(1.47)		12.18 (1.39; 22.96)	1.55(0.7)		13.82 (5.92; 25.45)	13.44 	11.5-19.5 kya
D4h3a1a	9		7.06(1.21;12.91)	2(0.85)		7.47 (2.69; 12.24)	2.89(0.94)		11.38 (-0.87; 23.64)	1.44(0.79)		8.47 (2.42; 17.81)	8.60 	5-11.5 kya
D4h3a1a1	3		2.35(-0.91;5.61)	0.67(0.47)		3.45 (0.07; 6.82)	1.33(0.67)		2.63 (-2.52; 7.77)	0.33(0.33)		3.55 (0.12; 11.34)	3.00 	2-5 kya
D4h3a1a2	6		4.12(0.29;7.94)	1.17(0.55)		4.31 (1.15; 7.47)	1.67(0.62)		3.94 (-1.82; 9.7)	0.5(0.37)		2.69 (0.03; 9.03)	3.77 	2-5 kya
D4h3a2	7		6.05(1.21;10.89)	1.71(0.7)		8.49 (3.75; 13.24)	3.29(0.94)		10.13 (0.51; 19.75)	1.29(0.62)		8.60 (2.49; 17.92)	8.32 	5-11.5 kya
D4h3a4	3		2.35(-0.91;5.61)	0.67(0.47)		1.72 (-0.67; 4.11)	0.67(0.47)		0 (0; 0)	0(0)		1.23 (0.00; 6.49)	1.33 	<2 kya
D4h3a5	16		12.58(8.1;17.05)	3.56(0.65)		16.32 (10.84; 21.79)	6.31(1.08)		19.21 (10.31; 28.11)	2.44(0.58)		23.45 (10.39; 39.49)	17.89 	11.5-19.5 kya
D4h3a6	3		3.53(-0.46;7.52)	1(0.58)		10.34 (3.17; 17.51)	4(1.41)		2.63 (-2.52; 7.77)	0.33(0.33)		3.56 (0.16; 11.43)	5.02 	5-11.5 kya
D4h3a9	4		7.94(1.24;14.64)	2.25(0.97)		9.69 (3.36; 16.03)	3.75(1.25)		13.79 (-0.13; 27.71)	1.75(0.9)		11.73 (3.20; 23.33)	10.79 	11.5-19.5 kya
