# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
M9a1f1b	1.29  (0.03 , 2.56 )	4.32 (0.00, 9.17)
M9a1f2	12.45  (4.84 , 20.38 )	8.89 (3.34, 14.63)
M9a1f2a	5.88  (0.59 , 11.35 )	4.38 (0.00, 9.72)
M9a1f2b	6.55  (0.79 , 12.51 )	6.41 (0.47, 12.56)
M9a1g	4.16  (0.93 , 7.46 )	4.63 (0.38, 8.99)
M9a1h	3.46  (0.07 , 6.92 )	4.87 (0.00, 17.42)
M9a1i	3.54  (1.62 , 5.48 )	4.20 (1.25, 7.21)
M9a1j	1.72  (0.00 , 4.13 )	2.45 (0.00, 7.36)
M9a4	14.01  (7.94 , 20.29 )	15.79 (8.17, 23.71)
M9a4a	13.37  (8.32 , 18.56 )	13.78 (7.58, 20.19)
M9a4a1	9.52  (4.93 , 14.23 )	10.34 (4.62, 16.25)
M9a4a1a	10.61  (3.18 , 18.36 )	8.33 (2.44, 14.43)
M9a4a1a1	7.00  (1.04 , 13.18 )	5.24 (0.00, 10.98)
M9a4a2	9.25  (4.00 , 14.65 )	9.14 (2.28, 16.29)
M9a4a2a	4.33  (0.53 , 8.24 )	4.32 (0.09, 8.68)
M9a4a2b	6.28  (2.15 , 10.52 )	6.53 (1.29, 11.94)
M9a4a3	1.29  (0.00 , 3.84 )	1.61 (0.00, 5.65)
M9a4b	2.59  (0.00 , 5.31 )	4.26 (0.00, 8.98)
M9a5	11.79  (4.29 , 19.61 )	11.10 (1.32, 21.44)
M9a5a'b	9.35  (3.35 , 15.57 )	9.08 (0.35, 18.28)
M9a5a	5.75  (0.93 , 10.72 )	4.93 (1.03, 8.94)
M9a5a1	2.15  (0.00 , 5.00 )	1.91 (0.00, 4.63)
M9a5b	4.33  (0.00 , 8.96 )	3.53 (0.00, 10.20)
M9a6	10.31  (1.95 , 19.08 )	6.41 (0.47, 12.56)
M9a6a	5.22  (0.00 , 10.98 )	3.78 (0.00, 8.73)
M9a7	11.53  (3.67 , 19.74 )	13.14 (4.08, 22.66)
M9a7a	6.65  (1.80 , 11.65 )	5.79 (0.69, 11.05)
M9a7a1	2.91  (1.00 , 4.85 )	2.81 (0.00, 6.52)
M9b	16.78  (6.41 , 27.70 )	20.45 (7.71, 33.99)
M9b1	10.61  (2.79 , 18.79 )	11.29 (1.62, 21.51)
M9b1a	3.37  (0.72 , 6.06 )	3.23 (0.00, 6.58)
M10	33.73  (20.17 , 47.97 )	27.95 (18.59, 37.68)
M10a	25.06  (15.68 , 34.83 )	19.19 (12.19, 26.43)
M10a1	22.65  (14.77 , 30.82 )	17.81 (11.11, 24.74)
M10a1a'e	23.66  (14.24 , 33.47 )	16.89 (9.23, 24.85)
M10a1a	20.77  (13.17 , 28.65 )	15.79 (8.66, 23.18)
M10a1a1'5'6	23.34  (13.24 , 33.89 )	15.07 (10.19, 20.08)
M10a1a1	17.93  (11.18 , 24.90 )	13.65 (8.68, 18.76)
M10a1a1a	6.55  (4.50 , 8.62 )	6.59 (3.83, 9.40)
M10a1a1a1	3.90  (0.77 , 7.09 )	3.47 (0.42, 6.59)
M10a1a1a2	7.00  (1.55 , 12.63 )	5.24 (0.63, 9.99)
M10a1a1a3	1.93  (0.00 , 4.81 )	2.15 (0.00, 5.60)
M10a1a1a4	1.72  (0.00 , 4.13 )	2.15 (0.00, 6.08)
M10a1a1b	13.14  (9.21 , 17.15 )	11.48 (7.66, 15.38)
M10a1a1b1	11.42  (6.21 , 16.78 )	9.96 (5.81, 14.21)
M10a1a1b1a	9.40  (6.10 , 12.75 )	8.33 (2.92, 13.92)
M10a1a1b1a1	5.22  (0.10 , 10.50 )	4.50 (0.00, 9.23)
M10a1a1b1a2	7.89  (0.29 , 15.85 )	6.16 (0.24, 12.31)
M10a1a1b1a3'4	8.86  (4.90 , 12.90 )	7.21 (3.49, 11.02)
M10a1a1b1a3	9.44  (4.63 , 14.39 )	6.41 (2.70, 10.20)
M10a1a1b1a4	5.22  (0.10 , 10.50 )	4.02 (0.02, 8.12)
M10a1a1b1b	2.59  (0.00 , 5.68 )	3.47 (0.00, 8.54)
M10a1a1b1c	2.59  (0.00 , 6.24 )	1.97 (0.00, 5.77)
M10a1a1b2	13.12  (5.40 , 21.17 )	9.96 (5.57, 14.46)
M10a1a1b2a	3.46  (0.00 , 8.06 )	2.87 (0.00, 6.21)
M10a1a1b2a1	1.55  (0.00 , 3.31 )	1.85 (0.00, 4.45)
M10a1a1b2b	6.28  (0.47 , 12.31 )	5.61 (0.75, 10.62)
M10a1a1b3	6.55  (1.90 , 11.33 )	7.65 (1.67, 13.85)
M10a1a1b3a	3.24  (0.40 , 6.14 )	4.75 (0.00, 10.35)
M10a1a1b4	6.10  (0.69 , 11.71 )	7.71 (0.00, 18.51)
M10a1a1b5	6.10  (0.96 , 11.42 )	6.47 (0.65, 12.50)
M10a1a1b7'8	13.37  (7.28 , 19.67 )	10.40 (3.96, 17.08)
M10a1a1b7	10.61  (3.18 , 18.36 )	6.78 (1.65, 12.07)
M10a1a1b7a	6.10  (0.43 , 11.99 )	4.14 (0.26, 8.12)
M10a1a1b8	6.74  (2.68 , 10.90 )	6.10 (2.05, 10.25)
M10a1a1b8a	5.22  (0.00 , 10.79 )	4.14 (0.00, 8.61)
M10a1a1b8b	7.89  (1.54 , 14.49 )	4.93 (0.91, 9.06)
M10a1a1c	10.61  (4.64 , 16.79 )	8.33 (3.51, 13.29)
M10a1a1c1	5.22  (1.03 , 9.52 )	5.54 (0.92, 10.30)
M10a1a1c2	6.55  (0.79 , 12.51 )	4.50 (0.26, 8.87)
M10a1a5	6.55  (0.79 , 12.51 )	6.78 (0.71, 13.07)
M10a1a6	9.25  (2.34 , 16.43 )	9.58 (3.06, 16.36)
M10a1a2	6.01  (2.26 , 9.84 )	6.47 (3.00, 10.01)
M10a1a2a	4.37  (2.05 , 6.73 )	4.75 (2.49, 7.04)
M10a1a2a1	2.15  (0.26 , 4.06 )	1.97 (0.00, 4.10)
M10a1a2b	1.55  (0.00 , 3.31 )	1.91 (0.00, 4.51)
M10a1a3	6.13  (3.17 , 9.15 )	5.79 (3.52, 8.10)
M10a1a3a	9.12  (2.82 , 15.66 )	5.18 (2.91, 7.47)
M10a1a3a1	4.55  (0.62 , 8.60 )	3.47 (1.12, 5.86)
M10a1a4	7.29  (3.41 , 11.27 )	7.71 (3.38, 12.15)
M10a1a4a	6.10  (0.96 , 11.42 )	5.54 (1.39, 9.81)
M10a1a4b	4.33  (0.53 , 8.24 )	3.96 (0.31, 7.69)
M10a1e	2.59  (0.00 , 6.24 )	2.33 (0.00, 6.87)
M10a1b	9.76  (7.08 , 12.48 )	9.58 (7.14, 12.07)
M10a1b1	6.28  (3.00 , 9.63 )	5.91 (2.10, 9.82)
M10a1b2	9.12  (4.54 , 13.83 )	6.65 (4.01, 9.34)
M10a1b2a	2.59  (0.32 , 4.89 )	3.59 (0.42, 6.83)
M10a1b3	4.77  (1.46 , 8.16 )	6.04 (1.75, 10.44)
M10a1b4	5.22  (1.11 , 9.43 )	4.50 (0.50, 8.62)
M10a1b4a	3.46  (0.07 , 6.92 )	2.93 (0.00, 6.03)
M10a1b5	2.59  (0.00 , 5.57 )	2.93 (0.00, 7.37)
M10a1c	9.74  (6.01 , 13.55 )	10.15 (5.64, 14.78)
M10a1c1	6.01  (3.22 , 8.85 )	6.59 (2.41, 10.88)
M10a1c2	8.97  (2.80 , 15.38 )	7.46 (2.78, 12.27)
M10a1c3	7.89  (1.54 , 14.49 )	6.65 (1.06, 12.44)
M10a1c4	5.22  (0.10 , 10.50 )	6.41 (0.82, 12.19)
M10a1d	11.79  (5.06 , 18.78 )	13.91 (5.17, 23.07)
M10a1d1	5.75  (1.76 , 9.84 )	5.85 (1.10, 10.74)
M10a1d2	7.89  (1.54 , 14.49 )	8.33 (0.69, 16.34)
M10a2	7.29  (3.50 , 11.17 )	8.46 (0.57, 16.72)
M10a2a	2.59  (0.00 , 5.57 )	3.23 (0.00, 7.07)
M10b	16.88  (6.73 , 27.56 )	21.12 (11.29, 31.40)
M10b1	5.22  (1.77 , 8.74 )	6.16 (1.17, 11.31)
M11	25.88  (16.66 , 35.48 )	27.88 (16.47, 39.85)
M11a'b'd	22.76  (14.88 , 30.93 )	25.63 (16.75, 34.86)
M11a'b	19.52  (13.31 , 25.92 )	22.12 (14.64, 29.86)
M11b	16.58  (10.36 , 22.99 )	19.66 (13.27, 26.24)
M11b1	18.15  (10.03 , 26.60 )	18.01 (11.80, 24.41)
M11b1a	10.61  (4.56 , 16.87 )	12.05 (3.05, 21.52)
M11b1a1	4.55  (1.99 , 7.17 )	4.81 (1.61, 8.08)
M11b1a2	4.28  (2.47 , 6.12 )	4.57 (2.19, 6.98)
M11b1b	13.02  (7.30 , 18.92 )	11.54 (6.15, 17.11)
M11b1b1	11.53  (4.26 , 19.09 )	8.71 (3.52, 14.06)
M11b1b2	3.46  (0.07 , 6.92 )	3.59 (0.00, 7.69)
M11b2	6.06  (2.49 , 9.70 )	5.67 (2.45, 8.95)
M11b2a	4.55  (1.42 , 7.76 )	3.96 (1.01, 6.96)
M11b3	5.22  (1.03 , 9.52 )	5.85 (0.00, 13.87)
M11a	13.93  (10.26 , 17.68 )	12.63 (8.29, 17.06)
M11a1	7.35  (1.32 , 13.61 )	8.33 (2.56, 14.30)
M11a1a	6.55  (1.08 , 12.20 )	6.65 (1.30, 12.19)
M11a2	13.37  (8.28 , 18.60 )	10.85 (4.39, 17.54)
M11a2a	7.22  (3.77 , 10.74 )	7.02 (2.83, 11.33)
M11a2b	12.38  (6.52 , 18.44 )	8.89 (4.05, 13.87)
M11a2b1	8.28  (2.81 , 13.93 )	6.10 (2.16, 10.13)
M11a2b1a	1.93  (0.00 , 4.16 )	2.39 (0.00, 5.48)
M11a2b1b	7.00  (1.55 , 12.63 )	4.99 (1.20, 8.88)
M11a2c	0.86  (0.00 , 2.55 )	2.09 (0.00, 6.14)
M11a3	8.79  (4.69 , 13.00 )	8.83 (0.00, 19.18)
M11a3a	7.89  (2.69 , 13.26 )	8.83 (1.63, 16.35)
M11a4	6.55  (1.39 , 11.87 )	8.14 (0.62, 16.01)
M11a5	7.89  (1.21 , 14.85 )	5.48 (0.00, 14.88)
M11a6	7.89  (2.53 , 13.43 )	7.58 (3.02, 12.27)
M11a6a	4.16  (0.93 , 7.46 )	3.96 (0.66, 7.33)
M11a7	12.45  (5.81 , 19.33 )	10.85 (3.68, 18.31)
M11a8	2.59  (0.00 , 6.24 )	3.41 (0.00, 9.95)
M11a9'10	8.37  (5.67 , 11.11 )	9.14 (5.50, 12.87)
M11a9	2.59  (0.00 , 5.57 )	2.87 (0.00, 6.70)
M11a10	5.22  (0.39 , 10.19 )	6.16 (0.47, 12.06)
M11d	13.65  (8.51 , 18.93 )	12.82 (7.26, 18.55)
M11d1	11.53  (3.47 , 19.95 )	8.46 (3.04, 14.05)
M11d2	7.89  (1.54 , 14.49 )	7.77 (1.90, 13.85)
M11d3	5.22  (0.10 , 10.50 )	6.04 (0.00, 14.82)
M11d4	5.22  (0.10 , 10.50 )	5.18 (0.00, 11.29)
M11c	23.05  (13.08 , 33.49 )	20.85 (11.91, 30.17)
M11c1	19.37  (10.55 , 28.57 )	16.50 (8.25, 25.11)
M11c1a	17.11  (9.31 , 25.23 )	13.91 (5.29, 22.94)
M11c1a1	9.93  (3.37 , 16.74 )	9.39 (2.05, 17.06)
M11c1a1a	3.90  (0.00 , 8.42 )	4.02 (0.00, 9.35)
M11c1a1b	2.59  (0.00 , 6.24 )	2.45 (0.00, 7.11)
M12'G	47.64  (33.43 , 62.45 )	54.93 (47.28, 62.73)
G	33.33  (24.37 , 42.59 )	34.10 (25.04, 43.46)
G1	20.20  (14.06 , 26.53 )	20.56 (13.93, 27.41)
G1a	17.31  (10.31 , 24.55 )	14.18 (10.38, 18.07)
G1a1	11.08  (6.85 , 15.41 )	10.94 (8.19, 13.74)
G1a1a	7.92  (3.95 , 11.98 )	7.25 (4.81, 9.74)
G1a1a1	5.22  (3.56 , 6.89 )	5.56 (3.86, 7.28)
G1a1a1a	4.92  (0.63 , 9.34 )	3.46 (0.01, 6.99)
G1a1a1a1	2.06  (0.04 , 4.12 )	1.57 (0.00, 3.24)
G1a1a1b	2.59  (0.39 , 4.82 )	2.79 (0.41, 5.20)
G1a1a1c	7.89  (1.66 , 14.36 )	4.57 (2.28, 6.89)
G1a1a1c1	3.90  (0.00 , 8.42 )	2.36 (0.11, 4.65)
G1a1a1d	5.51  (1.85 , 9.26 )	4.63 (2.46, 6.83)
G1a1a2	7.89  (4.20 , 11.67 )	6.25 (3.82, 8.72)
G1a1a2a	1.29  (0.00 , 3.09 )	1.45 (0.00, 5.05)
G1a1a2b	7.00  (0.57 , 13.68 )	4.63 (1.51, 7.82)
G1a1a2c	3.90  (0.00 , 8.42 )	3.83 (0.00, 7.86)
G1a1a3	4.33  (0.53 , 8.24 )	4.57 (0.00, 10.50)
G1a1a4	5.22  (0.10 , 10.50 )	4.94 (0.98, 9.00)
G1a1b	7.22  (1.03 , 13.65 )	7.63 (2.52, 12.90)
G1a1b1	2.59  (0.00 , 5.57 )	2.66 (0.00, 6.79)
G1a1c	7.89  (3.01 , 12.92 )	6.44 (2.32, 10.66)
G1a1c1	7.89  (3.59 , 12.31 )	5.56 (1.83, 9.39)
G1a1d	7.89  (3.38 , 12.53 )	7.32 (3.18, 11.56)
G1a1e	7.22  (2.20 , 12.39 )	4.57 (0.00, 10.25)
G1a1f	7.89  (1.21 , 14.85 )	5.81 (0.88, 10.90)
G1a1g	7.00  (2.11 , 12.03 )	7.76 (3.00, 12.65)
G1a1h	3.33  (0.01 , 6.73 )	6.38 (1.54, 11.35)
G1a1i	7.89  (1.54 , 14.49 )	5.00 (0.92, 9.19)
G1a1i1	3.46  (0.07 , 6.92 )	2.60 (0.00, 5.50)
G1a1j	4.46  (1.72 , 7.25 )	4.94 (1.10, 8.88)
G1a2'3'4	11.49  (6.26 , 16.87 )	11.33 (6.60, 16.19)
G1a2	8.96  (3.81 , 14.27 )	9.41 (3.88, 15.12)
G1a2a	6.07  (2.10 , 10.14 )	6.31 (2.08, 10.66)
G1a2a1	4.04  (0.83 , 7.32 )	3.71 (0.60, 6.87)
G1a2a2	0.70  (0.00 , 1.50 )	1.93 (0.00, 4.21)
G1a2b	2.59  (0.00 , 5.57 )	2.91 (0.00, 7.29)
G1a2c	2.59  (0.00 , 6.24 )	2.18 (0.00, 8.64)
G1a2d	6.10  (0.43 , 11.99 )	6.81 (0.55, 13.33)
G1a3	6.10  (1.72 , 10.61 )	5.32 (0.28, 10.51)
G1a4	8.79  (3.47 , 14.29 )	7.76 (2.53, 13.16)
G1a4a	5.22  (0.43 , 10.15 )	4.76 (0.57, 9.06)
G1a5	10.61  (4.16 , 17.30 )	10.30 (4.74, 16.04)
G1a5a	3.11  (0.00 , 6.70 )	3.34 (0.00, 11.86)
G1a5b	2.59  (0.00 , 6.44 )	1.81 (0.00, 4.70)
G1a6'7	10.15  (5.03 , 15.43 )	11.97 (5.51, 18.68)
G1a6	3.11  (0.00 , 7.52 )	4.82 (0.00, 11.13)
G1a7	6.82  (1.07 , 12.77 )	6.44 (0.54, 12.56)
G1b	10.71  (5.43 , 16.16 )	8.01 (0.04, 16.38)
G1b1'2'4	11.99  (5.13 , 19.11 )	6.94 (2.33, 11.68)
G1b1	9.93  (1.33 , 18.96 )	4.20 (0.85, 7.62)
G1b1a	5.22  (0.00 , 11.73 )	2.54 (0.00, 5.44)
G1b2	5.22  (0.10 , 10.50 )	3.89 (0.00, 8.30)
G1b4	1.72  (0.00 , 4.13 )	3.22 (0.00, 7.36)
G1b3	4.33  (0.53 , 8.24 )	4.94 (0.00, 11.64)
G1c	13.72  (10.19 , 17.32 )	14.91 (10.08, 19.85)
G1c1	10.29  (5.13 , 15.60 )	10.37 (4.93, 15.97)
G1c1a	6.74  (2.82 , 10.76 )	6.00 (1.42, 10.72)
G1c1a1	4.33  (0.53 , 8.24 )	4.08 (0.49, 7.75)
G1c1a2	6.55  (1.72 , 11.53 )	6.00 (1.18, 10.97)
G1c1b	6.70  (2.51 , 11.00 )	7.95 (3.31, 12.72)
G1c1b1	3.11  (0.00 , 6.70 )	3.52 (0.00, 7.30)
G1c2	6.15  (3.75 , 8.58 )	6.81 (3.65, 10.04)
G1c2a	3.46  (0.07 , 6.92 )	3.83 (0.13, 7.62)
G1c3	4.55  (0.00 , 9.65 )	5.07 (0.00, 13.29)
G1c3a	3.46  (0.00 , 7.71 )	2.91 (0.00, 8.03)
G1c4	3.90  (0.01 , 7.88 )	5.69 (0.64, 10.90)
G1c5	9.70  (5.65 , 13.84 )	9.47 (5.52, 13.51)
G1c5a	7.12  (2.86 , 11.50 )	6.69 (2.33, 11.17)
G1c5b	7.51  (2.37 , 12.81 )	7.38 (3.24, 11.63)
G1c5b1	3.90  (0.77 , 7.09 )	4.32 (0.62, 8.12)
G1c5c	7.22  (2.54 , 12.03 )	7.38 (3.00, 11.88)
G1c6	12.18  (6.15 , 18.42 )	12.75 (5.77, 20.01)
G1c6a	9.25  (4.95 , 13.65 )	10.24 (4.93, 15.71)
G1c6a1	5.60  (2.38 , 8.87 )	6.56 (2.56, 10.67)
G1c7	3.63  (0.58 , 6.75 )	3.34 (0.36, 6.38)
G1d	15.40  (7.75 , 23.37 )	17.28 (9.87, 24.97)
G1d1	5.22  (2.25 , 8.24 )	4.88 (1.63, 8.20)
G1d2	8.79  (3.59 , 14.15 )	11.07 (3.43, 19.05)
G1d2a	8.79  (2.77 , 15.04 )	8.77 (1.71, 16.14)
G1d2b	4.77  (0.68 , 8.97 )	6.88 (0.00, 15.45)
G2	31.83  (20.29 , 43.88 )	26.92 (17.99, 36.19)
G2a'c'd'e	28.25  (17.44 , 39.55 )	22.60 (14.99, 30.46)
G2a	20.19  (14.11 , 26.44 )	17.55 (11.26, 24.03)
G2a1	18.26  (11.38 , 25.38 )	15.37 (8.28, 22.72)
G2a1b	13.37  (6.60 , 20.39 )	11.59 (7.59, 15.68)
G2a1b1	8.57  (4.31 , 12.93 )	7.95 (2.95, 13.10)
G2a1b1a	6.55  (2.07 , 11.15 )	5.81 (1.95, 9.77)
G2a1b1a1	3.46  (0.07 , 6.92 )	2.85 (0.00, 6.49)
G2a1b1b	4.33  (0.00 , 8.96 )	4.69 (0.00, 9.62)
G2a1b2	9.25  (2.34 , 16.43 )	7.95 (1.99, 14.12)
G2a1c'l'm	8.22  (4.09 , 12.45 )	8.77 (5.69, 11.91)
G2a1c	3.24  (1.86 , 4.63 )	5.07 (2.05, 8.14)
G2a1c1	5.22  (1.16 , 9.38 )	3.28 (0.54, 6.07)
G2a1c2	4.33  (0.00 , 8.96 )	3.40 (0.00, 11.80)
G2a1l	5.66  (0.00 , 11.78 )	7.00 (2.99, 11.12)
G2a1l1	5.22  (0.00 , 12.05 )	7.00 (0.00, 14.55)
G2a1m	7.89  (3.35 , 12.56 )	6.25 (2.62, 9.97)
G2a1f	16.58  (8.86 , 24.60 )	12.04 (8.40, 15.75)
G2a1f1	9.25  (4.00 , 14.65 )	7.76 (2.53, 13.16)
G2a1f2	7.00  (2.11 , 12.03 )	6.31 (1.96, 10.79)
G2a1g	8.79  (4.06 , 13.66 )	10.43 (2.46, 18.78)
G2a1g1	3.24  (0.40 , 6.14 )	5.44 (0.00, 11.27)
G2a1g2	7.89  (1.54 , 14.49 )	8.01 (0.00, 16.77)
G2a1g2a	2.59  (0.00 , 5.57 )	2.73 (0.00, 11.59)
G2a1h	9.52  (3.96 , 15.25 )	10.30 (4.50, 16.30)
G2a1h1	6.10  (0.96 , 11.42 )	6.81 (0.00, 15.13)
G2a1j	12.79  (7.00 , 18.76 )	9.47 (5.89, 13.13)
G2a1j1	10.19  (5.05 , 15.48 )	8.33 (4.65, 12.09)
G2a1j1a	6.36  (2.12 , 10.71 )	5.13 (0.00, 11.58)
G2a1j1a1	3.46  (0.07 , 6.92 )	3.22 (0.00, 6.50)
G2a1j1b	4.33  (0.00 , 8.96 )	5.50 (0.93, 10.20)
G2a1j1c	7.89  (1.54 , 14.49 )	6.50 (1.78, 11.36)
G2a1j2	9.70  (3.05 , 16.61 )	7.82 (3.79, 11.95)
G2a1j2a	3.24  (0.00 , 7.14 )	2.66 (0.00, 5.81)
G2a1k	5.22  (0.10 , 10.50 )	7.44 (0.00, 16.04)
G2a1n'o'p'q	10.19  (4.20 , 16.39 )	9.15 (4.36, 14.08)
G2a1n	8.34  (2.27 , 14.64 )	6.19 (0.00, 12.94)
G2a1n1	1.72  (0.00 , 4.13 )	1.45 (0.00, 8.50)
G2a1o	1.47  (0.00 , 3.26 )	3.89 (0.00, 15.26)
G2a1p	2.59  (0.05 , 5.16 )	2.42 (0.00, 5.07)
G2a1q	3.59  (0.00 , 7.80 )	5.00 (1.28, 8.82)
G2a1q1	1.47  (0.00 , 3.26 )	2.12 (0.00, 4.76)
G2a1q2	0.59  (0.00 , 1.46 )	1.93 (0.00, 5.31)
G2a1r	9.76  (3.56 , 16.18 )	8.07 (3.19, 13.10)
G2a1r1	4.42  (1.14 , 7.77 )	3.89 (0.31, 7.56)
G2a1s	2.59  (0.05 , 5.16 )	4.20 (0.00, 11.12)
G2a1t	12.45  (5.81 , 19.33 )	8.96 (4.42, 13.63)
G2a1u	6.55  (0.79 , 12.51 )	6.19 (0.53, 12.05)
G2a1v	9.25  (2.34 , 16.43 )	6.88 (1.55, 12.38)
G2a1w	8.34  (2.52 , 14.37 )	7.38 (1.80, 13.15)
G2a1w1	2.59  (0.00 , 5.57 )	2.60 (0.00, 6.12)
G2a1w2	3.46  (0.00 , 7.71 )	3.09 (0.00, 8.97)
G2a1x	4.69  (0.72 , 8.75 )	5.81 (0.00, 13.31)
G2a1x1	2.59  (0.00 , 5.57 )	2.85 (0.00, 7.60)
G2a1d	12.21  (6.46 , 18.14 )	9.60 (4.91, 14.41)
G2a1d1	8.16  (2.86 , 13.63 )	5.44 (1.82, 9.14)
G2a1d1a	7.70  (2.34 , 13.24 )	4.76 (2.11, 7.45)
G2a1d1a1	5.42  (2.94 , 7.94 )	4.20 (2.04, 6.39)
G2a1d1a1a	2.59  (0.00 , 6.24 )	2.30 (0.00, 5.19)
G2a1d1a1b	4.33  (0.00 , 8.96 )	3.09 (0.71, 5.51)
G2a1d1b	1.29  (0.00 , 3.84 )	1.57 (0.00, 4.57)
G2a1d2	6.78  (3.16 , 10.48 )	7.00 (3.11, 10.99)
G2a1d2a	4.59  (1.89 , 7.34 )	5.00 (2.23, 7.83)
G2a1d2a1	2.06  (0.04 , 4.12 )	2.24 (0.22, 4.28)
G2a1d2a2	3.46  (0.07 , 6.92 )	3.15 (0.00, 6.68)
G2a1d2a3	2.59  (0.00 , 6.24 )	2.60 (0.00, 5.87)
G2a1d2a4	2.59  (0.00 , 6.24 )	2.60 (0.00, 5.87)
G2a1d2b	9.70  (2.94 , 16.73 )	5.94 (2.07, 9.90)
G2a1e'ae	10.15  (4.53 , 15.96 )	11.39 (4.95, 18.08)
G2a1e	2.59  (0.00 , 5.57 )	3.52 (0.00, 7.55)
G2a1ae	12.45  (4.54 , 20.70 )	9.73 (3.58, 16.09)
G2a1i	14.17  (5.76 , 22.95 )	11.72 (6.24, 17.37)
G2a1i1	8.97  (2.30 , 15.92 )	7.44 (2.46, 12.58)
G2a1i1a	3.24  (0.40 , 6.14 )	3.89 (0.00, 7.93)
G2a1af	5.22  (0.10 , 10.50 )	7.70 (0.00, 16.05)
G2a1y-ad	8.13  (5.96 , 10.32 )	8.58 (5.99, 11.21)
G2a1y	6.10  (1.56 , 10.78 )	6.19 (1.72, 10.78)
G2a1z	3.90  (1.34 , 6.50 )	4.57 (1.69, 7.51)
G2a1z1	2.59  (0.00 , 5.57 )	2.48 (0.00, 5.14)
G2a1aa	6.55  (1.39 , 11.87 )	6.31 (1.72, 11.04)
G2a1aa1	4.33  (0.53 , 8.24 )	4.20 (0.00, 8.74)
G2a1ab	4.69  (0.99 , 8.47 )	4.02 (0.91, 7.19)
G2a1ac	5.70  (2.45 , 9.02 )	5.44 (2.30, 8.64)
G2a1ac1	5.22  (0.00 , 11.14 )	3.77 (0.31, 7.31)
G2a1ad	1.72  (0.00 , 4.13 )	1.81 (0.00, 5.79)
G2a1ah'ai	7.55  (2.40 , 12.87 )	10.11 (1.44, 19.23)
G2a1ah	2.59  (0.00 , 5.31 )	3.71 (0.00, 9.10)
G2a1ai	3.46  (0.07 , 6.92 )	3.40 (0.00, 8.54)
G2a1ag	4.20  (1.33 , 7.12 )	5.19 (0.00, 11.90)
G2a2-7	16.42  (10.71 , 22.29 )	16.09 (10.86, 21.47)
G2a2	5.19  (3.23 , 7.17 )	5.88 (3.81, 7.97)
G2a2a	3.63  (1.59 , 5.71 )	3.58 (0.60, 6.63)
G2a2b	6.94  (2.86 , 11.13 )	5.32 (3.14, 7.52)
G2a2b1	3.63  (0.93 , 6.38 )	3.28 (0.65, 5.95)
G2a2c	1.55  (0.00 , 3.31 )	2.24 (0.00, 6.48)
G2a2d	5.22  (0.10 , 10.50 )	3.40 (0.30, 6.56)
G2a3	8.23  (3.48 , 13.12 )	8.01 (2.65, 13.55)
G2a3a	3.46  (0.07 , 6.92 )	3.03 (0.00, 6.31)
G2a3b	1.72  (0.00 , 4.13 )	3.40 (0.00, 9.41)
G2a4	9.63  (5.93 , 13.41 )	8.58 (5.38, 11.84)
G2a4a	6.62  (1.99 , 11.39 )	6.25 (3.34, 9.22)
G2a4a1	3.90  (2.26 , 5.55 )	4.76 (2.23, 7.33)
G2a4b	4.08  (1.45 , 6.77 )	4.45 (0.85, 8.12)
G2a4c	1.72  (0.03 , 3.42 )	2.54 (0.00, 5.32)
G2a4d	9.25  (1.44 , 17.42 )	5.32 (0.99, 9.76)
G2a4e	6.74  (2.30 , 11.30 )	5.94 (2.07, 9.90)
G2a4e1	2.59  (0.00 , 5.57 )	2.36 (0.00, 5.38)
G2a4e2	2.59  (0.00 , 6.24 )	1.81 (0.00, 6.16)
G2a4f	3.11  (0.62 , 5.64 )	3.65 (0.19, 7.18)
G2a5	9.20  (3.17 , 15.44 )	8.07 (1.40, 15.02)
G2a5a	4.22  (0.90 , 7.62 )	3.77 (0.00, 8.05)
G2a5b	6.43  (1.94 , 11.05 )	5.63 (1.29, 10.08)
G2a5b1	4.52  (2.89 , 6.16 )	4.82 (2.65, 7.02)
G2a5b1a	4.84  (1.99 , 7.73 )	3.95 (1.79, 6.14)
G2a5b1b	4.33  (0.53 , 8.24 )	2.66 (0.00, 6.55)
G2a6	4.33  (1.98 , 6.72 )	4.63 (1.75, 7.57)
G2a7	13.37  (4.95 , 22.18 )	10.88 (4.21, 17.80)
G2a8	9.25  (4.31 , 14.32 )	9.92 (1.26, 19.03)
G2a8a	4.16  (0.00 , 8.85 )	4.45 (0.00, 11.13)
G2a8b	6.10  (1.93 , 10.39 )	8.20 (0.00, 24.37)
G2a8b1	3.46  (1.05 , 5.90 )	3.95 (0.02, 7.99)
G2a9	9.52  (5.05 , 14.10 )	11.52 (5.32, 17.95)
G2a9a	6.55  (1.39 , 11.87 )	7.07 (0.43, 13.98)
G2a9b	3.46  (0.07 , 6.92 )	4.63 (0.00, 10.31)
G2a10	13.37  (4.86 , 22.28 )	14.77 (6.85, 23.04)
G2a11	3.90  (0.00 , 8.42 )	5.63 (0.00, 18.54)
G2c	15.42  (6.29 , 25.00 )	18.08 (9.14, 27.42)
G2c1	12.97  (4.92 , 21.39 )	15.17 (5.38, 25.47)
G2c1a	7.27  (3.15 , 11.49 )	8.45 (4.41, 12.60)
