# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
M7b1a1a3b'c	10.13  (4.95 , 15.46 )	10.24 (4.18, 16.52)
M7b1a1a3b	7.37  (3.14 , 11.71 )	6.72 (3.33, 10.17)
M7b1a1a3b1	4.25  (2.40 , 6.13 )	5.38 (3.14, 7.66)
M7b1a1a3b1a	2.88  (0.76 , 5.02 )	3.49 (0.84, 6.20)
M7b1a1a3b2	5.96  (1.59 , 10.45 )	4.75 (1.19, 8.40)
M7b1a1a3c	4.80  (1.75 , 7.91 )	4.98 (1.97, 8.06)
M7b1a1a3c1	3.35  (1.36 , 5.37 )	3.83 (0.84, 6.89)
M7b1a1a3c2	6.55  (0.79 , 12.51 )	3.89 (0.90, 6.95)
M7b1a1a3d	6.82  (1.65 , 12.15 )	7.88 (2.69, 13.25)
M7b1a1a3d1	4.55  (1.17 , 8.02 )	5.90 (1.10, 10.86)
M7b1a1a4	3.24  (0.40 , 6.14 )	4.18 (0.00, 8.96)
M7b1a1a5	5.22  (0.43 , 10.15 )	6.72 (0.00, 19.59)
M7b1a1a6	7.00  (2.11 , 12.03 )	5.38 (0.71, 10.20)
M7b1a1a7	7.00  (1.55 , 12.63 )	6.31 (2.05, 10.69)
M7b1a1a7a	5.22  (1.37 , 9.16 )	4.98 (0.97, 9.09)
M7b1a1b	12.15  (4.41 , 20.24 )	10.84 (3.08, 18.95)
M7b1a1b1	6.78  (4.63 , 8.95 )	7.42 (5.48, 9.37)
M7b1a1b1a	4.68  (3.15 , 6.22 )	5.73 (3.82, 7.67)
M7b1a1b1a1	6.28  (1.67 , 11.03 )	4.58 (1.79, 7.42)
M7b1a1b1a2	2.59  (0.00 , 5.57 )	2.87 (0.00, 6.81)
M7b1a1b1b	5.22  (2.22 , 8.27 )	5.73 (3.15, 8.36)
M7b1a1b1c	3.46  (0.00 , 7.71 )	4.41 (0.41, 8.50)
M7b1a1b1d	2.85  (1.01 , 4.70 )	3.89 (0.90, 6.95)
M7b1a1b1e	4.69  (0.00 , 9.74 )	4.87 (0.20, 9.67)
M7b1a1b1e1	1.93  (0.00 , 4.81 )	1.90 (0.00, 4.69)
M7b1a1b1f	5.81  (2.46 , 9.22 )	5.21 (2.41, 8.06)
M7b1a1b1f1	2.59  (0.00 , 5.75 )	2.70 (0.00, 6.18)
M7b1a1b1g	8.28  (3.01 , 13.71 )	5.15 (1.80, 8.58)
M7b1a1b1g1	3.63  (0.58 , 6.75 )	3.26 (0.00, 6.65)
M7b1a1b1g2	5.22  (0.10 , 10.50 )	2.58 (0.00, 6.06)
M7b1a1ad	3.02  (0.48 , 5.61 )	3.66 (0.02, 7.40)
M7b1a1ae	8.28  (2.33 , 14.44 )	10.54 (5.26, 15.98)
M7b1a1c-ac	11.35  (9.36 , 13.36 )	11.50 (9.75, 13.26)
M7b1a1c	9.86  (4.71 , 15.16 )	10.42 (7.76, 13.12)
M7b1a1c1	9.05  (3.81 , 14.46 )	7.77 (4.47, 11.13)
M7b1a1c1a	7.89  (2.15 , 13.84 )	5.50 (1.92, 9.16)
M7b1a1c1b	5.98  (0.79 , 11.34 )	6.25 (2.43, 10.16)
M7b1a1c1b1	3.39  (1.28 , 5.53 )	4.87 (1.08, 8.74)
M7b1a1c2'3'4	5.18  (2.45 , 7.96 )	5.90 (3.54, 8.30)
M7b1a1c2	1.49  (0.59 , 2.38 )	3.66 (1.11, 6.26)
M7b1a1c3	4.33  (0.00 , 8.96 )	3.78 (0.79, 6.83)
M7b1a1c4	1.77  (0.72 , 2.83 )	3.32 (1.22, 5.46)
M7b1a1d	6.10  (2.54 , 9.75 )	6.54 (2.16, 11.04)
M7b1a1d1	2.59  (1.20 , 3.98 )	4.01 (1.45, 6.61)
M7b1a1d2	3.90  (0.01 , 7.88 )	3.61 (0.62, 6.65)
M7b1a1d2a	3.24  (0.40 , 6.14 )	2.53 (0.21, 4.88)
M7b1a1d3	3.46  (0.00 , 7.71 )	4.01 (0.00, 8.78)
M7b1a1e	9.05  (4.79 , 13.41 )	8.30 (5.90, 10.73)
M7b1a1e1	5.86  (3.77 , 7.98 )	7.07 (4.91, 9.25)
M7b1a1e1a	1.93  (0.00 , 4.33 )	2.81 (0.00, 10.79)
M7b1a1e1b	2.04  (0.03 , 4.08 )	3.83 (0.73, 7.00)
M7b1a1e1b1	0.73  (0.00 , 1.76 )	1.68 (0.00, 4.46)
M7b1a1e1c	2.06  (0.00 , 4.58 )	2.36 (0.00, 9.27)
M7b1a1e1d	2.59  (0.00 , 6.44 )	1.62 (0.00, 3.96)
M7b1a1e1e	5.22  (1.58 , 8.94 )	5.10 (1.86, 8.40)
M7b1a1e2	7.37  (2.74 , 12.14 )	6.31 (3.72, 8.95)
M7b1a1e2a	2.41  (1.06 , 3.78 )	3.09 (0.99, 5.23)
M7b1a1e2b	5.22  (0.10 , 10.50 )	3.09 (0.44, 5.79)
M7b1a1f	11.13  (7.59 , 14.75 )	10.07 (7.53, 12.64)
M7b1a1f1	5.66  (1.01 , 10.45 )	6.37 (2.33, 10.51)
M7b1a1f1a	3.63  (1.59 , 5.71 )	4.81 (1.36, 8.34)
M7b1a1f2	3.79  (1.75 , 5.87 )	4.75 (1.41, 8.17)
M7b1a1f3	8.43  (1.86 , 15.27 )	7.94 (2.86, 13.19)
M7b1a1f4	6.10  (1.56 , 10.78 )	6.89 (1.07, 12.93)
M7b1a1f5	7.55  (2.32 , 12.95 )	8.06 (3.08, 13.19)
M7b1a1f5a	3.24  (0.40 , 6.14 )	3.66 (0.00, 8.09)
M7b1a1f6	4.33  (0.34 , 8.43 )	4.35 (0.80, 7.99)
M7b1a1f6a	1.93  (0.00 , 4.16 )	2.47 (0.00, 5.27)
M7b1a1f7	11.90  (6.15 , 17.85 )	9.47 (6.71, 12.28)
M7b1a1f7a	1.72  (0.00 , 4.13 )	1.62 (0.00, 3.96)
M7b1a1g	6.84  (4.26 , 9.46 )	7.18 (4.24, 10.18)
M7b1a1g1	4.33  (0.53 , 8.24 )	4.58 (0.47, 8.80)
M7b1a1h	7.51  (4.77 , 10.30 )	7.65 (4.25, 11.12)
M7b1a1h1	3.76  (1.94 , 5.61 )	4.81 (2.46, 7.19)
M7b1a1h1a	4.33  (0.00 , 8.96 )	2.07 (0.00, 7.02)
M7b1a1h1b	3.24  (0.00 , 6.67 )	3.09 (0.23, 6.02)
M7b1a1h2	3.33  (0.92 , 5.79 )	3.15 (0.39, 5.96)
M7b1a1h3	3.33  (0.52 , 6.20 )	3.32 (0.00, 7.73)
M7b1a1h4	4.69  (0.47 , 9.02 )	4.87 (0.00, 9.90)
M7b1a1h4a	3.46  (0.07 , 6.92 )	2.81 (0.00, 8.93)
M7b1a1h5	3.06  (0.75 , 5.41 )	4.35 (0.80, 7.99)
M7b1a1h5a	1.29  (0.00 , 3.09 )	1.85 (0.00, 8.16)
M7b1a1i	6.55  (2.23 , 10.99 )	9.47 (4.90, 14.17)
M7b1a1i1	1.17  (0.00 , 2.70 )	2.98 (0.00, 6.93)
M7b1a1i2	2.59  (0.00 , 5.60 )	2.58 (0.00, 5.95)
M7b1a1j	1.72  (0.00 , 4.13 )	3.26 (0.00, 9.17)
M7b1a1k	2.79  (0.00 , 6.61 )	3.89 (0.00, 9.59)
M7b1a1k1	0.57  (0.00 , 1.37 )	1.79 (0.00, 4.35)
M7b1a1l	11.30  (5.69 , 17.08 )	9.18 (5.97, 12.45)
M7b1a1l1	2.59  (0.00 , 5.30 )	2.13 (0.00, 5.60)
M7b1a1l2	5.75  (1.26 , 10.36 )	4.18 (0.74, 7.69)
