source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period	matched_in_project	project_n_samples	project_confidence	project_calibration_method	project_rho_age_kya	project_rho_ci95_lower_kya	project_rho_ci95_upper_kya	project_ml_age_kya	project_ml_ci95_lower_kya	project_ml_ci95_upper_kya	diff_lit_minus_project_rho_kya	diff_lit_minus_project_ml_kya	abs_diff_vs_rho_kya	abs_diff_vs_ml_kya	rel_diff_vs_rho_pct	rel_diff_vs_ml_pct	nearest_project_method	min_abs_diff_to_project_kya	overlap_with_project_rho_ci95	overlap_with_project_ml_ci95	interval_reasonable_flag	large_difference_flag
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L0f1		2.3693	0.0	6.954328	2.3393		yes	2	very_low	rho_fallback_no_desc	63.9868	60.757	67.2396	63.9868	60.757	67.2396	-61.6175	-61.6175	61.6175	61.6175	96.297205	96.297205	rho	61.6175	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	L2a5		1.3172	0.0	5.217208	1.9898		yes	9	low	rho_fallback_no_desc	52.5627	48.3803	56.7911	52.5627	48.3803	56.7911	-51.2455	-51.2455	51.2455	51.2455	97.49404	97.49404	rho	51.2455	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	R1		11.4205	4.461716	18.379284	3.5504		yes	41	medium	rho_direct	55.0829	52.6165	57.5647	55.0829	52.6165	57.5647	-43.6624	-43.6624	43.6624	43.6624	79.266705	79.266705	rho	43.6624	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	M46		1.2339	0.0	10.152684	4.5504		yes	14	medium	rho_direct	44.6029	41.0936	48.1492	44.6029	41.0936	48.1492	-43.369	-43.369	43.369	43.369	97.233588	97.233588	rho	43.369	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1b2	77	63.71	42.71	88.26		19.5 kya	yes	713	high	rho_direct	26.747	25.6355	27.8635	26.747	25.6355	27.8635	36.963	36.963	36.963	36.963	138.194938	138.194938	rho	36.963	no	no	no	yes
以往研究-3.tsv	MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum	rho_based	M23		39.29	21.14	58.6			yes	220	high	rho_direct	4.4224	4.0514	4.7942	4.4224	4.0514	4.7942	34.8676	34.8676	34.8676	34.8676	788.431621	788.431621	rho	34.8676	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	B5b1b		2.4649	0.0	7.427228	2.5318		yes	7	low	rho_fallback_no_desc	36.3887	6.0798	70.2789	36.3887	6.0798	70.2789	-33.9238	-33.9238	33.9238	33.9238	93.226194	93.226194	rho	33.9238	yes	yes	yes	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1b2c	13	56.66	36.49	80.39		19.5 kya	yes	346	high	rho_direct	22.8404	21.2544	24.4374	22.8404	21.2544	24.4374	33.8196	33.8196	33.8196	33.8196	148.069211	148.069211	rho	33.8196	no	no	no	yes
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	B4c1b	91	64.84	44.2	90.93		19.5 kya	yes	777	high	rho_direct	31.474	30.3896	32.5627	31.474	30.3896	32.5627	33.366	33.366	33.366	33.366	106.011311	106.011311	rho	33.366	no	no	no	yes
以往研究-4.tsv	Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock	purifying_selection_corrected	N1a		18.1175	7.833772	28.401228	5.2468		yes	330	high	rho_direct	50.5393	49.4585	51.6234	50.5393	49.4585	51.6234	-32.4218	-32.4218	32.4218	32.4218	64.15166	64.15166	rho	32.4218	no	no	no	yes
