simulation_id	event_id	edge_id	parent_node	child_node	parent_label	child_label	event_order_on_edge	from_state	to_state	edge_length_analysis	distance_from_parent_analysis	distance_to_child_analysis	relative_position_from_parent	edge_length_input_units	distance_from_parent_input_units	distance_to_child_input_units	n_descendant_tip	descendant_tip_representative	edge_was_floored
1	sim0001_edge0034_event01	34	226	227	Node226	Node227	1	Plateau	SouthWest	0.512426726655275	0.511003503020817	0.00142322363445735	0.997222581180051	2.3e-05	2.29361193671412e-05	6.38806328588327e-08	2	GSRD009056A00_TS0_00_D1a1a1a1a1b1;YSW00402A00_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0037_event01	37	226	228	Node226	Node228	1	Plateau	SouthWest	1.29220652808721	0.139044371730468	1.15316215635675	0.107602282381508	5.8e-05	6.24093237812744e-06	5.17590676218726e-05	2	Chuan10108A00_BB0_00_D1a1a1a1a1b2;GSRD009825A00_BB0_00_D1a1a1a1a1b2	FALSE
1	sim0001_edge0040_event01	40	219	229	Node219	Node229	1	GansuQinghai	Plateau	2.60669247907248	2.24046708971721	0.36622538935527	0.859505717572953	0.000117	0.000100562168956035	1.64378310439645e-05	70	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD007997A00_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0041_event01	41	229	230	Node229	Node230	1	Plateau	SouthWest	2.11654517531526	1.81690850647796	0.299636668837305	0.858431243362111	9.5e-05	8.15509681194005e-05	1.34490318805995e-05	10	GSRD007975A00_BB1_01_D1a1a1a1a1b1;GSRD007975A01_BB1_02_D1a1a1a1a1b1;GSRD008106A00_BB0_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0051_event01	51	235	236	Node235	Node236	1	SouthWest	Plateau	0.646103264043607	0.323051632021804	0.323051632021804	0.5	2.9e-05	1.45e-05	1.45e-05	3	GSRD008184A00_BB1_01_D1a1a1a1a1b1;GSRD008184A01_BB1_01_D1a1a1a1a1b1;GSRD020852A00_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0052_event01	52	236	237	Node236	Node237	1	Plateau	SouthWest	5.70353226190219	4.06573273640137	1.63779952550082	0.712844698636877	0.000256	0.000182488242851041	7.35117571489594e-05	2	GSRD008184A00_BB1_01_D1a1a1a1a1b1;GSRD008184A01_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0065_event01	65	242	31	Node242	GSRD009551A00_BB0_01_D1a1a1a1a1b1	1	Plateau	YellowRiver	4.07713439034414	2.90249049930039	1.17464389104375	0.711894733265193	0.000183	0.00013027673618753	5.27232638124697e-05	1	GSRD009551A00_BB0_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0079_event01	79	240	39	Node240	GSRD008312A01_BB1_01_D1a1a1a1a1b1	1	Plateau	SouthWest	1.96058921502888	0.793918171929186	1.16667104309969	0.404938559206291	8.8e-05	3.56345932101536e-05	5.23654067898464e-05	1	GSRD008312A01_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0083_event01	83	251	252	Node251	Node252	1	Plateau	SouthWest	3.8988990071597	0.559913471999841	3.33898553515986	0.143608098330234	0.000175	2.51314172077909e-05	0.000149868582792209	2	GSRD008140A00_BB1_02_D1a1a1a1a1b1;GSRD008140A01_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0091_event01	91	250	255	Node250	Node255	1	Plateau	SouthWest	0.178235383184443	0.108999625505016	0.0692357576794272	0.611548748388641	8e-06	4.89238998710913e-06	3.10761001289087e-06	9	GSRD008144A00_BB1_01_D1a1a1a1a1b1;GSRD008144A01_BB1_01_D1a1a1a1a1b1;GSRD008247A00_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0127_event01	127	272	274	Node272	Node274	1	Plateau	SouthWest	2.11654517531526	0.115059254831814	2.00148592048345	0.0543618233022954	9.5e-05	5.16437321371806e-06	8.98356267862819e-05	2	GSRD007997A00_BB1_01_D1a1a1a1a1b1;GSRD007997A01_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0133_event01	133	277	64	Node277	GSRD008084A00_BB1_01_D1a1a1a1a1b1	1	Plateau	SouthWest	2.91860439964526	0.164703248923517	2.75390115072174	0.0564321937373683	0.000131	7.39261737959525e-06	0.000123607382620405	1	GSRD008084A00_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0137_event01	137	279	66	Node279	GSRD008314A01_BB1_01_D1a1a1a1a1b1	1	Plateau	SouthWest	1.47044191127166	0.310703063655129	1.15973884761653	0.211299107617538	6.6e-05	1.39457411027575e-05	5.20542588972425e-05	1	GSRD008314A01_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0155_event01	155	284	288	Node284	Node288	1	Plateau	SouthWest	0.980294607514438	0.233279975786226	0.747014631728212	0.237969253322441	4.4e-05	1.04706471461874e-05	3.35293528538126e-05	2	GSRD008088A01_BB1_01_D1a1a1a1a1b1;GSRD008129A01_BB0_02_D1a1a1a1a1b1	FALSE
1	sim0001_edge0160_event01	160	290	291	Node290	Node291	1	Plateau	SouthWest	1.82691267764054	0.815128110179981	1.01178456746056	0.446177926376163	8.2e-05	3.65865899628454e-05	4.54134100371547e-05	2	GSRD008317A00_BB1_01_D1a1a1a1a1b1;GSRD008317A01_BB1_01_D1a1a1a1a1b1	FALSE
1	sim0001_edge0179_event01	179	218	298	Node218	Node298	1	GansuQinghai	Plateau	12.053167787848	8.70248747087837	3.35068031696961	0.722008323791214	0.000541	0.000390606503171047	0.000150393496828953	110	Chuan10231A03_BB0_01_D1a1a1a1b;GSRD002335A00_BB1_01_D1a1a1a1b;GSRD005407A00_BB0_01_D1a1a1a1b	FALSE
1	sim0001_edge0180_event01	180	298	90	Node298	Y_HRR2695345.bam__	1	Plateau	YellowRiver	2.22794228980554	0.0598660220898107	2.16807626771573	0.0268705443420781	1e-04	2.68705443420781e-06	9.73129455657922e-05	1	Y_HRR2695345.bam__	FALSE
1	sim0001_edge0182_event01	182	299	91	Node299	Y_HRR1257504.remap.sorted_rg.bam__	1	Plateau	SouthWest	2.22794228980554	0.902305012352227	1.32563727745331	0.404994786660736	1e-04	4.04994786660736e-05	5.95005213339264e-05	1	Y_HRR1257504.remap.sorted_rg.bam__	FALSE
1	sim0001_edge0196_event01	196	307	97	Node307	YSW00492A00_BB0_00_D1a1a1a1b	1	Plateau	SouthWest	7.48588609374662	4.12171824495723	3.36416784878939	0.550598578891059	0.000336	0.000185001122507396	0.000150998877492604	1	YSW00492A00_BB0_00_D1a1a1a1b	FALSE
1	sim0001_edge0197_event01	197	307	98	Node307	GSRD008320A01_BB1_01_D1a1a1a1b	1	Plateau	SouthWest	5.21338495814497	0.112822026147943	5.10056293199702	0.0216408393114494	0.000234	5.06395639887916e-06	0.000228936043601121	1	GSRD008320A01_BB1_01_D1a1a1a1b	FALSE
1	sim0001_edge0202_event01	202	311	312	Node311	Node312	1	Plateau	SouthWest	1.47044191127166	0.487040040828185	0.983401870443472	0.331220184282551	6.6e-05	2.18605321626484e-05	4.41394678373516e-05	6	GSRD008057A00_BB1_01_D1a1a1a1b;GSRD008057A01_BB1_01_D1a1a1a1b;GSRD008157A01_BB1_01_D1a1a1a1b	FALSE
