source_file	reference	literature_method	haplogroup	n_literature	literature_age_kya	literature_ci95_lower_kya	literature_ci95_upper_kya	literature_sd_kya	literature_period	matched_in_project	project_n_samples	project_confidence	project_calibration_method	project_rho_age_kya	project_rho_ci95_lower_kya	project_rho_ci95_upper_kya	project_ml_age_kya	project_ml_ci95_lower_kya	project_ml_ci95_upper_kya	diff_lit_minus_project_rho_kya	diff_lit_minus_project_ml_kya	abs_diff_vs_rho_kya	abs_diff_vs_ml_kya	rel_diff_vs_rho_pct	rel_diff_vs_ml_pct	nearest_project_method	min_abs_diff_to_project_kya	overlap_with_project_rho_ci95	overlap_with_project_ml_ci95	interval_reasonable_flag	large_difference_flag
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	M7c3c		5.55	4.9	6.2			no																					
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	E1b		5.75	5.1	6.4			no																					
以往研究-1.tsv	"Evolutionary history of continental southeast Asians: ""early train"" hypothesis based on genetic analysis of mitochondrial and autosomal DNA data"	ML_range_midpoint	F1a'c		15.55	13.8	17.3			no																					
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	D4f	15	16.71	2.79	30.63		11.5-19.5 kya	no																					
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	D4f	15	13.44	3.19	23.7		11.5-19.5 kya	no																					
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	synonymous_positions_rho	D4f	15	12.08	-3.63	27.8		11.5-19.5 kya	no																					
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	bayesian	D4f	15	13.86	5.52	25.6		11.5-19.5 kya	no																					
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	average	D4f	15	14.02				11.5-19.5 kya	no																					
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	coding_region_rho	M7a1a5	3	7.06	0.54	13.58		5-11.5 kya	no																					
以往研究-2.tsv	River Valleys Shaped the Maternal Genetic Landscape of Han Chinese	complete_genome_rho	M7a1a5	3	6.03	0.97	11.1		5-11.5 kya	no																					
