draw	time	log_ne
1	0.00000	10.33579
1	200.00000	10.33579
1	400.00000	10.33579
1	600.00000	10.33579
1	800.00000	10.33579
1	1000.00000	10.33579
1	1200.00000	10.33579
1	1400.00000	9.39830
1	1600.00000	9.39830
1	1800.00000	9.39830
1	2000.00000	9.39830
1	2200.00000	9.39830
1	2400.00000	9.39830
1	2600.00000	9.56730
1	2800.00000	9.56730
1	3000.00000	9.56730
1	3200.00000	9.56730
1	3400.00000	9.56730
1	3600.00000	9.56730
1	3800.00000	9.55102
1	4000.00000	9.55102
1	4200.00000	9.55102
1	4400.00000	9.55102
1	4600.00000	9.55102
1	4800.00000	9.55102
1	5000.00000	9.21839
1	5200.00000	9.21839
1	5400.00000	9.21839
1	5600.00000	9.21839
1	5800.00000	9.21839
1	6000.00000	9.21839
1	6200.00000	8.86813
1	6400.00000	8.86813
1	6600.00000	8.86813
1	6800.00000	8.86813
1	7000.00000	8.86813
1	7200.00000	8.86813
1	7400.00000	9.04072
1	7600.00000	9.04072
1	7800.00000	9.04072
1	8000.00000	9.04072
1	8200.00000	9.04072
1	8400.00000	9.04072
1	8600.00000	8.92797
1	8800.00000	8.92797
1	9000.00000	8.92797
1	9200.00000	8.92797
1	9400.00000	8.92797
1	9600.00000	8.92797
1	9800.00000	8.92797
1	10000.00000	8.67696
1	10200.00000	8.67696
1	10400.00000	8.67696
1	10600.00000	8.67696
1	10800.00000	8.67696
1	11000.00000	8.67696
1	11200.00000	8.60827
1	11400.00000	8.60827
1	11600.00000	8.60827
1	11800.00000	8.60827
1	12000.00000	8.60827
1	12200.00000	8.60827
1	12400.00000	8.62653
1	12600.00000	8.62653
1	12800.00000	8.62653
1	13000.00000	8.62653
1	13200.00000	8.62653
1	13400.00000	8.62653
1	13600.00000	9.13021
1	13800.00000	9.13021
1	14000.00000	9.13021
1	14200.00000	9.13021
1	14400.00000	9.13021
1	14600.00000	9.13021
1	14800.00000	9.46969
1	15000.00000	9.46969
1	15200.00000	9.46969
1	15400.00000	9.46969
1	15600.00000	9.46969
1	15800.00000	9.46969
1	16000.00000	9.34645
1	16200.00000	9.34645
1	16400.00000	9.34645
1	16600.00000	9.34645
1	16800.00000	9.34645
1	17000.00000	9.34645
1	17200.00000	9.38482
1	17400.00000	9.38482
1	17600.00000	9.38482
1	17800.00000	9.38482
1	18000.00000	9.38482
1	18200.00000	9.38482
1	18400.00000	8.93987
1	18600.00000	8.93987
1	18800.00000	8.93987
1	19000.00000	8.93987
1	19200.00000	8.93987
1	19400.00000	8.93987
1	19600.00000	8.93987
1	19800.00000	8.84396
1	20000.00000	8.84396
2	0.00000	10.54969
2	200.00000	10.54969
2	400.00000	10.54969
2	600.00000	10.54969
2	800.00000	10.54969
2	1000.00000	10.54969
2	1200.00000	10.54969
2	1400.00000	10.04608
2	1600.00000	10.04608
2	1800.00000	10.04608
2	2000.00000	10.04608
2	2200.00000	10.04608
2	2400.00000	10.04608
2	2600.00000	10.17812
2	2800.00000	10.17812
2	3000.00000	10.17812
2	3200.00000	10.17812
2	3400.00000	10.17812
2	3600.00000	10.17812
2	3800.00000	10.32400
2	4000.00000	10.32400
2	4200.00000	10.32400
2	4400.00000	10.32400
2	4600.00000	10.32400
2	4800.00000	10.32400
2	5000.00000	9.32070
2	5200.00000	9.32070
2	5400.00000	9.32070
2	5600.00000	9.32070
2	5800.00000	9.32070
2	6000.00000	9.32070
2	6200.00000	8.81337
2	6400.00000	8.81337
2	6600.00000	8.81337
2	6800.00000	8.81337
2	7000.00000	8.81337
2	7200.00000	8.81337
2	7400.00000	8.89313
2	7600.00000	8.89313
2	7800.00000	8.89313
2	8000.00000	8.89313
2	8200.00000	8.89313
2	8400.00000	8.89313
2	8600.00000	8.28988
2	8800.00000	8.28988
2	9000.00000	8.28988
2	9200.00000	8.28988
2	9400.00000	8.28988
2	9600.00000	8.28988
2	9800.00000	8.28988
2	10000.00000	8.25075
2	10200.00000	8.25075
2	10400.00000	8.25075
2	10600.00000	8.25075
2	10800.00000	8.25075
2	11000.00000	8.25075
2	11200.00000	8.38620
2	11400.00000	8.38620
2	11600.00000	8.38620
2	11800.00000	8.38620
2	12000.00000	8.38620
2	12200.00000	8.38620
2	12400.00000	8.70961
2	12600.00000	8.70961
2	12800.00000	8.70961
2	13000.00000	8.70961
2	13200.00000	8.70961
2	13400.00000	8.70961
2	13600.00000	8.26859
2	13800.00000	8.26859
2	14000.00000	8.26859
2	14200.00000	8.26859
2	14400.00000	8.26859
2	14600.00000	8.26859
2	14800.00000	8.50863
2	15000.00000	8.50863
2	15200.00000	8.50863
2	15400.00000	8.50863
2	15600.00000	8.50863
2	15800.00000	8.50863
2	16000.00000	9.42697
2	16200.00000	9.42697
2	16400.00000	9.42697
2	16600.00000	9.42697
2	16800.00000	9.42697
2	17000.00000	9.42697
2	17200.00000	9.50345
2	17400.00000	9.50345
2	17600.00000	9.50345
2	17800.00000	9.50345
2	18000.00000	9.50345
2	18200.00000	9.50345
2	18400.00000	8.84588
2	18600.00000	8.84588
2	18800.00000	8.84588
2	19000.00000	8.84588
2	19200.00000	8.84588
2	19400.00000	8.84588
2	19600.00000	8.84588
2	19800.00000	8.76712
2	20000.00000	8.76712
3	0.00000	10.36529
3	200.00000	10.36529
3	400.00000	10.36529
3	600.00000	10.36529
3	800.00000	10.36529
3	1000.00000	10.36529
3	1200.00000	10.36529
3	1400.00000	9.58599
3	1600.00000	9.58599
3	1800.00000	9.58599
3	2000.00000	9.58599
3	2200.00000	9.58599
3	2400.00000	9.58599
3	2600.00000	9.91508
3	2800.00000	9.91508
3	3000.00000	9.91508
3	3200.00000	9.91508
3	3400.00000	9.91508
3	3600.00000	9.91508
3	3800.00000	9.93451
3	4000.00000	9.93451
3	4200.00000	9.93451
3	4400.00000	9.93451
3	4600.00000	9.93451
3	4800.00000	9.93451
3	5000.00000	9.04991
