draw	time	log_ne
1	0.00000	11.37676
1	200.00000	11.37676
1	400.00000	11.37676
1	600.00000	11.37676
1	800.00000	11.37676
1	1000.00000	11.75244
1	1200.00000	11.75244
1	1400.00000	11.75244
1	1600.00000	11.75244
1	1800.00000	11.75244
1	2000.00000	11.22123
1	2200.00000	11.22123
1	2400.00000	11.22123
1	2600.00000	11.22123
1	2800.00000	11.22123
1	3000.00000	10.63980
1	3200.00000	10.63980
1	3400.00000	10.63980
1	3600.00000	10.63980
1	3800.00000	10.63980
1	4000.00000	9.97076
1	4200.00000	9.97076
1	4400.00000	9.97076
1	4600.00000	9.97076
1	4800.00000	9.97076
1	5000.00000	10.07485
1	5200.00000	10.07485
1	5400.00000	10.07485
1	5600.00000	10.07485
1	5800.00000	11.05813
1	6000.00000	11.05813
1	6200.00000	11.05813
1	6400.00000	11.05813
1	6600.00000	11.05813
1	6800.00000	10.17489
1	7000.00000	10.17489
1	7200.00000	10.17489
1	7400.00000	10.17489
1	7600.00000	10.17489
1	7800.00000	9.68577
1	8000.00000	9.68577
1	8200.00000	9.68577
1	8400.00000	9.68577
1	8600.00000	9.68577
1	8800.00000	9.31793
1	9000.00000	9.31793
1	9200.00000	9.31793
1	9400.00000	9.31793
1	9600.00000	9.31793
1	9800.00000	10.46545
1	10000.00000	10.46545
1	10200.00000	10.46545
1	10400.00000	10.46545
1	10600.00000	9.15400
1	10800.00000	9.15400
1	11000.00000	9.15400
1	11200.00000	9.15400
1	11400.00000	9.15400
1	11600.00000	9.77439
1	11800.00000	9.77439
1	12000.00000	9.77439
1	12200.00000	9.77439
1	12400.00000	9.77439
1	12600.00000	9.48446
1	12800.00000	9.48446
1	13000.00000	9.48446
1	13200.00000	9.48446
1	13400.00000	9.48446
1	13600.00000	10.14189
1	13800.00000	10.14189
1	14000.00000	10.14189
1	14200.00000	10.14189
1	14400.00000	10.14189
1	14600.00000	10.21393
1	14800.00000	10.21393
1	15000.00000	10.21393
1	15200.00000	10.21393
1	15400.00000	10.39050
1	15600.00000	10.39050
1	15800.00000	10.39050
1	16000.00000	10.39050
1	16200.00000	10.39050
1	16400.00000	8.77416
1	16600.00000	8.77416
1	16800.00000	8.77416
1	17000.00000	8.77416
1	17200.00000	8.77416
1	17400.00000	7.51432
1	17600.00000	7.51432
1	17800.00000	7.51432
1	18000.00000	7.51432
1	18200.00000	7.51432
1	18400.00000	8.63715
1	18600.00000	8.63715
1	18800.00000	8.63715
1	19000.00000	8.63715
1	19200.00000	8.63715
1	19400.00000	9.83797
1	19600.00000	9.83797
1	19800.00000	9.83797
1	20000.00000	9.83797
2	0.00000	11.68854
2	200.00000	11.68854
2	400.00000	11.68854
2	600.00000	11.68854
2	800.00000	11.68854
2	1000.00000	11.60558
2	1200.00000	11.60558
2	1400.00000	11.60558
2	1600.00000	11.60558
2	1800.00000	11.60558
2	2000.00000	11.08375
2	2200.00000	11.08375
2	2400.00000	11.08375
2	2600.00000	11.08375
2	2800.00000	11.08375
2	3000.00000	10.79958
2	3200.00000	10.79958
2	3400.00000	10.79958
2	3600.00000	10.79958
2	3800.00000	10.79958
2	4000.00000	10.05620
2	4200.00000	10.05620
2	4400.00000	10.05620
2	4600.00000	10.05620
2	4800.00000	10.05620
2	5000.00000	10.07282
2	5200.00000	10.07282
2	5400.00000	10.07282
2	5600.00000	10.07282
2	5800.00000	10.27050
2	6000.00000	10.27050
2	6200.00000	10.27050
2	6400.00000	10.27050
2	6600.00000	10.27050
2	6800.00000	10.06493
2	7000.00000	10.06493
2	7200.00000	10.06493
2	7400.00000	10.06493
2	7600.00000	10.06493
2	7800.00000	9.65383
2	8000.00000	9.65383
2	8200.00000	9.65383
2	8400.00000	9.65383
2	8600.00000	9.65383
2	8800.00000	9.85514
2	9000.00000	9.85514
2	9200.00000	9.85514
2	9400.00000	9.85514
2	9600.00000	9.85514
2	9800.00000	10.15697
2	10000.00000	10.15697
2	10200.00000	10.15697
2	10400.00000	10.15697
2	10600.00000	9.03448
2	10800.00000	9.03448
2	11000.00000	9.03448
2	11200.00000	9.03448
2	11400.00000	9.03448
2	11600.00000	9.85382
2	11800.00000	9.85382
2	12000.00000	9.85382
2	12200.00000	9.85382
2	12400.00000	9.85382
2	12600.00000	10.33042
2	12800.00000	10.33042
2	13000.00000	10.33042
2	13200.00000	10.33042
2	13400.00000	10.33042
2	13600.00000	10.22188
2	13800.00000	10.22188
2	14000.00000	10.22188
2	14200.00000	10.22188
2	14400.00000	10.22188
2	14600.00000	9.53086
2	14800.00000	9.53086
2	15000.00000	9.53086
2	15200.00000	9.53086
2	15400.00000	9.10777
2	15600.00000	9.10777
2	15800.00000	9.10777
2	16000.00000	9.10777
2	16200.00000	9.10777
2	16400.00000	9.11403
2	16600.00000	9.11403
2	16800.00000	9.11403
2	17000.00000	9.11403
2	17200.00000	9.11403
2	17400.00000	8.56433
2	17600.00000	8.56433
2	17800.00000	8.56433
2	18000.00000	8.56433
2	18200.00000	8.56433
2	18400.00000	7.84337
2	18600.00000	7.84337
2	18800.00000	7.84337
2	19000.00000	7.84337
2	19200.00000	7.84337
2	19400.00000	8.04925
2	19600.00000	8.04925
2	19800.00000	8.04925
2	20000.00000	8.04925
3	0.00000	11.57162
3	200.00000	11.57162
3	400.00000	11.57162
3	600.00000	11.57162
3	800.00000	11.57162
3	1000.00000	11.62962
3	1200.00000	11.62962
3	1400.00000	11.62962
3	1600.00000	11.62962
3	1800.00000	11.62962
3	2000.00000	11.56944
3	2200.00000	11.56944
3	2400.00000	11.56944
3	2600.00000	11.56944
3	2800.00000	11.56944
3	3000.00000	10.59942
3	3200.00000	10.59942
3	3400.00000	10.59942
3	3600.00000	10.59942
3	3800.00000	10.59942
3	4000.00000	9.61677
3	4200.00000	9.61677
3	4400.00000	9.61677
3	4600.00000	9.61677
3	4800.00000	9.61677
3	5000.00000	10.60503
3	5200.00000	10.60503
3	5400.00000	10.60503
3	5600.00000	10.60503
3	5800.00000	11.24108
3	6000.00000	11.24108
3	6200.00000	11.24108
3	6400.00000	11.24108
3	6600.00000	11.24108
3	6800.00000	9.78491
3	7000.00000	9.78491
3	7200.00000	9.78491
3	7400.00000	9.78491
3	7600.00000	9.78491
3	7800.00000	9.41908
3	8000.00000	9.41908
3	8200.00000	9.41908
3	8400.00000	9.41908
3	8600.00000	9.41908
3	8800.00000	9.65447
3	9000.00000	9.65447
3	9200.00000	9.65447
3	9400.00000	9.65447
3	9600.00000	9.65447
3	9800.00000	9.43509
3	10000.00000	9.43509
3	10200.00000	9.43509
3	10400.00000	9.43509
3	10600.00000	9.39754
3	10800.00000	9.39754
3	11000.00000	9.39754
3	11200.00000	9.39754
3	11400.00000	9.39754
3	11600.00000	10.22930
3	11800.00000	10.22930
3	12000.00000	10.22930
3	12200.00000	10.22930
3	12400.00000	10.22930
3	12600.00000	9.61535
3	12800.00000	9.61535
3	13000.00000	9.61535
3	13200.00000	9.61535
3	13400.00000	9.61535
3	13600.00000	9.66228
3	13800.00000	9.66228
3	14000.00000	9.66228
3	14200.00000	9.66228
3	14400.00000	9.66228
3	14600.00000	9.84365
3	14800.00000	9.84365
3	15000.00000	9.84365
3	15200.00000	9.84365
3	15400.00000	9.22043
3	15600.00000	9.22043
3	15800.00000	9.22043
3	16000.00000	9.22043
3	16200.00000	9.22043
3	16400.00000	9.02049
3	16600.00000	9.02049
3	16800.00000	9.02049
3	17000.00000	9.02049
3	17200.00000	9.02049
3	17400.00000	8.51449
3	17600.00000	8.51449
3	17800.00000	8.51449
3	18000.00000	8.51449
3	18200.00000	8.51449
3	18400.00000	8.99762
3	18600.00000	8.99762
3	18800.00000	8.99762
3	19000.00000	8.99762
3	19200.00000	8.99762
3	19400.00000	8.58132
3	19600.00000	8.58132
3	19800.00000	8.58132
3	20000.00000	8.58132
4	0.00000	11.91799
4	200.00000	11.91799
4	400.00000	11.91799
4	600.00000	11.91799
4	800.00000	11.91799
4	1000.00000	11.60440
4	1200.00000	11.60440
4	1400.00000	11.60440
4	1600.00000	11.60440
4	1800.00000	11.60440
4	2000.00000	11.40561
4	2200.00000	11.40561
4	2400.00000	11.40561
4	2600.00000	11.40561
4	2800.00000	11.40561
4	3000.00000	10.76263
4	3200.00000	10.76263
4	3400.00000	10.76263
4	3600.00000	10.76263
4	3800.00000	10.76263
4	4000.00000	10.14719
4	4200.00000	10.14719
4	4400.00000	10.14719
4	4600.00000	10.14719
4	4800.00000	10.14719
4	5000.00000	10.29371
4	5200.00000	10.29371
4	5400.00000	10.29371
4	5600.00000	10.29371
4	5800.00000	10.57405
4	6000.00000	10.57405
4	6200.00000	10.57405
4	6400.00000	10.57405
4	6600.00000	10.57405
4	6800.00000	9.97866
