draw	time	log_ne
2	13800.00000	11.06955
2	14000.00000	9.20871
2	14200.00000	9.20871
2	14400.00000	9.20871
2	14600.00000	8.67211
2	14800.00000	8.67211
2	15000.00000	8.67211
2	15200.00000	8.67211
2	15400.00000	8.32368
2	15600.00000	8.32368
2	15800.00000	8.32368
2	16000.00000	8.32368
2	16200.00000	9.17776
2	16400.00000	9.17776
2	16600.00000	9.17776
2	16800.00000	9.17776
2	17000.00000	9.55729
2	17200.00000	9.55729
2	17400.00000	9.55729
2	17600.00000	9.55729
2	17800.00000	8.30204
2	18000.00000	8.30204
2	18200.00000	8.30204
2	18400.00000	8.30204
2	18600.00000	8.45609
2	18800.00000	8.45609
2	19000.00000	8.45609
2	19200.00000	7.92386
2	19400.00000	7.92386
2	19600.00000	7.92386
2	19800.00000	7.92386
2	20000.00000	8.79120
3	0.00000	10.51366
3	200.00000	10.51366
3	400.00000	10.51366
3	600.00000	10.51366
3	800.00000	12.13400
3	1000.00000	12.13400
3	1200.00000	12.13400
3	1400.00000	12.13400
3	1600.00000	9.94274
3	1800.00000	9.94274
3	2000.00000	9.94274
3	2200.00000	9.94274
3	2400.00000	12.12612
3	2600.00000	12.12612
3	2800.00000	12.12612
3	3000.00000	12.12612
3	3200.00000	9.93430
3	3400.00000	9.93430
3	3600.00000	9.93430
3	3800.00000	9.93430
3	4000.00000	12.33476
3	4200.00000	12.33476
3	4400.00000	12.33476
3	4600.00000	12.33476
3	4800.00000	10.24610
3	5000.00000	10.24610
3	5200.00000	10.24610
3	5400.00000	9.86031
3	5600.00000	9.86031
3	5800.00000	9.86031
3	6000.00000	9.86031
3	6200.00000	9.41117
3	6400.00000	9.41117
3	6600.00000	9.41117
3	6800.00000	9.41117
3	7000.00000	9.19450
3	7200.00000	9.19450
3	7400.00000	9.19450
3	7600.00000	9.19450
3	7800.00000	11.26191
3	8000.00000	11.26191
3	8200.00000	11.26191
3	8400.00000	11.26191
3	8600.00000	9.47492
3	8800.00000	9.47492
3	9000.00000	9.47492
3	9200.00000	9.47492
3	9400.00000	10.96675
3	9600.00000	10.96675
3	9800.00000	10.96675
3	10000.00000	10.13010
3	10200.00000	10.13010
3	10400.00000	10.13010
3	10600.00000	10.13010
3	10800.00000	8.51076
3	11000.00000	8.51076
3	11200.00000	8.51076
3	11400.00000	8.51076
3	11600.00000	10.40201
3	11800.00000	10.40201
3	12000.00000	10.40201
3	12200.00000	10.40201
3	12400.00000	10.51524
3	12600.00000	10.51524
3	12800.00000	10.51524
3	13000.00000	10.51524
3	13200.00000	8.80347
3	13400.00000	8.80347
3	13600.00000	8.80347
3	13800.00000	8.80347
3	14000.00000	10.67369
3	14200.00000	10.67369
3	14400.00000	10.67369
3	14600.00000	10.47360
3	14800.00000	10.47360
3	15000.00000	10.47360
3	15200.00000	10.47360
3	15400.00000	8.01390
3	15600.00000	8.01390
3	15800.00000	8.01390
3	16000.00000	8.01390
3	16200.00000	8.08875
3	16400.00000	8.08875
3	16600.00000	8.08875
3	16800.00000	8.08875
3	17000.00000	10.57222
3	17200.00000	10.57222
3	17400.00000	10.57222
3	17600.00000	10.57222
3	17800.00000	8.43461
3	18000.00000	8.43461
3	18200.00000	8.43461
3	18400.00000	8.43461
3	18600.00000	7.70980
3	18800.00000	7.70980
3	19000.00000	7.70980
3	19200.00000	7.85883
3	19400.00000	7.85883
3	19600.00000	7.85883
3	19800.00000	7.85883
3	20000.00000	7.94556
4	0.00000	10.48365
4	200.00000	10.48365
4	400.00000	10.48365
4	600.00000	10.48365
4	800.00000	12.16675
4	1000.00000	12.16675
4	1200.00000	12.16675
4	1400.00000	12.16675
4	1600.00000	10.03779
4	1800.00000	10.03779
4	2000.00000	10.03779
4	2200.00000	10.03779
4	2400.00000	11.98071
4	2600.00000	11.98071
4	2800.00000	11.98071
4	3000.00000	11.98071
4	3200.00000	9.87820
4	3400.00000	9.87820
4	3600.00000	9.87820
4	3800.00000	9.87820
4	4000.00000	11.93828
4	4200.00000	11.93828
4	4400.00000	11.93828
4	4600.00000	11.93828
4	4800.00000	10.79364
4	5000.00000	10.79364
4	5200.00000	10.79364
4	5400.00000	9.73125
4	5600.00000	9.73125
4	5800.00000	9.73125
4	6000.00000	9.73125
4	6200.00000	9.52783
4	6400.00000	9.52783
4	6600.00000	9.52783
4	6800.00000	9.52783
4	7000.00000	9.16765
4	7200.00000	9.16765
4	7400.00000	9.16765
4	7600.00000	9.16765
4	7800.00000	10.08671
4	8000.00000	10.08671
4	8200.00000	10.08671
4	8400.00000	10.08671
4	8600.00000	9.39158
4	8800.00000	9.39158
4	9000.00000	9.39158
4	9200.00000	9.39158
4	9400.00000	10.83241
4	9600.00000	10.83241
4	9800.00000	10.83241
4	10000.00000	9.89886
4	10200.00000	9.89886
4	10400.00000	9.89886
4	10600.00000	9.89886
4	10800.00000	8.46463
4	11000.00000	8.46463
4	11200.00000	8.46463
4	11400.00000	8.46463
4	11600.00000	10.96081
4	11800.00000	10.96081
4	12000.00000	10.96081
4	12200.00000	10.96081
4	12400.00000	10.75216
4	12600.00000	10.75216
4	12800.00000	10.75216
4	13000.00000	10.75216
4	13200.00000	9.97385
4	13400.00000	9.97385
4	13600.00000	9.97385
4	13800.00000	9.97385
4	14000.00000	9.83056
4	14200.00000	9.83056
4	14400.00000	9.83056
4	14600.00000	9.16695
4	14800.00000	9.16695
4	15000.00000	9.16695
4	15200.00000	9.16695
4	15400.00000	8.39020
4	15600.00000	8.39020
4	15800.00000	8.39020
4	16000.00000	8.39020
4	16200.00000	8.37971
4	16400.00000	8.37971
4	16600.00000	8.37971
4	16800.00000	8.37971
4	17000.00000	9.13151
4	17200.00000	9.13151
4	17400.00000	9.13151
4	17600.00000	9.13151
4	17800.00000	10.42389
4	18000.00000	10.42389
4	18200.00000	10.42389
4	18400.00000	10.42389
4	18600.00000	8.15862
4	18800.00000	8.15862
4	19000.00000	8.15862
4	19200.00000	7.46690
4	19400.00000	7.46690
4	19600.00000	7.46690
4	19800.00000	7.46690
4	20000.00000	9.41832
5	0.00000	10.49621
5	200.00000	10.49621
5	400.00000	10.49621
5	600.00000	10.49621
5	800.00000	11.84667
5	1000.00000	11.84667
5	1200.00000	11.84667
5	1400.00000	11.84667
5	1600.00000	10.15136
5	1800.00000	10.15136
5	2000.00000	10.15136
5	2200.00000	10.15136
5	2400.00000	12.24512
5	2600.00000	12.24512
5	2800.00000	12.24512
5	3000.00000	12.24512
5	3200.00000	9.81362
5	3400.00000	9.81362
5	3600.00000	9.81362
5	3800.00000	9.81362
5	4000.00000	11.72738
5	4200.00000	11.72738
5	4400.00000	11.72738
5	4600.00000	11.72738
5	4800.00000	10.96321
5	5000.00000	10.96321
5	5200.00000	10.96321
5	5400.00000	9.32670
5	5600.00000	9.32670
5	5800.00000	9.32670
5	6000.00000	9.32670
5	6200.00000	9.92837
5	6400.00000	9.92837
5	6600.00000	9.92837
5	6800.00000	9.92837
5	7000.00000	9.18792
5	7200.00000	9.18792
5	7400.00000	9.18792
5	7600.00000	9.18792
5	7800.00000	9.56587
5	8000.00000	9.56587
5	8200.00000	9.56587
5	8400.00000	9.56587
5	8600.00000	9.41615
5	8800.00000	9.41615
5	9000.00000	9.41615
5	9200.00000	9.41615
5	9400.00000	10.76291
5	9600.00000	10.76291
5	9800.00000	10.76291
5	10000.00000	11.03484
5	10200.00000	11.03484
5	10400.00000	11.03484
5	10600.00000	11.03484
5	10800.00000	8.23520
5	11000.00000	8.23520
5	11200.00000	8.23520
5	11400.00000	8.23520
5	11600.00000	10.97129
5	11800.00000	10.97129
5	12000.00000	10.97129
5	12200.00000	10.97129
5	12400.00000	9.25217
5	12600.00000	9.25217
5	12800.00000	9.25217
5	13000.00000	9.25217
5	13200.00000	10.67695
5	13400.00000	10.67695
5	13600.00000	10.67695
5	13800.00000	10.67695
5	14000.00000	10.24427
5	14200.00000	10.24427
5	14400.00000	10.24427
5	14600.00000	10.07380
5	14800.00000	10.07380
5	15000.00000	10.07380
5	15200.00000	10.07380
5	15400.00000	7.98495
5	15600.00000	7.98495
5	15800.00000	7.98495
5	16000.00000	7.98495
5	16200.00000	9.23041
5	16400.00000	9.23041
5	16600.00000	9.23041
5	16800.00000	9.23041
5	17000.00000	11.28686
5	17200.00000	11.28686
5	17400.00000	11.28686
5	17600.00000	11.28686
5	17800.00000	10.93171
5	18000.00000	10.93171
5	18200.00000	10.93171
5	18400.00000	10.93171
5	18600.00000	8.00465
5	18800.00000	8.00465
5	19000.00000	8.00465
5	19200.00000	7.67231
5	19400.00000	7.67231
5	19600.00000	7.67231
5	19800.00000	7.67231
5	20000.00000	8.67167
6	0.00000	10.53224
6	200.00000	10.53224
6	400.00000	10.53224
6	600.00000	10.53224
6	800.00000	12.25474
6	1000.00000	12.25474
6	1200.00000	12.25474
6	1400.00000	12.25474
6	1600.00000	9.99776
6	1800.00000	9.99776
6	2000.00000	9.99776
6	2200.00000	9.99776
6	2400.00000	12.39834
6	2600.00000	12.39834
6	2800.00000	12.39834
6	3000.00000	12.39834
6	3200.00000	9.82256
6	3400.00000	9.82256
6	3600.00000	9.82256
6	3800.00000	9.82256
6	4000.00000	11.29489
6	4200.00000	11.29489
6	4400.00000	11.29489
6	4600.00000	11.29489
6	4800.00000	11.02692
6	5000.00000	11.02692
6	5200.00000	11.02692
6	5400.00000	9.51247
6	5600.00000	9.51247
6	5800.00000	9.51247
6	6000.00000	9.51247
6	6200.00000	9.73486
6	6400.00000	9.73486
6	6600.00000	9.73486
6	6800.00000	9.73486
6	7000.00000	9.07232
6	7200.00000	9.07232
6	7400.00000	9.07232
6	7600.00000	9.07232
6	7800.00000	10.13050
6	8000.00000	10.13050
6	8200.00000	10.13050
6	8400.00000	10.13050
6	8600.00000	8.83638
6	8800.00000	8.83638
6	9000.00000	8.83638
6	9200.00000	8.83638
6	9400.00000	11.76762
6	9600.00000	11.76762
6	9800.00000	11.76762
6	10000.00000	13.66193
6	10200.00000	13.66193
6	10400.00000	13.66193
6	10600.00000	13.66193
6	10800.00000	8.55293
6	11000.00000	8.55293
6	11200.00000	8.55293
6	11400.00000	8.55293
6	11600.00000	10.05909
6	11800.00000	10.05909
6	12000.00000	10.05909
6	12200.00000	10.05909
6	12400.00000	10.18745
6	12600.00000	10.18745
6	12800.00000	10.18745
6	13000.00000	10.18745
6	13200.00000	10.10304
6	13400.00000	10.10304
6	13600.00000	10.10304
6	13800.00000	10.10304
6	14000.00000	10.30042
6	14200.00000	10.30042
6	14400.00000	10.30042
6	14600.00000	8.25669
6	14800.00000	8.25669
6	15000.00000	8.25669
6	15200.00000	8.25669
6	15400.00000	8.40077
6	15600.00000	8.40077
6	15800.00000	8.40077
6	16000.00000	8.40077
6	16200.00000	9.92496
6	16400.00000	9.92496
6	16600.00000	9.92496
6	16800.00000	9.92496
6	17000.00000	11.02619
6	17200.00000	11.02619
6	17400.00000	11.02619
6	17600.00000	11.02619
6	17800.00000	8.69525
6	18000.00000	8.69525
6	18200.00000	8.69525
6	18400.00000	8.69525
6	18600.00000	7.29668
6	18800.00000	7.29668
6	19000.00000	7.29668
6	19200.00000	8.49130
6	19400.00000	8.49130
6	19600.00000	8.49130
6	19800.00000	8.49130
6	20000.00000	9.25391
7	0.00000	10.50988
7	200.00000	10.50988
7	400.00000	10.50988
7	600.00000	10.50988
7	800.00000	12.08539
7	1000.00000	12.08539
7	1200.00000	12.08539
7	1400.00000	12.08539
7	1600.00000	10.20842
7	1800.00000	10.20842
7	2000.00000	10.20842
7	2200.00000	10.20842
7	2400.00000	11.75431
7	2600.00000	11.75431
7	2800.00000	11.75431
7	3000.00000	11.75431
7	3200.00000	10.23745
7	3400.00000	10.23745
7	3600.00000	10.23745
7	3800.00000	10.23745
7	4000.00000	11.11166
7	4200.00000	11.11166
7	4400.00000	11.11166
7	4600.00000	11.11166
